EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AACH, GERMANY (STAID: 4188)
Blended and updated with sources:23348 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4188, 23348,19370101,   -5,    0
  4188, 23348,19370102,    3,    0
  4188, 23348,19370103,   32,    0
  4188, 23348,19370104,    2,    0
  4188, 23348,19370105,   14,    0
  4188, 23348,19370106,    2,    0
  4188, 23348,19370107,   54,    0
  4188, 23348,19370108,   21,    0
  4188, 23348,19370109,  -16,    0
  4188, 23348,19370110,  -30,    0
  4188, 23348,19370111,  -33,    0
  4188, 23348,19370112,  -40,    0
  4188, 23348,19370113,  -24,    0
  4188, 23348,19370114,  -13,    0
  4188, 23348,19370115,   14,    0
  4188, 23348,19370116,   11,    0
  4188, 23348,19370117,   -3,    0
  4188, 23348,19370118,   -4,    0
  4188, 23348,19370119,   30,    0
  4188, 23348,19370120,    7,    0
  4188, 23348,19370121,  -14,    0
  4188, 23348,19370122,   16,    0
  4188, 23348,19370123,    4,    0
  4188, 23348,19370124,  -26,    0
  4188, 23348,19370125,  -14,    0
  4188, 23348,19370126,   10,    0
  4188, 23348,19370127,  -13,    0
  4188, 23348,19370128,  -40,    0
  4188, 23348,19370129,  -13,    0
  4188, 23348,19370130,   20,    0
  4188, 23348,19370131,   39,    0
  4188, 23348,19370201,   35,    0
  4188, 23348,19370202,   30,    0
  4188, 23348,19370203,    6,    0
  4188, 23348,19370204,   14,    0
  4188, 23348,19370205,   54,    0
  4188, 23348,19370206,   41,    0
  4188, 23348,19370207,    9,    0
  4188, 23348,19370208,   51,    0
  4188, 23348,19370209,   34,    0
  4188, 23348,19370210,   23,    0
  4188, 23348,19370211,   10,    0
  4188, 23348,19370212,  -12,    0
  4188, 23348,19370213,  -14,    0
  4188, 23348,19370214,  -19,    0
  4188, 23348,19370215,   -2,    0
  4188, 23348,19370216,   22,    0
  4188, 23348,19370217,   16,    0
  4188, 23348,19370218,   16,    0
  4188, 23348,19370219,   23,    0
  4188, 23348,19370220,   52,    0
  4188, 23348,19370221,   18,    0
  4188, 23348,19370222,   41,    0
  4188, 23348,19370223,   -6,    0
  4188, 23348,19370224,    4,    0
  4188, 23348,19370225,   54,    0
  4188, 23348,19370226,   62,    0
