EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HANKENSBUTTEL, GERMANY (STAID: 4190)
Blended and updated with sources:23372 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4190, 23372,19610101,   16,    0
  4190, 23372,19610102,    2,    0
  4190, 23372,19610103,   20,    0
  4190, 23372,19610104,   11,    0
  4190, 23372,19610105,   18,    0
  4190, 23372,19610106,    2,    0
  4190, 23372,19610107,   10,    0
  4190, 23372,19610108,   18,    0
  4190, 23372,19610109,   22,    0
  4190, 23372,19610110,   19,    0
  4190, 23372,19610111,   -5,    0
  4190, 23372,19610112,  -39,    0
  4190, 23372,19610113,   12,    0
  4190, 23372,19610114,   12,    0
  4190, 23372,19610115,   -7,    0
  4190, 23372,19610116,   -5,    0
  4190, 23372,19610117,  -16,    0
  4190, 23372,19610118,  -66,    0
  4190, 23372,19610119,  -66,    0
  4190, 23372,19610120,  -39,    0
  4190, 23372,19610121,   -4,    0
  4190, 23372,19610122,    9,    0
  4190, 23372,19610123,  -33,    0
  4190, 23372,19610124,  -75,    0
  4190, 23372,19610125,  -78,    0
  4190, 23372,19610126, -121,    0
  4190, 23372,19610127,  -90,    0
  4190, 23372,19610128,    4,    0
  4190, 23372,19610129,   48,    0
  4190, 23372,19610130,   48,    0
  4190, 23372,19610131,   38,    0
  4190, 23372,19610201,   33,    0
  4190, 23372,19610202,   12,    0
  4190, 23372,19610203,   13,    0
  4190, 23372,19610204,    1,    0
  4190, 23372,19610205,  -20,    0
  4190, 23372,19610206,   48,    0
  4190, 23372,19610207,   49,    0
  4190, 23372,19610208,   46,    0
  4190, 23372,19610209,   75,    0
  4190, 23372,19610210,   52,    0
  4190, 23372,19610211,   67,    0
  4190, 23372,19610212,   42,    0
  4190, 23372,19610213,   62,    0
  4190, 23372,19610214,   50,    0
  4190, 23372,19610215,   86,    0
  4190, 23372,19610216,   46,    0
  4190, 23372,19610217,   47,    0
  4190, 23372,19610218,   47,    0
  4190, 23372,19610219,   60,    0
  4190, 23372,19610220,   42,    0
  4190, 23372,19610221,   26,    0
  4190, 23372,19610222,   28,    0
  4190, 23372,19610223,   16,    0
  4190, 23372,19610224,   65,    0
  4190, 23372,19610225,   72,    0
  4190, 23372,19610226,   76,    0
  4190, 23372,19610227,   86,    0
  4190, 23372,19610228,   40,    0
  4190, 23372,19610301,   47,    0
  4190, 23372,19610302,   55,    0
  4190, 23372,19610303,   58,    0
  4190, 23372,19610304,   62,    0
  4190, 23372,19610305,   58,    0
  4190, 23372,19610306,   64,    0
  4190, 23372,19610307,   83,    0
  4190, 23372,19610308,   64,    0
  4190, 23372,19610309,   72,    0
  4190, 23372,19610310,   98,    0
  4190, 23372,19610311,   90,    0
  4190, 23372,19610312,  105,    0
  4190, 23372,19610313,   87,    0
  4190, 23372,19610314,   94,    0
  4190, 23372,19610315,   90,    0
  4190, 23372,19610316,   90,    0
  4190, 23372,19610317,  117,    0
  4190, 23372,19610318,   54,    0
  4190, 23372,19610319,   25,    0
  4190, 23372,19610320,    4,    0
  4190, 23372,19610321,   10,    0
  4190, 23372,19610322,   28,    0
  4190, 23372,19610323,   76,    0
  4190, 23372,19610324,   77,    0
  4190, 23372,19610325,   73,    0
  4190, 23372,19610326,   68,    0
  4190, 23372,19610327,   22,    0
  4190, 23372,19610328,   28,    0
  4190, 23372,19610329,   68,    0
  4190, 23372,19610330,   53,    0
  4190, 23372,19610331,   23,    0
  4190, 23372,19610401,   52,    0
  4190, 23372,19610402,   18,    0
  4190, 23372,19610403,   38,    0
  4190, 23372,19610404,   56,    0
  4190, 23372,19610405,  124,    0
  4190, 23372,19610406,  155,    0
  4190, 23372,19610407,  128,    0
  4190, 23372,19610408,   54,    0
  4190, 23372,19610409,   50,    0
  4190, 23372,19610410,   70,    0
  4190, 23372,19610411,   93,    0
  4190, 23372,19610412,  109,    0
  4190, 23372,19610413,  136,    0
  4190, 23372,19610414,  140,    0
  4190, 23372,19610415,  102,    0
  4190, 23372,19610416,  109,    0
  4190, 23372,19610417,  107,    0
  4190, 23372,19610418,  105,    0
  4190, 23372,19610419,   93,    0
  4190, 23372,19610420,  122,    0
  4190, 23372,19610421,  120,    0
  4190, 23372,19610422,  149,    0
  4190, 23372,19610423,  138,    0
  4190, 23372,19610424,  149,    0
  4190, 23372,19610425,  120,    0
  4190, 23372,19610426,  127,    0
  4190, 23372,19610427,  114,    0
  4190, 23372,19610428,  109,    0
  4190, 23372,19610429,  113,    0
  4190, 23372,19610430,  114,    0
  4190, 23372,19610501,   90,    0
  4190, 23372,19610502,  118,    0
  4190, 23372,19610503,  108,    0
  4190, 23372,19610504,  142,    0
  4190, 23372,19610505,  169,    0
  4190, 23372,19610506,  135,    0
  4190, 23372,19610507,  106,    0
  4190, 23372,19610508,   84,    0
  4190, 23372,19610509,   95,    0
  4190, 23372,19610510,   83,    0
  4190, 23372,19610511,   92,    0
  4190, 23372,19610512,   89,    0
  4190, 23372,19610513,   90,    0
  4190, 23372,19610514,   96,    0
  4190, 23372,19610515,   97,    0
  4190, 23372,19610516,  110,    0
  4190, 23372,19610517,  102,    0
  4190, 23372,19610518,  126,    0
  4190, 23372,19610519,   96,    0
  4190, 23372,19610520,   85,    0
  4190, 23372,19610521,  103,    0
  4190, 23372,19610522,  132,    0
  4190, 23372,19610523,  106,    0
  4190, 23372,19610524,  101,    0
  4190, 23372,19610525,  138,    0
  4190, 23372,19610526,  108,    0
  4190, 23372,19610527,   81,    0
  4190, 23372,19610528,   94,    0
  4190, 23372,19610529,   72,    0
  4190, 23372,19610530,   84,    0
  4190, 23372,19610531,   99,    0
  4190, 23372,19610601,  159,    0
  4190, 23372,19610602,  160,    0
  4190, 23372,19610603,  168,    0
  4190, 23372,19610604,  196,    0
  4190, 23372,19610605,  203,    0
  4190, 23372,19610606,  196,    0
  4190, 23372,19610607,  174,    0
  4190, 23372,19610608,  166,    0
  4190, 23372,19610609,  164,    0
  4190, 23372,19610610,  124,    0
  4190, 23372,19610611,  149,    0
  4190, 23372,19610612,  144,    0
  4190, 23372,19610613,  132,    0
  4190, 23372,19610614,  112,    0
  4190, 23372,19610615,  104,    0
  4190, 23372,19610616,  148,    0
  4190, 23372,19610617,  184,    0
  4190, 23372,19610618,  168,    0
  4190, 23372,19610619,  139,    0
  4190, 23372,19610620,  132,    0
  4190, 23372,19610621,  133,    0
  4190, 23372,19610622,  183,    0
  4190, 23372,19610623,  178,    0
  4190, 23372,19610624,  186,    0
  4190, 23372,19610625,  214,    0
  4190, 23372,19610626,  225,    0
  4190, 23372,19610627,  160,    0
  4190, 23372,19610628,  142,    0
  4190, 23372,19610629,  178,    0
  4190, 23372,19610630,  200,    0
  4190, 23372,19610701,  224,    0
  4190, 23372,19610702,  234,    0
  4190, 23372,19610703,  176,    0
  4190, 23372,19610704,  132,    0
  4190, 23372,19610705,   96,    0
  4190, 23372,19610706,  113,    0
  4190, 23372,19610707,  156,    0
  4190, 23372,19610708,  154,    0
  4190, 23372,19610709,  129,    0
  4190, 23372,19610710,  143,    0
  4190, 23372,19610711,  170,    0
  4190, 23372,19610712,  206,    0
  4190, 23372,19610713,  158,    0
  4190, 23372,19610714,  152,    0
  4190, 23372,19610715,  150,    0
  4190, 23372,19610716,  122,    0
  4190, 23372,19610717,  128,    0
  4190, 23372,19610718,  132,    0
  4190, 23372,19610719,  143,    0
  4190, 23372,19610720,  139,    0
  4190, 23372,19610721,  142,    0
  4190, 23372,19610722,  137,    0
  4190, 23372,19610723,  135,    0
  4190, 23372,19610724,  133,    0
  4190, 23372,19610725,  159,    0
  4190, 23372,19610726,  182,    0
  4190, 23372,19610727,  157,    0
  4190, 23372,19610728,  129,    0
  4190, 23372,19610729,  129,    0
  4190, 23372,19610730,  132,    0
  4190, 23372,19610731,  138,    0
  4190, 23372,19610801,  154,    0
  4190, 23372,19610802,  146,    0
  4190, 23372,19610803,  131,    0
  4190, 23372,19610804,  152,    0
  4190, 23372,19610805,  190,    0
  4190, 23372,19610806,  164,    0
  4190, 23372,19610807,  149,    0
  4190, 23372,19610808,  161,    0
  4190, 23372,19610809,  164,    0
  4190, 23372,19610810,  163,    0
  4190, 23372,19610811,  156,    0
  4190, 23372,19610812,  140,    0
  4190, 23372,19610813,  138,    0
  4190, 23372,19610814,  144,    0
  4190, 23372,19610815,  118,    0
  4190, 23372,19610816,  107,    0
  4190, 23372,19610817,  127,    0
  4190, 23372,19610818,  140,    0
  4190, 23372,19610819,  130,    0
  4190, 23372,19610820,  148,    0
  4190, 23372,19610821,  154,    0
  4190, 23372,19610822,  142,    0
  4190, 23372,19610823,  131,    0
  4190, 23372,19610824,  150,    0
  4190, 23372,19610825,  146,    0
  4190, 23372,19610826,  182,    0
  4190, 23372,19610827,  175,    0
  4190, 23372,19610828,  146,    0
  4190, 23372,19610829,  167,    0
  4190, 23372,19610830,  185,    0
  4190, 23372,19610831,  192,    0
  4190, 23372,19610901,  202,    0
  4190, 23372,19610902,  204,    0
  4190, 23372,19610903,  200,    0
  4190, 23372,19610904,  188,    0
  4190, 23372,19610905,  174,    0
  4190, 23372,19610906,  154,    0
  4190, 23372,19610907,  112,    0
  4190, 23372,19610908,  137,    0
  4190, 23372,19610909,  129,    0
  4190, 23372,19610910,  137,    0
  4190, 23372,19610911,  138,    0
  4190, 23372,19610912,  127,    0
  4190, 23372,19610913,  158,    0
  4190, 23372,19610914,  153,    0
  4190, 23372,19610915,  171,    0
  4190, 23372,19610916,  192,    0
  4190, 23372,19610917,  216,    0
  4190, 23372,19610918,  170,    0
  4190, 23372,19610919,  162,    0
  4190, 23372,19610920,  146,    0
  4190, 23372,19610921,  159,    0
  4190, 23372,19610922,  158,    0
  4190, 23372,19610923,  112,    0
  4190, 23372,19610924,  122,    0
  4190, 23372,19610925,  144,    0
  4190, 23372,19610926,  108,    0
  4190, 23372,19610927,  143,    0
  4190, 23372,19610928,  174,    0
  4190, 23372,19610929,  172,    0
  4190, 23372,19610930,  180,    0
  4190, 23372,19611001,  135,    0
  4190, 23372,19611002,  113,    0
  4190, 23372,19611003,  127,    0
  4190, 23372,19611004,  120,    0
  4190, 23372,19611005,  122,    0
  4190, 23372,19611006,  137,    0
  4190, 23372,19611007,  144,    0
  4190, 23372,19611008,  100,    0
  4190, 23372,19611009,  111,    0
  4190, 23372,19611010,  128,    0
  4190, 23372,19611011,  143,    0
  4190, 23372,19611012,   97,    0
  4190, 23372,19611013,   88,    0
