EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WEDDINGSTEDT, GERMANY (STAID: 4199)
Blended and updated with sources:23480 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4199, 23480,19370101,   50,    0
  4199, 23480,19370102,   53,    0
  4199, 23480,19370103,   69,    0
  4199, 23480,19370104,   72,    0
  4199, 23480,19370105,   44,    0
  4199, 23480,19370106,   54,    0
  4199, 23480,19370107,   49,    0
  4199, 23480,19370108,   -4,    0
  4199, 23480,19370109,  -23,    0
  4199, 23480,19370110,  -11,    0
  4199, 23480,19370111,    5,    0
  4199, 23480,19370112,   -9,    0
  4199, 23480,19370113,  -12,    0
  4199, 23480,19370114,   -6,    0
  4199, 23480,19370115,   -7,    0
  4199, 23480,19370116,   -7,    0
  4199, 23480,19370117,  -12,    0
  4199, 23480,19370118,  -38,    0
  4199, 23480,19370119,  -63,    0
  4199, 23480,19370120,  -76,    0
  4199, 23480,19370121,  -25,    0
  4199, 23480,19370122,   21,    0
  4199, 23480,19370123,   26,    0
  4199, 23480,19370124,  -12,    0
  4199, 23480,19370125,  -92,    0
  4199, 23480,19370126,  -84,    0
  4199, 23480,19370127,  -72,    0
  4199, 23480,19370128,  -45,    0
  4199, 23480,19370129,  -32,    0
  4199, 23480,19370130,  -78,    0
  4199, 23480,19370131,  -84,    0
  4199, 23480,19370201,  -44,    0
  4199, 23480,19370202,   30,    0
  4199, 23480,19370203,   52,    0
  4199, 23480,19370204,   56,    0
  4199, 23480,19370205,   52,    0
  4199, 23480,19370206,   35,    0
  4199, 23480,19370207,   21,    0
  4199, 23480,19370208,    7,    0
  4199, 23480,19370209,   13,    0
  4199, 23480,19370210,   16,    0
  4199, 23480,19370211,   14,    0
  4199, 23480,19370212,    2,    0
  4199, 23480,19370213,  -11,    0
  4199, 23480,19370214,    2,    0
  4199, 23480,19370215,   31,    0
  4199, 23480,19370216,   66,    0
  4199, 23480,19370217,   25,    0
  4199, 23480,19370218,   14,    0
  4199, 23480,19370219,   34,    0
  4199, 23480,19370220,   18,    0
  4199, 23480,19370221,   17,    0
  4199, 23480,19370222,   17,    0
  4199, 23480,19370223,   -2,    0
  4199, 23480,19370224,  -12,    0
  4199, 23480,19370225,  -27,    0
  4199, 23480,19370226,   15,    0
  4199, 23480,19370227,   49,    0
  4199, 23480,19370228,   31,    0
  4199, 23480,19370301,    9,    0
  4199, 23480,19370302,   19,    0
  4199, 23480,19370303,   -3,    0
  4199, 23480,19370304,  -11,    0
  4199, 23480,19370305,   -4,    0
  4199, 23480,19370306,  -12,    0
  4199, 23480,19370307,  -20,    0
  4199, 23480,19370308,  -48,    0
  4199, 23480,19370309,  -46,    0
  4199, 23480,19370310,  -12,    0
  4199, 23480,19370311,    9,    0
  4199, 23480,19370312,   38,    0
  4199, 23480,19370313,   52,    0
  4199, 23480,19370314,   44,    0
  4199, 23480,19370315,   27,    0
  4199, 23480,19370316,   30,    0
  4199, 23480,19370317,   54,    0
  4199, 23480,19370318,   77,    0
  4199, 23480,19370319,   71,    0
  4199, 23480,19370320,   44,    0
  4199, 23480,19370321,   35,    0
  4199, 23480,19370322,   39,    0
  4199, 23480,19370323,   32,    0
  4199, 23480,19370324,   28,    0
  4199, 23480,19370325,   35,    0
  4199, 23480,19370326,   25,    0
  4199, 23480,19370327,   18,    0
  4199, 23480,19370328,   12,    0
  4199, 23480,19370329,   29,    0
  4199, 23480,19370330,   25,    0
  4199, 23480,19370331,   29,    0
  4199, 23480,19370401,   36,    0
  4199, 23480,19370402,   83,    0
  4199, 23480,19370403,   80,    0
  4199, 23480,19370404,   57,    0
  4199, 23480,19370405,   59,    0
  4199, 23480,19370406,   74,    0
  4199, 23480,19370407,  110,    0
  4199, 23480,19370408,   91,    0
  4199, 23480,19370409,   89,    0
  4199, 23480,19370410,  138,    0
  4199, 23480,19370411,   94,    0
  4199, 23480,19370412,   89,    0
  4199, 23480,19370413,   83,    0
  4199, 23480,19370414,   69,    0
  4199, 23480,19370415,   70,    0
  4199, 23480,19370416,   84,    0
  4199, 23480,19370417,   96,    0
  4199, 23480,19370418,   77,    0
  4199, 23480,19370419,   80,    0
  4199, 23480,19370420,   99,    0
  4199, 23480,19370421,   73,    0
  4199, 23480,19370422,   85,    0
  4199, 23480,19370423,   73,    0
  4199, 23480,19370424,   62,    0
  4199, 23480,19370425,   77,    0
  4199, 23480,19370426,   71,    0
  4199, 23480,19370427,   79,    0
