EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HEILBRONN, GERMANY (STAID: 4206)
Blended and updated with sources:23564 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4206, 23564,19470701,  189,    0
  4206, 23564,19470702,  200,    0
  4206, 23564,19470703,  226,    0
  4206, 23564,19470704,  248,    0
  4206, 23564,19470705,  198,    0
  4206, 23564,19470706,  183,    0
  4206, 23564,19470707,  231,    0
  4206, 23564,19470708,  187,    0
  4206, 23564,19470709,  147,    0
  4206, 23564,19470710,  153,    0
  4206, 23564,19470711,  165,    0
  4206, 23564,19470712,  168,    0
  4206, 23564,19470713,  186,    0
  4206, 23564,19470714,  207,    0
  4206, 23564,19470715,  222,    0
  4206, 23564,19470716,  231,    0
  4206, 23564,19470717,  230,    0
  4206, 23564,19470718,  196,    0
  4206, 23564,19470719,  190,    0
  4206, 23564,19470720,  171,    0
  4206, 23564,19470721,  195,    0
  4206, 23564,19470722,  226,    0
  4206, 23564,19470723,  249,    0
  4206, 23564,19470724,  258,    0
  4206, 23564,19470725,  274,    0
  4206, 23564,19470726,  276,    0
  4206, 23564,19470727,  272,    0
  4206, 23564,19470728,  275,    0
  4206, 23564,19470729,  296,    0
  4206, 23564,19470730,  270,    0
  4206, 23564,19470731,  259,    0
  4206, 23564,19470801,  250,    0
  4206, 23564,19470802,  248,    0
  4206, 23564,19470803,  269,    0
  4206, 23564,19470804,  267,    0
  4206, 23564,19470805,  194,    0
  4206, 23564,19470806,  186,    0
  4206, 23564,19470807,  183,    0
  4206, 23564,19470808,  174,    0
  4206, 23564,19470809,  196,    0
  4206, 23564,19470810,  212,    0
  4206, 23564,19470811,  222,    0
  4206, 23564,19470812,  226,    0
  4206, 23564,19470813,  232,    0
  4206, 23564,19470814,  250,    0
  4206, 23564,19470815,  261,    0
  4206, 23564,19470816,  269,    0
  4206, 23564,19470817,  254,    0
  4206, 23564,19470818,  242,    0
  4206, 23564,19470819,  242,    0
  4206, 23564,19470820,  259,    0
  4206, 23564,19470821,  204,    0
  4206, 23564,19470822,  213,    0
  4206, 23564,19470823,  200,    0
  4206, 23564,19470824,  198,    0
  4206, 23564,19470825,  188,    0
  4206, 23564,19470826,  192,    0
  4206, 23564,19470827,  206,    0
  4206, 23564,19470828,  208,    0
  4206, 23564,19470829,  187,    0
  4206, 23564,19470830,  163,    0
  4206, 23564,19470831,  152,    0
  4206, 23564,19470901,  167,    0
  4206, 23564,19470902,  188,    0
  4206, 23564,19470903,  188,    0
  4206, 23564,19470904,  174,    0
  4206, 23564,19470905,  178,    0
  4206, 23564,19470906,  180,    0
  4206, 23564,19470907,  170,    0
  4206, 23564,19470908,  196,    0
  4206, 23564,19470909,  182,    0
  4206, 23564,19470910,  177,    0
  4206, 23564,19470911,  199,    0
  4206, 23564,19470912,  220,    0
  4206, 23564,19470913,  230,    0
  4206, 23564,19470914,  219,    0
  4206, 23564,19470915,  219,    0
  4206, 23564,19470916,  207,    0
  4206, 23564,19470917,  202,    0
  4206, 23564,19470918,  202,    0
  4206, 23564,19470919,  207,    0
  4206, 23564,19470920,  208,    0
  4206, 23564,19470921,  195,    0
  4206, 23564,19470922,  136,    0
  4206, 23564,19470923,  116,    0
  4206, 23564,19470924,   97,    0
  4206, 23564,19470925,  133,    0
  4206, 23564,19470926,  192,    0
