EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KR. DITHMARSCHEN HELSE, GERMANY (STAID: 4210)
Blended and updated with sources:21668 23612 81240 910130 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4210, 81240,19510401,   56,    0
  4210, 81240,19510402,   55,    0
  4210, 81240,19510403,   40,    0
  4210, 81240,19510404,   56,    0
  4210, 81240,19510405,   56,    0
  4210, 81240,19510406,   74,    0
  4210, 81240,19510407,   90,    0
  4210, 81240,19510408,   51,    0
  4210, 81240,19510409,   73,    0
  4210, 81240,19510410,   53,    0
  4210, 81240,19510411,   48,    0
  4210, 81240,19510412,   76,    0
  4210, 81240,19510413,   66,    0
  4210, 81240,19510414,   38,    0
  4210, 81240,19510415,   58,    0
  4210, 81240,19510416,   51,    0
  4210, 81240,19510417,   54,    0
  4210, 81240,19510418,   64,    0
  4210, 81240,19510419,   46,    0
  4210, 81240,19510420,   44,    0
  4210, 81240,19510421,   45,    0
  4210, 81240,19510422,   27,    0
  4210, 81240,19510423,   84,    0
  4210, 81240,19510424,  119,    0
  4210, 81240,19510425,  145,    0
  4210, 81240,19510426,  151,    0
  4210, 81240,19510427,   79,    0
  4210, 81240,19510428,   45,    0
  4210, 81240,19510429,   66,    0
  4210, 81240,19510430,   68,    0
  4210, 81240,19510501,   96,    0
  4210, 81240,19510502,  112,    0
  4210, 81240,19510503,  138,    0
  4210, 81240,19510504,  126,    0
  4210, 81240,19510505,   95,    0
  4210, 81240,19510506,  106,    0
  4210, 81240,19510507,   86,    0
  4210, 81240,19510508,  110,    0
  4210, 81240,19510509,   91,    0
  4210, 81240,19510510,  108,    0
  4210, 81240,19510511,   96,    0
  4210, 81240,19510512,   91,    0
  4210, 81240,19510513,   87,    0
  4210, 81240,19510514,   93,    0
  4210, 81240,19510515,   83,    0
  4210, 81240,19510516,   77,    0
  4210, 81240,19510517,  102,    0
  4210, 81240,19510518,  120,    0
  4210, 81240,19510519,  146,    0
  4210, 81240,19510520,  169,    0
  4210, 81240,19510521,  134,    0
  4210, 81240,19510522,  134,    0
  4210, 81240,19510523,  119,    0
  4210, 81240,19510524,  138,    0
  4210, 81240,19510525,  126,    0
  4210, 81240,19510526,  108,    0
  4210, 81240,19510527,  108,    0
  4210, 81240,19510528,   87,    0
  4210, 81240,19510529,   73,    0
  4210, 81240,19510530,  105,    0
  4210, 81240,19510531,  122,    0
  4210, 81240,19510601,  150,    0
  4210, 81240,19510602,  170,    0
  4210, 81240,19510603,  162,    0
  4210, 81240,19510604,  144,    0
  4210, 81240,19510605,  182,    0
  4210, 81240,19510606,  135,    0
  4210, 81240,19510607,  134,    0
  4210, 81240,19510608,  136,    0
  4210, 81240,19510609,  136,    0
  4210, 81240,19510610,  131,    0
  4210, 81240,19510611,  132,    0
  4210, 81240,19510612,  172,    0
  4210, 81240,19510613,  148,    0
  4210, 81240,19510614,  164,    0
  4210, 81240,19510615,  144,    0
  4210, 81240,19510616,  166,    0
  4210, 81240,19510617,  160,    0
  4210, 81240,19510618,  147,    0
  4210, 81240,19510619,  142,    0
  4210, 81240,19510620,  150,    0
  4210, 81240,19510621,  182,    0
  4210, 81240,19510622,  181,    0
  4210, 81240,19510623,  193,    0
  4210, 81240,19510624,  147,    0
  4210, 81240,19510625,  133,    0
  4210, 81240,19510626,  140,    0
  4210, 81240,19510627,  121,    0
  4210, 81240,19510628,  126,    0
  4210, 81240,19510629,  122,    0
  4210, 81240,19510630,  136,    0
  4210, 81240,19510701,  142,    0
  4210, 81240,19510702,  164,    0
  4210, 81240,19510703,  150,    0
  4210, 81240,19510704,  116,    0
  4210, 81240,19510705,  114,    0
  4210, 81240,19510706,  134,    0
