EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IHRINGEN, GERMANY (STAID: 4254)
Blended and updated with sources:24140 28280 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4254, 28280,19470101,    8,    0
  4254, 28280,19470102,    1,    0
  4254, 28280,19470103,    3,    0
  4254, 28280,19470104,  -36,    0
  4254, 28280,19470105,  -80,    0
  4254, 28280,19470106, -101,    0
  4254, 28280,19470107,  -56,    0
  4254, 28280,19470108,  -26,    0
  4254, 28280,19470109,   33,    0
  4254, 28280,19470110,   22,    0
  4254, 28280,19470111,   42,    0
  4254, 28280,19470112,   72,    0
  4254, 28280,19470113,   74,    0
  4254, 28280,19470114,   54,    0
  4254, 28280,19470115,   52,    0
  4254, 28280,19470116,   36,    0
  4254, 28280,19470117,   67,    0
  4254, 28280,19470118,   39,    0
  4254, 28280,19470119,    5,    0
  4254, 28280,19470120,  -24,    0
  4254, 28280,19470121,  -38,    0
  4254, 28280,19470122,  -46,    0
  4254, 28280,19470123,  -48,    0
  4254, 28280,19470124,  -78,    0
  4254, 28280,19470125,  -79,    0
  4254, 28280,19470126,  -70,    0
  4254, 28280,19470127,  -92,    0
  4254, 28280,19470128, -108,    0
  4254, 28280,19470129, -104,    0
  4254, 28280,19470130,  -93,    0
  4254, 28280,19470131,  -63,    0
  4254, 28280,19470201,  -57,    0
  4254, 28280,19470202,  -56,    0
  4254, 28280,19470203,  -15,    0
  4254, 28280,19470204,  -19,    0
  4254, 28280,19470205,  -36,    0
  4254, 28280,19470206,  -46,    0
  4254, 28280,19470207,  -62,    0
  4254, 28280,19470208,  -54,    0
  4254, 28280,19470209,   14,    0
  4254, 28280,19470210,   -2,    0
  4254, 28280,19470211,    0,    0
  4254, 28280,19470212,  -20,    0
  4254, 28280,19470213,  -20,    0
  4254, 28280,19470214,  -25,    0
  4254, 28280,19470215,  -44,    0
  4254, 28280,19470216,  -53,    0
  4254, 28280,19470217,  -46,    0
  4254, 28280,19470218,  -45,    0
  4254, 28280,19470219,  -47,    0
  4254, 28280,19470220,  -34,    0
  4254, 28280,19470221,   15,    0
  4254, 28280,19470222,   71,    0
  4254, 28280,19470223,   -6,    0
  4254, 28280,19470224,  -24,    0
  4254, 28280,19470225,  -53,    0
  4254, 28280,19470226,  -62,    0
  4254, 28280,19470227,  -20,    0
  4254, 28280,19470228,   11,    0
  4254, 28280,19470301,  -33,    0
  4254, 28280,19470302,  -23,    0
  4254, 28280,19470303,  -31,    0
  4254, 28280,19470304,    9,    0
  4254, 28280,19470305,   74,    0
  4254, 28280,19470306,   79,    0
  4254, 28280,19470307,   30,    0
  4254, 28280,19470308,   -5,    0
  4254, 28280,19470309,   12,    0
  4254, 28280,19470310,   42,    0
  4254, 28280,19470311,   88,    0
  4254, 28280,19470312,   51,    0
  4254, 28280,19470313,   90,    0
  4254, 28280,19470314,   92,    0
  4254, 28280,19470315,   14,    0
  4254, 28280,19470316,   80,    0
  4254, 28280,19470317,  130,    0
  4254, 28280,19470318,  132,    0
  4254, 28280,19470319,   90,    0
  4254, 28280,19470320,   85,    0
  4254, 28280,19470321,  130,    0
  4254, 28280,19470322,  111,    0
  4254, 28280,19470323,   97,    0
  4254, 28280,19470324,   96,    0
  4254, 28280,19470325,   34,    0
  4254, 28280,19470326,   26,    0
  4254, 28280,19470327,   87,    0
  4254, 28280,19470328,  138,    0
  4254, 28280,19470329,  112,    0
  4254, 28280,19470330,   81,    0
  4254, 28280,19470331,   90,    0
  4254, 28280,19470401,   97,    0
  4254, 28280,19470402,   65,    0
  4254, 28280,19470403,   98,    0
  4254, 28280,19470404,   89,    0
  4254, 28280,19470405,   53,    0
  4254, 28280,19470406,  106,    0
  4254, 28280,19470407,  134,    0
  4254, 28280,19470408,  134,    0
  4254, 28280,19470409,   68,    0
  4254, 28280,19470410,   60,    0
  4254, 28280,19470411,   84,    0
  4254, 28280,19470412,  111,    0
  4254, 28280,19470413,  110,    0
  4254, 28280,19470414,  144,    0
  4254, 28280,19470415,  156,    0
  4254, 28280,19470416,  161,    0
  4254, 28280,19470417,  181,    0
  4254, 28280,19470418,  139,    0
  4254, 28280,19470419,  143,    0
  4254, 28280,19470420,  148,    0
  4254, 28280,19470421,  127,    0
  4254, 28280,19470422,  169,    0
  4254, 28280,19470423,  116,    0
  4254, 28280,19470424,  126,    0
  4254, 28280,19470425,  148,    0
  4254, 28280,19470426,  166,    0
  4254, 28280,19470427,  155,    0
  4254, 28280,19470428,  176,    0
  4254, 28280,19470429,  120,    0
  4254, 28280,19470430,  112,    0
  4254, 28280,19470501,   96,    0
