EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ISERLOHN-WESTIG, GERMANY (STAID: 4260)
Blended and updated with sources:24212 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4260, 24212,19380101,  -27,    0
  4260, 24212,19380102,  -35,    0
  4260, 24212,19380103,  -43,    0
  4260, 24212,19380104,  -42,    0
  4260, 24212,19380105,  -80,    0
  4260, 24212,19380106,   12,    0
  4260, 24212,19380107,   17,    0
  4260, 24212,19380108,   24,    0
  4260, 24212,19380109,   34,    0
  4260, 24212,19380110,   26,    0
  4260, 24212,19380111,   20,    0
  4260, 24212,19380112,   84,    0
  4260, 24212,19380113,   94,    0
  4260, 24212,19380114,   54,    0
  4260, 24212,19380115,   73,    0
  4260, 24212,19380116,   63,    0
  4260, 24212,19380117,   56,    0
  4260, 24212,19380118,   34,    0
  4260, 24212,19380119,   55,    0
  4260, 24212,19380120,   56,    0
  4260, 24212,19380121,   62,    0
  4260, 24212,19380122,   60,    0
  4260, 24212,19380123,   84,    0
  4260, 24212,19380124,   78,    0
  4260, 24212,19380125,   65,    0
  4260, 24212,19380126,   34,    0
  4260, 24212,19380127,   20,    0
  4260, 24212,19380128,   20,    0
  4260, 24212,19380129,   33,    0
  4260, 24212,19380130,   20,    0
  4260, 24212,19380131,   41,    0
  4260, 24212,19380201,   49,    0
  4260, 24212,19380202,   29,    0
  4260, 24212,19380203,   59,    0
  4260, 24212,19380204,   78,    0
  4260, 24212,19380205,   34,    0
  4260, 24212,19380206,   49,    0
  4260, 24212,19380207,   32,    0
  4260, 24212,19380208,   48,    0
  4260, 24212,19380209,   24,    0
  4260, 24212,19380210,   35,    0
  4260, 24212,19380211,   12,    0
  4260, 24212,19380212,   12,    0
  4260, 24212,19380213,  -22,    0
  4260, 24212,19380214,  -17,    0
  4260, 24212,19380215,  -40,    0
  4260, 24212,19380216,  -44,    0
  4260, 24212,19380217,   -8,    0
  4260, 24212,19380218,    9,    0
  4260, 24212,19380219,  -16,    0
  4260, 24212,19380220,  -32,    0
  4260, 24212,19380221,  -32,    0
  4260, 24212,19380222,    1,    0
  4260, 24212,19380223,    0,    0
  4260, 24212,19380224,   29,    0
  4260, 24212,19380225,   54,    0
  4260, 24212,19380226,   72,    0
  4260, 24212,19380227,   59,    0
  4260, 24212,19380228,   78,    0
  4260, 24212,19380301,   62,    0
  4260, 24212,19380302,   51,    0
  4260, 24212,19380303,   90,    0
  4260, 24212,19380304,   72,    0
  4260, 24212,19380305,   44,    0
  4260, 24212,19380306,   58,    0
  4260, 24212,19380307,   49,    0
  4260, 24212,19380308,   78,    0
  4260, 24212,19380309,   66,    0
  4260, 24212,19380310,   77,    0
  4260, 24212,19380311,   33,    0
  4260, 24212,19380312,   19,    0
  4260, 24212,19380313,   36,    0
  4260, 24212,19380314,   80,    0
  4260, 24212,19380315,   89,    0
  4260, 24212,19380316,   93,    0
  4260, 24212,19380317,  100,    0
  4260, 24212,19380318,  111,    0
  4260, 24212,19380319,   94,    0
  4260, 24212,19380320,  120,    0
  4260, 24212,19380321,  130,    0
  4260, 24212,19380322,   95,    0
  4260, 24212,19380323,   80,    0
  4260, 24212,19380324,  104,    0
  4260, 24212,19380325,  112,    0
  4260, 24212,19380326,   10,    0
  4260, 24212,19380327,   40,    0
  4260, 24212,19380328,   64,    0
  4260, 24212,19380329,   89,    0
  4260, 24212,19380330,  100,    0
  4260, 24212,19380331,  102,    0
  4260, 24212,19380401,   90,    0
  4260, 24212,19380402,   86,    0
  4260, 24212,19380403,   39,    0
  4260, 24212,19380404,   42,    0
  4260, 24212,19380405,   66,    0
  4260, 24212,19380406,   87,    0
  4260, 24212,19380407,   66,    0
  4260, 24212,19380408,   36,    0
  4260, 24212,19380409,   27,    0
  4260, 24212,19380410,    8,    0
  4260, 24212,19380411,   40,    0
  4260, 24212,19380412,   50,    0
  4260, 24212,19380413,   60,    0
  4260, 24212,19380414,   61,    0
  4260, 24212,19380415,   68,    0
  4260, 24212,19380416,   53,    0
  4260, 24212,19380417,   23,    0
  4260, 24212,19380418,   -4,    0
  4260, 24212,19380419,   10,    0
  4260, 24212,19380420,   11,    0
  4260, 24212,19380421,    9,    0
  4260, 24212,19380422,   40,    0
  4260, 24212,19380423,   46,    0
  4260, 24212,19380424,   54,    0
  4260, 24212,19380425,   40,    0
  4260, 24212,19380426,   44,    0
  4260, 24212,19380427,   57,    0
  4260, 24212,19380428,   68,    0
  4260, 24212,19380429,   52,    0
  4260, 24212,19380430,   40,    0
  4260, 24212,19380501,   66,    0
  4260, 24212,19380502,   67,    0
  4260, 24212,19380503,   90,    0
  4260, 24212,19380504,   73,    0
  4260, 24212,19380505,   95,    0
  4260, 24212,19380506,   61,    0
  4260, 24212,19380507,   50,    0
  4260, 24212,19380508,   30,    0
  4260, 24212,19380509,   76,    0
  4260, 24212,19380510,   83,    0
  4260, 24212,19380511,   74,    0
  4260, 24212,19380512,  128,    0
  4260, 24212,19380513,  154,    0
  4260, 24212,19380514,  206,    0
  4260, 24212,19380515,  208,    0
  4260, 24212,19380516,  145,    0
  4260, 24212,19380517,  150,    0
  4260, 24212,19380518,  104,    0
  4260, 24212,19380519,   92,    0
  4260, 24212,19380520,   68,    0
  4260, 24212,19380521,   64,    0
  4260, 24212,19380522,   82,    0
  4260, 24212,19380523,  128,    0
  4260, 24212,19380524,   96,    0
  4260, 24212,19380525,  101,    0
  4260, 24212,19380526,  118,    0
  4260, 24212,19380527,  172,    0
  4260, 24212,19380528,  132,    0
  4260, 24212,19380529,   98,    0
  4260, 24212,19380530,  105,    0
  4260, 24212,19380531,  135,    0
  4260, 24212,19380601,  208,    0
  4260, 24212,19380602,  123,    0
  4260, 24212,19380603,  103,    0
  4260, 24212,19380604,  141,    0
  4260, 24212,19380605,  172,    0
  4260, 24212,19380606,  128,    0
  4260, 24212,19380607,  184,    0
  4260, 24212,19380608,  226,    0
  4260, 24212,19380609,  174,    0
  4260, 24212,19380610,  134,    0
  4260, 24212,19380611,  124,    0
  4260, 24212,19380612,  120,    0
  4260, 24212,19380613,  117,    0
  4260, 24212,19380614,  108,    0
  4260, 24212,19380615,  109,    0
  4260, 24212,19380616,  106,    0
  4260, 24212,19380617,  119,    0
  4260, 24212,19380618,  127,    0
  4260, 24212,19380619,  184,    0
  4260, 24212,19380620,  149,    0
  4260, 24212,19380621,  167,    0
  4260, 24212,19380622,  182,    0
  4260, 24212,19380623,  156,    0
  4260, 24212,19380624,  180,    0
  4260, 24212,19380625,  224,    0
  4260, 24212,19380626,  164,    0
  4260, 24212,19380627,  197,    0
  4260, 24212,19380628,  159,    0
  4260, 24212,19380629,  157,    0
  4260, 24212,19380630,  152,    0
  4260, 24212,19380701,  116,    0
  4260, 24212,19380702,  136,    0
  4260, 24212,19380703,  124,    0
  4260, 24212,19380704,  140,    0
  4260, 24212,19380705,  124,    0
  4260, 24212,19380706,  127,    0
  4260, 24212,19380707,  198,    0
  4260, 24212,19380708,  189,    0
  4260, 24212,19380709,  122,    0
  4260, 24212,19380710,  129,    0
  4260, 24212,19380711,  150,    0
  4260, 24212,19380712,  153,    0
  4260, 24212,19380713,  131,    0
  4260, 24212,19380714,  182,    0
  4260, 24212,19380715,  189,    0
  4260, 24212,19380716,  157,    0
  4260, 24212,19380717,  138,    0
  4260, 24212,19380718,  144,    0
  4260, 24212,19380719,  136,    0
  4260, 24212,19380720,  165,    0
  4260, 24212,19380721,  173,    0
  4260, 24212,19380722,  141,    0
  4260, 24212,19380723,  154,    0
  4260, 24212,19380724,  183,    0
  4260, 24212,19380725,  164,    0
  4260, 24212,19380726,  198,    0
  4260, 24212,19380727,  146,    0
  4260, 24212,19380728,  187,    0
  4260, 24212,19380729,  157,    0
  4260, 24212,19380730,  198,    0
  4260, 24212,19380731,  212,    0
  4260, 24212,19380801,  216,    0
  4260, 24212,19380802,  216,    0
  4260, 24212,19380803,  224,    0
  4260, 24212,19380804,  237,    0
  4260, 24212,19380805,  243,    0
  4260, 24212,19380806,  225,    0
  4260, 24212,19380807,  209,    0
  4260, 24212,19380808,  178,    0
  4260, 24212,19380809,  180,    0
  4260, 24212,19380810,  192,    0
  4260, 24212,19380811,  178,    0
  4260, 24212,19380812,  164,    0
  4260, 24212,19380813,  175,    0
  4260, 24212,19380814,  171,    0
  4260, 24212,19380815,  169,    0
  4260, 24212,19380816,  193,    0
  4260, 24212,19380817,  150,    0
  4260, 24212,19380818,  146,    0
  4260, 24212,19380819,  196,    0
  4260, 24212,19380820,  160,    0
  4260, 24212,19380821,  114,    0
  4260, 24212,19380822,  117,    0
  4260, 24212,19380823,  104,    0
  4260, 24212,19380824,  111,    0
  4260, 24212,19380825,  142,    0
  4260, 24212,19380826,  137,    0
  4260, 24212,19380827,  136,    0
  4260, 24212,19380828,  156,    0
  4260, 24212,19380829,  158,    0
  4260, 24212,19380830,  146,    0
  4260, 24212,19380831,  124,    0
  4260, 24212,19380901,   94,    0
  4260, 24212,19380902,  126,    0
  4260, 24212,19380903,  103,    0
  4260, 24212,19380904,   99,    0
  4260, 24212,19380905,  109,    0
  4260, 24212,19380906,  104,    0
  4260, 24212,19380907,  120,    0
  4260, 24212,19380908,  137,    0
  4260, 24212,19380909,  116,    0
  4260, 24212,19380910,  116,    0
  4260, 24212,19380911,  134,    0
  4260, 24212,19380912,  149,    0
  4260, 24212,19380913,  168,    0
  4260, 24212,19380914,  159,    0
  4260, 24212,19380915,   77,    0
  4260, 24212,19380916,   79,    0
  4260, 24212,19380917,  140,    0
  4260, 24212,19380918,  154,    0
  4260, 24212,19380919,  151,    0
  4260, 24212,19380920,  160,    0
  4260, 24212,19380921,  191,    0
  4260, 24212,19380922,  199,    0
  4260, 24212,19380923,  184,    0
  4260, 24212,19380924,  187,    0
  4260, 24212,19380925,  191,    0
  4260, 24212,19380926,  164,    0
