EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AURICH, GERMANY (STAID: 4263)
Blended and updated with sources:24248 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4263, 24248,19580901,  190,    0
  4263, 24248,19580902,  182,    0
  4263, 24248,19580903,  174,    0
  4263, 24248,19580904,  163,    0
  4263, 24248,19580905,  172,    0
  4263, 24248,19580906,  190,    0
  4263, 24248,19580907,  171,    0
  4263, 24248,19580908,  159,    0
  4263, 24248,19580909,  150,    0
  4263, 24248,19580910,  147,    0
  4263, 24248,19580911,  148,    0
  4263, 24248,19580912,  143,    0
  4263, 24248,19580913,  148,    0
  4263, 24248,19580914,  160,    0
  4263, 24248,19580915,  158,    0
  4263, 24248,19580916,  164,    0
  4263, 24248,19580917,  142,    0
  4263, 24248,19580918,  121,    0
  4263, 24248,19580919,  139,    0
  4263, 24248,19580920,  129,    0
  4263, 24248,19580921,  142,    0
  4263, 24248,19580922,  113,    0
  4263, 24248,19580923,  122,    0
  4263, 24248,19580924,  140,    0
  4263, 24248,19580925,  120,    0
  4263, 24248,19580926,  128,    0
  4263, 24248,19580927,  108,    0
  4263, 24248,19580928,  113,    0
  4263, 24248,19580929,  166,    0
  4263, 24248,19580930,  164,    0
  4263, 24248,19581001,  134,    0
  4263, 24248,19581002,  132,    0
  4263, 24248,19581003,  118,    0
  4263, 24248,19581004,  138,    0
  4263, 24248,19581005,  124,    0
  4263, 24248,19581006,   91,    0
  4263, 24248,19581007,  100,    0
  4263, 24248,19581008,  132,    0
  4263, 24248,19581009,  141,    0
  4263, 24248,19581010,  152,    0
  4263, 24248,19581011,  110,    0
  4263, 24248,19581012,   96,    0
  4263, 24248,19581013,   95,    0
  4263, 24248,19581014,  118,    0
  4263, 24248,19581015,  104,    0
  4263, 24248,19581016,   88,    0
  4263, 24248,19581017,   93,    0
  4263, 24248,19581018,   72,    0
  4263, 24248,19581019,   90,    0
  4263, 24248,19581020,  106,    0
  4263, 24248,19581021,   84,    0
  4263, 24248,19581022,  112,    0
  4263, 24248,19581023,  123,    0
  4263, 24248,19581024,  120,    0
  4263, 24248,19581025,  110,    0
  4263, 24248,19581026,  112,    0
  4263, 24248,19581027,  110,    0
  4263, 24248,19581028,  100,    0
  4263, 24248,19581029,   62,    0
  4263, 24248,19581030,   55,    0
  4263, 24248,19581031,   74,    0
  4263, 24248,19581101,   68,    0
  4263, 24248,19581102,   70,    0
  4263, 24248,19581103,   66,    0
  4263, 24248,19581104,   76,    0
  4263, 24248,19581105,   56,    0
  4263, 24248,19581106,   77,    0
  4263, 24248,19581107,   74,    0
  4263, 24248,19581108,   90,    0
  4263, 24248,19581109,   66,    0
  4263, 24248,19581110,   35,    0
  4263, 24248,19581111,   18,    0
  4263, 24248,19581112,    5,    0
  4263, 24248,19581113,   58,    0
  4263, 24248,19581114,   83,    0
  4263, 24248,19581115,   64,    0
  4263, 24248,19581116,   56,    0
  4263, 24248,19581117,   64,    0
  4263, 24248,19581118,   71,    0
  4263, 24248,19581119,   57,    0
  4263, 24248,19581120,   53,    0
  4263, 24248,19581121,   24,    0
  4263, 24248,19581122,   29,    0
  4263, 24248,19581123,   42,    0
  4263, 24248,19581124,   22,    0
  4263, 24248,19581125,   30,    0
  4263, 24248,19581126,   84,    0
  4263, 24248,19581127,   74,    0
  4263, 24248,19581128,   29,    0
  4263, 24248,19581129,   16,    0
  4263, 24248,19581130,   44,    0
  4263, 24248,19581201,   10,    0
  4263, 24248,19581202,   22,    0
  4263, 24248,19581203,   34,    0
  4263, 24248,19581204,   56,    0
  4263, 24248,19581205,   51,    0
  4263, 24248,19581206,   50,    0
  4263, 24248,19581207,   32,    0
  4263, 24248,19581208,   15,    0
  4263, 24248,19581209,   36,    0
  4263, 24248,19581210,   10,    0
  4263, 24248,19581211,   14,    0
  4263, 24248,19581212,    5,    0
  4263, 24248,19581213,   42,    0
  4263, 24248,19581214,   41,    0
  4263, 24248,19581215,   47,    0
  4263, 24248,19581216,   63,    0
  4263, 24248,19581217,   60,    0
  4263, 24248,19581218,   56,    0
  4263, 24248,19581219,   80,    0
  4263, 24248,19581220,   81,    0
  4263, 24248,19581221,   66,    0
  4263, 24248,19581222,   36,    0
  4263, 24248,19581223,   38,    0
  4263, 24248,19581224,   48,    0
  4263, 24248,19581225,   38,    0
  4263, 24248,19581226,   32,    0
  4263, 24248,19581227,   32,    0
  4263, 24248,19581228,   41,    0
  4263, 24248,19581229,   53,    0
  4263, 24248,19581230,   50,    0
  4263, 24248,19581231,   64,    0
  4263, 24248,19590101,   58,    0
  4263, 24248,19590102,   35,    0
  4263, 24248,19590103,   12,    0
  4263, 24248,19590104,   21,    0
  4263, 24248,19590105,   23,    0
  4263, 24248,19590106,    7,    0
  4263, 24248,19590107,    0,    0
  4263, 24248,19590108,    3,    0
  4263, 24248,19590109,   -7,    0
  4263, 24248,19590110,  -32,    0
  4263, 24248,19590111,  -24,    0
  4263, 24248,19590112,    6,    0
  4263, 24248,19590113,  -41,    0
  4263, 24248,19590114,  -45,    0
  4263, 24248,19590115,  -47,    0
  4263, 24248,19590116,  -66,    0
  4263, 24248,19590117,   -4,    0
  4263, 24248,19590118,    6,    0
  4263, 24248,19590119,   30,    0
  4263, 24248,19590120,   70,    0
  4263, 24248,19590121,   64,    0
  4263, 24248,19590122,   86,    0
  4263, 24248,19590123,   25,    0
  4263, 24248,19590124,   24,    0
  4263, 24248,19590125,   14,    0
  4263, 24248,19590126,   12,    0
  4263, 24248,19590127,   -7,    0
  4263, 24248,19590128,    0,    0
  4263, 24248,19590129,  -16,    0
  4263, 24248,19590130,    2,    0
  4263, 24248,19590131,   30,    0
  4263, 24248,19590201,   10,    0
  4263, 24248,19590202,  -28,    0
  4263, 24248,19590203,   -8,    0
  4263, 24248,19590204,   -8,    0
  4263, 24248,19590205,  -10,    0
  4263, 24248,19590206,  -30,    0
  4263, 24248,19590207,  -45,    0
