EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOBLENZ-HORCHHEIM, GERMANY (STAID: 4297)
Blended and updated with sources:21764 24656 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4297, 21764,19470101,    8,    0
  4297, 21764,19470102,    8,    0
  4297, 21764,19470103,    2,    0
  4297, 21764,19470104,  -53,    0
  4297, 21764,19470105,  -91,    0
  4297, 21764,19470106, -112,    0
  4297, 21764,19470107, -115,    0
  4297, 21764,19470108,  -68,    0
  4297, 21764,19470109,    2,    0
  4297, 21764,19470110,   14,    0
  4297, 21764,19470111,   22,    0
  4297, 21764,19470112,   45,    0
  4297, 21764,19470113,   49,    0
  4297, 21764,19470114,   50,    0
  4297, 21764,19470115,   56,    0
  4297, 21764,19470116,   19,    0
  4297, 21764,19470117,    6,    0
  4297, 21764,19470118,   20,    0
  4297, 21764,19470119,   27,    0
  4297, 21764,19470120,   -2,    0
  4297, 21764,19470121,  -44,    0
  4297, 21764,19470122,  -48,    0
  4297, 21764,19470123,  -46,    0
  4297, 21764,19470124,  -67,    0
  4297, 21764,19470125,  -65,    0
  4297, 21764,19470126,  -72,    0
  4297, 21764,19470127,  -91,    0
  4297, 21764,19470128, -114,    0
  4297, 21764,19470129, -112,    0
  4297, 21764,19470130,  -89,    0
  4297, 21764,19470131,  -81,    0
  4297, 21764,19470201,  -76,    0
  4297, 21764,19470202,  -52,    0
  4297, 21764,19470203,  -28,    0
  4297, 21764,19470204,  -34,    0
  4297, 21764,19470205,  -36,    0
  4297, 21764,19470206,  -58,    0
  4297, 21764,19470207,  -90,    0
  4297, 21764,19470208,  -76,    0
  4297, 21764,19470209,  -36,    0
  4297, 21764,19470210,  -24,    0
  4297, 21764,19470211,  -56,    0
  4297, 21764,19470212,  -43,    0
  4297, 21764,19470213,  -49,    0
  4297, 21764,19470214,  -46,    0
  4297, 21764,19470215,  -48,    0
  4297, 21764,19470216,  -57,    0
  4297, 21764,19470217,  -59,    0
  4297, 21764,19470218,  -71,    0
