EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KUSEL-FUNFBIRKEN, GERMANY (STAID: 4317)
Blended and updated with sources:24896 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4317, 24896,19700101,  -48,    0
  4317, 24896,19700102,  -38,    0
  4317, 24896,19700103,   -4,    0
  4317, 24896,19700104,   -5,    0
  4317, 24896,19700105,  -14,    0
  4317, 24896,19700106,  -35,    0
  4317, 24896,19700107,  -15,    0
  4317, 24896,19700108,  -38,    0
  4317, 24896,19700109,   -9,    0
  4317, 24896,19700110,   -3,    0
  4317, 24896,19700111,    3,    0
  4317, 24896,19700112,  -18,    0
  4317, 24896,19700113,  -36,    0
  4317, 24896,19700114,  -23,    0
  4317, 24896,19700115,    1,    0
  4317, 24896,19700116,   28,    0
  4317, 24896,19700117,   20,    0
  4317, 24896,19700118,    2,    0
  4317, 24896,19700119,  -13,    0
  4317, 24896,19700120,  -52,    0
  4317, 24896,19700121,  -64,    0
  4317, 24896,19700122,  -37,    0
  4317, 24896,19700123,   -7,    0
  4317, 24896,19700124,   27,    0
  4317, 24896,19700125,   20,    0
  4317, 24896,19700126,   33,    0
  4317, 24896,19700127,   36,    0
  4317, 24896,19700128,   -6,    0
  4317, 24896,19700129,   -6,    0
  4317, 24896,19700130,  -11,    0
  4317, 24896,19700131,  -36,    0
  4317, 24896,19700201, -110,    0
  4317, 24896,19700202,   -5,    0
  4317, 24896,19700203,   47,    0
  4317, 24896,19700204,   26,    0
  4317, 24896,19700205,   27,    0
  4317, 24896,19700206,    0,    0
  4317, 24896,19700207,    9,    0
  4317, 24896,19700208,   34,    0
  4317, 24896,19700209,   32,    0
  4317, 24896,19700210,   10,    0
  4317, 24896,19700211,   -6,    0
  4317, 24896,19700212,    8,    0
  4317, 24896,19700213,  -28,    0
  4317, 24896,19700214,  -30,    0
  4317, 24896,19700215,  -71,    0
  4317, 24896,19700216,  -69,    0
  4317, 24896,19700217,  -20,    0
  4317, 24896,19700218,  -31,    0
  4317, 24896,19700219,    1,    0
  4317, 24896,19700220,   37,    0
  4317, 24896,19700221,   49,    0
  4317, 24896,19700222,   76,    0
  4317, 24896,19700223,   33,    0
  4317, 24896,19700224,   30,    0
  4317, 24896,19700225,    8,    0
  4317, 24896,19700226,   -5,    0
  4317, 24896,19700227,  -14,    0
  4317, 24896,19700228,  -31,    0
  4317, 24896,19700301,  -18,    0
  4317, 24896,19700302,  -38,    0
  4317, 24896,19700303,  -45,    0
  4317, 24896,19700304,  -33,    0
  4317, 24896,19700305,  -13,    0
  4317, 24896,19700306,   -4,    0
  4317, 24896,19700307,  -23,    0
  4317, 24896,19700308,  -32,    0
  4317, 24896,19700309,  -24,    0
  4317, 24896,19700310,    6,    0
  4317, 24896,19700311,  -18,    0
  4317, 24896,19700312,    1,    0
  4317, 24896,19700313,   14,    0
  4317, 24896,19700314,   16,    0
  4317, 24896,19700315,    8,    0
  4317, 24896,19700316,   35,    0
  4317, 24896,19700317,   38,    0
  4317, 24896,19700318,   42,    0
  4317, 24896,19700319,   22,    0
  4317, 24896,19700320,   52,    0
  4317, 24896,19700321,   73,    0
  4317, 24896,19700322,   74,    0
  4317, 24896,19700323,   68,    0
  4317, 24896,19700324,   66,    0
  4317, 24896,19700325,   62,    0
  4317, 24896,19700326,   42,    0
  4317, 24896,19700327,   -1,    0
  4317, 24896,19700328,   15,    0
  4317, 24896,19700329,   31,    0
  4317, 24896,19700330,   63,    0
  4317, 24896,19700331,   47,    0
  4317, 24896,19700401,   25,    0
  4317, 24896,19700402,    8,    0
  4317, 24896,19700403,    4,    0
  4317, 24896,19700404,   19,    0
  4317, 24896,19700405,   11,    0
  4317, 24896,19700406,   29,    0
  4317, 24896,19700407,   19,    0
  4317, 24896,19700408,   14,    0
  4317, 24896,19700409,   29,    0
  4317, 24896,19700410,   12,    0
  4317, 24896,19700411,   38,    0
  4317, 24896,19700412,   56,    0
  4317, 24896,19700413,   47,    0
  4317, 24896,19700414,   42,    0
  4317, 24896,19700415,   72,    0
  4317, 24896,19700416,  116,    0
  4317, 24896,19700417,  139,    0
  4317, 24896,19700418,  120,    0
  4317, 24896,19700419,   84,    0
  4317, 24896,19700420,   56,    0
  4317, 24896,19700421,   80,    0
  4317, 24896,19700422,  105,    0
  4317, 24896,19700423,  111,    0
  4317, 24896,19700424,   93,    0
  4317, 24896,19700425,  107,    0
  4317, 24896,19700426,   60,    0
