EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAMBERG (STERNWARTE), GERMANY (STAID: 4327)
Blended and updated with sources:25016 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4327, 25016,18790101,   72,    0
  4327, 25016,18790102,   49,    0
  4327, 25016,18790103,   10,    0
  4327, 25016,18790104,   32,    0
  4327, 25016,18790105,    6,    0
  4327, 25016,18790106,    1,    0
  4327, 25016,18790107,  -22,    0
  4327, 25016,18790108,  -66,    0
  4327, 25016,18790109,  -82,    0
  4327, 25016,18790110,  -63,    0
  4327, 25016,18790111,  -66,    0
  4327, 25016,18790112,   -5,    0
  4327, 25016,18790113,  -28,    0
  4327, 25016,18790114,    0,    0
  4327, 25016,18790115,    7,    0
  4327, 25016,18790116,    4,    0
  4327, 25016,18790117,  -30,    0
  4327, 25016,18790118,  -35,    0
  4327, 25016,18790119,  -42,    0
  4327, 25016,18790120,  -55,    0
  4327, 25016,18790121,  -80,    0
  4327, 25016,18790122,  -64,    0
  4327, 25016,18790123,  -13,    0
  4327, 25016,18790124,   12,    0
  4327, 25016,18790125,   -7,    0
  4327, 25016,18790126,   -9,    0
  4327, 25016,18790127,    6,    0
  4327, 25016,18790128,  -10,    0
  4327, 25016,18790129,  -15,    0
  4327, 25016,18790130,    1,    0
  4327, 25016,18790131,   -1,    0
  4327, 25016,18790201,  -22,    0
  4327, 25016,18790202,  -48,    0
  4327, 25016,18790203,    3,    0
  4327, 25016,18790204,   26,    0
  4327, 25016,18790205,   18,    0
  4327, 25016,18790206,   19,    0
  4327, 25016,18790207,   38,    0
  4327, 25016,18790208,   53,    0
  4327, 25016,18790209,   62,    0
  4327, 25016,18790210,   75,    0
  4327, 25016,18790211,   55,    0
  4327, 25016,18790212,   47,    0
  4327, 25016,18790213,   22,    0
  4327, 25016,18790214,   13,    0
  4327, 25016,18790215,   16,    0
  4327, 25016,18790216,   22,    0
  4327, 25016,18790217,   24,    0
  4327, 25016,18790218,   20,    0
  4327, 25016,18790219,   15,    0
