EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAUDA-KONIGSHOFEN-GERLACHSHEIM, GERMANY (STAID: 4333)
Blended and updated with sources:25088 29180 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4333, 25088,19490101,   45,    0
  4333, 25088,19490102,   26,    0
  4333, 25088,19490103,   40,    0
  4333, 25088,19490104,   20,    0
  4333, 25088,19490105,   31,    0
  4333, 25088,19490106,   10,    0
  4333, 25088,19490107,  -13,    0
  4333, 25088,19490108,   -4,    0
  4333, 25088,19490109,   10,    0
  4333, 25088,19490110,  -32,    0
  4333, 25088,19490111,  -14,    0
  4333, 25088,19490112,   10,    0
  4333, 25088,19490113,  -28,    0
  4333, 25088,19490114,   14,    0
  4333, 25088,19490115,   28,    0
  4333, 25088,19490116,   50,    0
  4333, 25088,19490117,   53,    0
  4333, 25088,19490118,   68,    0
  4333, 25088,19490119,   82,    0
  4333, 25088,19490120,   64,    0
  4333, 25088,19490121,   51,    0
  4333, 25088,19490122,   24,    0
  4333, 25088,19490123,  -13,    0
  4333, 25088,19490124,   -8,    0
  4333, 25088,19490125,    8,    0
  4333, 25088,19490126,  -15,    0
  4333, 25088,19490127,  -24,    0
  4333, 25088,19490128,  -30,    0
  4333, 25088,19490129,  -36,    0
  4333, 25088,19490130,  -14,    0
  4333, 25088,19490131,   20,    0
  4333, 25088,19490201,   -3,    0
  4333, 25088,19490202,  -65,    0
  4333, 25088,19490203,  -65,    0
  4333, 25088,19490204,  -53,    0
  4333, 25088,19490205,  -24,    0
  4333, 25088,19490206,  -22,    0
  4333, 25088,19490207,  -29,    0
  4333, 25088,19490208,   11,    0
  4333, 25088,19490209,   84,    0
  4333, 25088,19490210,   37,    0
  4333, 25088,19490211,   14,    0
  4333, 25088,19490212,   -1,    0
  4333, 25088,19490213,    2,    0
  4333, 25088,19490214,  -10,    0
  4333, 25088,19490215,   21,    0
  4333, 25088,19490216,   45,    0
  4333, 25088,19490217,   22,    0
  4333, 25088,19490218,   -4,    0
  4333, 25088,19490219,    0,    0
  4333, 25088,19490220,   -1,    0
  4333, 25088,19490221,    9,    0
  4333, 25088,19490222,   16,    0
  4333, 25088,19490223,   72,    0
  4333, 25088,19490224,   76,    0
  4333, 25088,19490225,   43,    0
  4333, 25088,19490226,   50,    0
  4333, 25088,19490227,   36,    0
  4333, 25088,19490228,   22,    0
  4333, 25088,19490301,   16,    0
  4333, 25088,19490302,  -20,    0
  4333, 25088,19490303,  -57,    0
  4333, 25088,19490304,  -72,    0
  4333, 25088,19490305,  -56,    0
  4333, 25088,19490306,  -40,    0
  4333, 25088,19490307,  -48,    0
  4333, 25088,19490308,  -33,    0
  4333, 25088,19490309,    9,    0
  4333, 25088,19490310,   44,    0
  4333, 25088,19490311,   44,    0
  4333, 25088,19490312,   38,    0
  4333, 25088,19490313,   81,    0
  4333, 25088,19490314,   81,    0
  4333, 25088,19490315,   37,    0
  4333, 25088,19490316,   38,    0
  4333, 25088,19490317,   36,    0
  4333, 25088,19490318,   34,    0
  4333, 25088,19490319,   -6,    0
  4333, 25088,19490320,   -2,    0
  4333, 25088,19490321,   -8,    0
  4333, 25088,19490322,   10,    0
  4333, 25088,19490323,   50,    0
  4333, 25088,19490324,   80,    0
  4333, 25088,19490325,   78,    0
  4333, 25088,19490326,   62,    0
  4333, 25088,19490327,  110,    0
  4333, 25088,19490328,  112,    0
  4333, 25088,19490329,  108,    0
  4333, 25088,19490330,   92,    0
  4333, 25088,19490331,  104,    0
  4333, 25088,19490401,  109,    0
  4333, 25088,19490402,   78,    0
  4333, 25088,19490403,  111,    0
  4333, 25088,19490404,  170,    0
  4333, 25088,19490405,  133,    0
  4333, 25088,19490406,  144,    0
  4333, 25088,19490407,   70,    0
  4333, 25088,19490408,   37,    0
  4333, 25088,19490409,   37,    0
  4333, 25088,19490410,   44,    0
  4333, 25088,19490411,  111,    0
  4333, 25088,19490412,  128,    0
  4333, 25088,19490413,  164,    0
  4333, 25088,19490414,  133,    0
  4333, 25088,19490415,  128,    0
  4333, 25088,19490416,  162,    0
  4333, 25088,19490417,  128,    0
  4333, 25088,19490418,  195,    0
  4333, 25088,19490419,  148,    0
  4333, 25088,19490420,  112,    0
  4333, 25088,19490421,  141,    0
  4333, 25088,19490422,   92,    0
  4333, 25088,19490423,   88,    0
  4333, 25088,19490424,  138,    0
  4333, 25088,19490425,  151,    0
  4333, 25088,19490426,   80,    0
  4333, 25088,19490427,  108,    0
  4333, 25088,19490428,  118,    0
  4333, 25088,19490429,  129,    0
  4333, 25088,19490430,   83,    0
  4333, 25088,19490501,   90,    0
  4333, 25088,19490502,  138,    0
  4333, 25088,19490503,  178,    0
  4333, 25088,19490504,  172,    0
  4333, 25088,19490505,  154,    0
  4333, 25088,19490506,  112,    0
  4333, 25088,19490507,  109,    0
  4333, 25088,19490508,   73,    0
  4333, 25088,19490509,   58,    0
  4333, 25088,19490510,   48,    0
  4333, 25088,19490511,   89,    0
  4333, 25088,19490512,   96,    0
  4333, 25088,19490513,  110,    0
  4333, 25088,19490514,  132,    0
  4333, 25088,19490515,  107,    0
  4333, 25088,19490516,  140,    0
  4333, 25088,19490517,  165,    0
  4333, 25088,19490518,  147,    0
  4333, 25088,19490519,  153,    0
  4333, 25088,19490520,  146,    0
  4333, 25088,19490521,  135,    0
  4333, 25088,19490522,  150,    0
  4333, 25088,19490523,  146,    0
  4333, 25088,19490524,  143,    0
  4333, 25088,19490525,  129,    0
  4333, 25088,19490526,  127,    0
  4333, 25088,19490527,  128,    0
  4333, 25088,19490528,  160,    0
  4333, 25088,19490529,  165,    0
  4333, 25088,19490530,  162,    0
  4333, 25088,19490531,  134,    0
  4333, 25088,19490601,  152,    0
  4333, 25088,19490602,  146,    0
  4333, 25088,19490603,  165,    0
  4333, 25088,19490604,  139,    0
  4333, 25088,19490605,  128,    0
  4333, 25088,19490606,  154,    0
  4333, 25088,19490607,  189,    0
  4333, 25088,19490608,  217,    0
  4333, 25088,19490609,  203,    0
  4333, 25088,19490610,  142,    0
  4333, 25088,19490611,  141,    0
  4333, 25088,19490612,  115,    0
  4333, 25088,19490613,  160,    0
  4333, 25088,19490614,  153,    0
  4333, 25088,19490615,  123,    0
  4333, 25088,19490616,  115,    0
  4333, 25088,19490617,  101,    0
  4333, 25088,19490618,  112,    0
  4333, 25088,19490619,  144,    0
  4333, 25088,19490620,  161,    0
  4333, 25088,19490621,  181,    0
  4333, 25088,19490622,  142,    0
  4333, 25088,19490623,  134,    0
  4333, 25088,19490624,  116,    0
  4333, 25088,19490625,  116,    0
  4333, 25088,19490626,  161,    0
  4333, 25088,19490627,  162,    0
