EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LEHESTEN/THURINGER WALD, GERMANY (STAID: 4340)
Blended and updated with sources:25172 29228 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4340, 25172,19470101,  -70,    0
  4340, 25172,19470102,  -36,    0
  4340, 25172,19470103,  -46,    0
  4340, 25172,19470104, -122,    0
  4340, 25172,19470105, -170,    0
  4340, 25172,19470106, -166,    0
  4340, 25172,19470107, -177,    0
  4340, 25172,19470108,  -92,    0
  4340, 25172,19470109,  -30,    0
  4340, 25172,19470110,  -14,    0
  4340, 25172,19470111,  -14,    0
  4340, 25172,19470112,    9,    0
  4340, 25172,19470113,   16,    0
  4340, 25172,19470114,    0,    0
  4340, 25172,19470115,   31,    0
  4340, 25172,19470116,   38,    0
  4340, 25172,19470117,   17,    0
  4340, 25172,19470118,    2,    0
  4340, 25172,19470119,   -9,    0
  4340, 25172,19470120,  -40,    0
  4340, 25172,19470121,  -62,    0
  4340, 25172,19470122,  -80,    0
  4340, 25172,19470123,  -89,    0
  4340, 25172,19470124,  -98,    0
  4340, 25172,19470125, -114,    0
  4340, 25172,19470126, -135,    0
  4340, 25172,19470127, -154,    0
  4340, 25172,19470128, -168,    0
  4340, 25172,19470129, -120,    0
  4340, 25172,19470130, -113,    0
  4340, 25172,19470131, -114,    0
  4340, 25172,19470201, -116,    0
  4340, 25172,19470202, -128,    0
  4340, 25172,19470203,  -74,    0
  4340, 25172,19470204,  -92,    0
  4340, 25172,19470205,  -93,    0
  4340, 25172,19470206, -120,    0
  4340, 25172,19470207, -124,    0
  4340, 25172,19470208,  -98,    0
  4340, 25172,19470209,  -98,    0
  4340, 25172,19470210, -113,    0
  4340, 25172,19470211, -118,    0
  4340, 25172,19470212,  -60,    0
  4340, 25172,19470213,  -84,    0
  4340, 25172,19470214, -106,    0
  4340, 25172,19470215, -122,    0
  4340, 25172,19470216, -116,    0
  4340, 25172,19470217, -116,    0
  4340, 25172,19470218,  -92,    0
  4340, 25172,19470219, -116,    0
  4340, 25172,19470220, -128,    0
  4340, 25172,19470221,  -52,    0
  4340, 25172,19470222,   22,    0
  4340, 25172,19470223,  -82,    0
  4340, 25172,19470224, -117,    0
  4340, 25172,19470225, -108,    0
  4340, 25172,19470226,  -66,    0
  4340, 25172,19470227,  -44,    0
  4340, 25172,19470228,  -20,    0
  4340, 25172,19470301,  -60,    0
  4340, 25172,19470302,  -61,    0
  4340, 25172,19470303,  -86,    0
  4340, 25172,19470304,  -45,    0
  4340, 25172,19470305,   13,    0
  4340, 25172,19470306,   35,    0
  4340, 25172,19470307,  -14,    0
  4340, 25172,19470308,  -49,    0
  4340, 25172,19470309,  -37,    0
  4340, 25172,19470310,  -37,    0
  4340, 25172,19470311,   22,    0
  4340, 25172,19470312,  -64,    0
  4340, 25172,19470313,   11,    0
  4340, 25172,19470314,   48,    0
  4340, 25172,19470315,  -48,    0
  4340, 25172,19470316,   -4,    0
  4340, 25172,19470317,   42,    0
  4340, 25172,19470318,   67,    0
  4340, 25172,19470319,   34,    0
  4340, 25172,19470320,   28,    0
  4340, 25172,19470321,   46,    0
  4340, 25172,19470322,   74,    0
  4340, 25172,19470323,   58,    0
  4340, 25172,19470324,   44,    0
  4340, 25172,19470325,    2,    0
  4340, 25172,19470326,   12,    0
  4340, 25172,19470327,   20,    0
  4340, 25172,19470328,   90,    0
  4340, 25172,19470329,  102,    0
  4340, 25172,19470330,   52,    0
  4340, 25172,19470331,   66,    0
  4340, 25172,19470401,   58,    0
  4340, 25172,19470402,   56,    0
  4340, 25172,19470403,   36,    0
  4340, 25172,19470404,   57,    0
  4340, 25172,19470405,   13,    0
  4340, 25172,19470406,   45,    0
