EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LENNESTADT-THETEN, GERMANY (STAID: 4345)
Blended and updated with sources:25232 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4345, 25232,19620401,   26,    0
  4345, 25232,19620402,   54,    0
  4345, 25232,19620403,   82,    0
  4345, 25232,19620404,   48,    0
  4345, 25232,19620405,   42,    0
  4345, 25232,19620406,   28,    0
  4345, 25232,19620407,   46,    0
  4345, 25232,19620408,   62,    0
  4345, 25232,19620409,   36,    0
  4345, 25232,19620410,   22,    0
  4345, 25232,19620411,   74,    0
  4345, 25232,19620412,   74,    0
  4345, 25232,19620413,   34,    0
  4345, 25232,19620414,   19,    0
  4345, 25232,19620415,   43,    0
  4345, 25232,19620416,   39,    0
  4345, 25232,19620417,   73,    0
  4345, 25232,19620418,  132,    0
  4345, 25232,19620419,  106,    0
  4345, 25232,19620420,   98,    0
  4345, 25232,19620421,  141,    0
  4345, 25232,19620422,  144,    0
  4345, 25232,19620423,  150,    0
  4345, 25232,19620424,  160,    0
  4345, 25232,19620425,  150,    0
  4345, 25232,19620426,  130,    0
  4345, 25232,19620427,   81,    0
  4345, 25232,19620428,   57,    0
  4345, 25232,19620429,   48,    0
  4345, 25232,19620430,   29,    0
  4345, 25232,19620501,   39,    0
  4345, 25232,19620502,   69,    0
  4345, 25232,19620503,   50,    0
  4345, 25232,19620504,   57,    0
  4345, 25232,19620505,  102,    0
  4345, 25232,19620506,  135,    0
  4345, 25232,19620507,  157,    0
  4345, 25232,19620508,  130,    0
  4345, 25232,19620509,  114,    0
  4345, 25232,19620510,   70,    0
  4345, 25232,19620511,   68,    0
  4345, 25232,19620512,   60,    0
  4345, 25232,19620513,   71,    0
  4345, 25232,19620514,   64,    0
  4345, 25232,19620515,   66,    0
  4345, 25232,19620516,   86,    0
  4345, 25232,19620517,   84,    0
  4345, 25232,19620518,   94,    0
  4345, 25232,19620519,  112,    0
  4345, 25232,19620520,   59,    0
  4345, 25232,19620521,  116,    0
  4345, 25232,19620522,  104,    0
  4345, 25232,19620523,   98,    0
  4345, 25232,19620524,   65,    0
  4345, 25232,19620525,   69,    0
  4345, 25232,19620526,   80,    0
  4345, 25232,19620527,  102,    0
  4345, 25232,19620528,   82,    0
  4345, 25232,19620529,   86,    0
  4345, 25232,19620530,   91,    0
  4345, 25232,19620531,   79,    0
  4345, 25232,19620601,   60,    0
  4345, 25232,19620602,   54,    0
  4345, 25232,19620603,   70,    0
  4345, 25232,19620604,   72,    0
  4345, 25232,19620605,   88,    0
  4345, 25232,19620606,   99,    0
  4345, 25232,19620607,  120,    0
  4345, 25232,19620608,  143,    0
  4345, 25232,19620609,  150,    0
  4345, 25232,19620610,  149,    0
  4345, 25232,19620611,   92,    0
  4345, 25232,19620612,   97,    0
  4345, 25232,19620613,  164,    0
  4345, 25232,19620614,  174,    0
  4345, 25232,19620615,  206,    0
  4345, 25232,19620616,  170,    0
  4345, 25232,19620617,  182,    0
