EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LENNINGEN-SCHOPFLOCH, GERMANY (STAID: 4346)
Blended and updated with sources:25244 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4346, 25244,19470801,  220,    0
  4346, 25244,19470802,  225,    0
  4346, 25244,19470803,  250,    0
  4346, 25244,19470804,  238,    0
  4346, 25244,19470805,  171,    0
  4346, 25244,19470806,  145,    0
  4346, 25244,19470807,  140,    0
  4346, 25244,19470808,  128,    0
  4346, 25244,19470809,  154,    0
  4346, 25244,19470810,  186,    0
  4346, 25244,19470811,  183,    0
  4346, 25244,19470812,  186,    0
  4346, 25244,19470813,  189,    0
  4346, 25244,19470814,  209,    0
  4346, 25244,19470815,  220,    0
  4346, 25244,19470816,  218,    0
  4346, 25244,19470817,  214,    0
  4346, 25244,19470818,  208,    0
  4346, 25244,19470819,  218,    0
  4346, 25244,19470820,  220,    0
  4346, 25244,19470821,  178,    0
  4346, 25244,19470822,  161,    0
  4346, 25244,19470823,  157,    0
  4346, 25244,19470824,  156,    0
  4346, 25244,19470825,  156,    0
  4346, 25244,19470826,  147,    0
  4346, 25244,19470827,  152,    0
  4346, 25244,19470828,  179,    0
  4346, 25244,19470829,  145,    0
  4346, 25244,19470830,  122,    0
  4346, 25244,19470831,  122,    0
  4346, 25244,19470901,  148,    0
  4346, 25244,19470902,  159,    0
  4346, 25244,19470903,  146,    0
  4346, 25244,19470904,  138,    0
  4346, 25244,19470905,  153,    0
  4346, 25244,19470906,  168,    0
  4346, 25244,19470907,  147,    0
  4346, 25244,19470908,  160,    0
  4346, 25244,19470909,  150,    0
  4346, 25244,19470910,  154,    0
  4346, 25244,19470911,  202,    0
  4346, 25244,19470912,  218,    0
  4346, 25244,19470913,  220,    0
  4346, 25244,19470914,  217,    0
  4346, 25244,19470915,  225,    0
  4346, 25244,19470916,  213,    0
