EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BARSINGHAUSEN-HOHENBOSTEL, GERMANY (STAID: 4347)
Blended and updated with sources:25256 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4347, 25256,19920201,   -4,    0
  4347, 25256,19920202,  -13,    0
  4347, 25256,19920203,   37,    0
  4347, 25256,19920204,   20,    0
  4347, 25256,19920205,   51,    0
  4347, 25256,19920206,   78,    0
  4347, 25256,19920207,   70,    0
  4347, 25256,19920208,   52,    0
  4347, 25256,19920209,   56,    0
  4347, 25256,19920210,   49,    0
  4347, 25256,19920211,   63,    0
  4347, 25256,19920212,   93,    0
  4347, 25256,19920213,   78,    0
  4347, 25256,19920214,   62,    0
  4347, 25256,19920215,   70,    0
  4347, 25256,19920216,   22,    0
  4347, 25256,19920217,  -23,    0
  4347, 25256,19920218,  -14,    0
  4347, 25256,19920219,    4,    0
  4347, 25256,19920220,   24,    0
  4347, 25256,19920221,   38,    0
  4347, 25256,19920222,   44,    0
  4347, 25256,19920223,   60,    0
  4347, 25256,19920224,   52,    0
  4347, 25256,19920225,   51,    0
  4347, 25256,19920226,   78,    0
  4347, 25256,19920227,   76,    0
  4347, 25256,19920228,  104,    0
  4347, 25256,19920229,  114,    0
  4347, 25256,19920301,  116,    0
  4347, 25256,19920302,   64,    0
  4347, 25256,19920303,   70,    0
  4347, 25256,19920304,   74,    0
  4347, 25256,19920305,   92,    0
  4347, 25256,19920306,   78,    0
  4347, 25256,19920307,   68,    0
  4347, 25256,19920308,   80,    0
  4347, 25256,19920309,   55,    0
  4347, 25256,19920310,  106,    0
  4347, 25256,19920311,   24,    0
  4347, 25256,19920312,   64,    0
  4347, 25256,19920313,   22,    0
  4347, 25256,19920314,    8,    0
  4347, 25256,19920315,   29,    0
  4347, 25256,19920316,   38,    0
  4347, 25256,19920317,   64,    0
  4347, 25256,19920318,   85,    0
  4347, 25256,19920319,   71,    0
  4347, 25256,19920320,  100,    0
  4347, 25256,19920321,   63,    0
  4347, 25256,19920322,   42,    0
  4347, 25256,19920323,   36,    0
  4347, 25256,19920324,   38,    0
  4347, 25256,19920325,   35,    0
  4347, 25256,19920326,   50,    0
  4347, 25256,19920327,   42,    0
  4347, 25256,19920328,   11,    0
  4347, 25256,19920329,   18,    0
  4347, 25256,19920330,   34,    0
  4347, 25256,19920331,   76,    0
  4347, 25256,19920401,   56,    0
  4347, 25256,19920402,   75,    0
  4347, 25256,19920403,   66,    0
  4347, 25256,19920404,   53,    0
  4347, 25256,19920405,   43,    0
  4347, 25256,19920406,   73,    0
  4347, 25256,19920407,   86,    0
  4347, 25256,19920408,   72,    0
  4347, 25256,19920409,   85,    0
  4347, 25256,19920410,   99,    0
  4347, 25256,19920411,  113,    0
  4347, 25256,19920412,  131,    0
  4347, 25256,19920413,   76,    0
  4347, 25256,19920414,   76,    0
  4347, 25256,19920415,   72,    0
  4347, 25256,19920416,   26,    0
  4347, 25256,19920417,   44,    0
  4347, 25256,19920418,   98,    0
  4347, 25256,19920419,   77,    0
  4347, 25256,19920420,   46,    0
  4347, 25256,19920421,   90,    0
  4347, 25256,19920422,  111,    0
  4347, 25256,19920423,   96,    0
  4347, 25256,19920424,  138,    0
  4347, 25256,19920425,  145,    0
  4347, 25256,19920426,  137,    0
  4347, 25256,19920427,  108,    0
  4347, 25256,19920428,   98,    0
  4347, 25256,19920429,   76,    0
  4347, 25256,19920430,  110,    0
  4347, 25256,19920501,   91,    0
  4347, 25256,19920502,   88,    0
  4347, 25256,19920503,   84,    0
  4347, 25256,19920504,   91,    0
  4347, 25256,19920505,  118,    0
  4347, 25256,19920506,  129,    0
  4347, 25256,19920507,  145,    0
  4347, 25256,19920508,   96,    0
  4347, 25256,19920509,   82,    0
  4347, 25256,19920510,   88,    0
  4347, 25256,19920511,   84,    0
  4347, 25256,19920512,  130,    0
  4347, 25256,19920513,  156,    0
  4347, 25256,19920514,  186,    0
  4347, 25256,19920515,  196,    0
  4347, 25256,19920516,  127,    0
  4347, 25256,19920517,  124,    0
  4347, 25256,19920518,  150,    0
  4347, 25256,19920519,  165,    0
  4347, 25256,19920520,  180,    0
