EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LENSAHN, GERMANY (STAID: 4348)
Blended and updated with sources:25268 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4348, 25268,19620401,   20,    0
  4348, 25268,19620402,   52,    0
  4348, 25268,19620403,   86,    0
  4348, 25268,19620404,   58,    0
  4348, 25268,19620405,   44,    0
  4348, 25268,19620406,   44,    0
  4348, 25268,19620407,   56,    0
  4348, 25268,19620408,   65,    0
  4348, 25268,19620409,   41,    0
  4348, 25268,19620410,   46,    0
  4348, 25268,19620411,   76,    0
  4348, 25268,19620412,   67,    0
  4348, 25268,19620413,   47,    0
  4348, 25268,19620414,   45,    0
  4348, 25268,19620415,   42,    0
  4348, 25268,19620416,   48,    0
  4348, 25268,19620417,   69,    0
  4348, 25268,19620418,   88,    0
  4348, 25268,19620419,   68,    0
  4348, 25268,19620420,   62,    0
  4348, 25268,19620421,   83,    0
  4348, 25268,19620422,  100,    0
  4348, 25268,19620423,   60,    0
  4348, 25268,19620424,   88,    0
  4348, 25268,19620425,  114,    0
  4348, 25268,19620426,  101,    0
  4348, 25268,19620427,   99,    0
  4348, 25268,19620428,   86,    0
  4348, 25268,19620429,   65,    0
  4348, 25268,19620430,   53,    0
  4348, 25268,19620501,   68,    0
  4348, 25268,19620502,   63,    0
  4348, 25268,19620503,   69,    0
  4348, 25268,19620504,   67,    0
  4348, 25268,19620505,   65,    0
  4348, 25268,19620506,  142,    0
  4348, 25268,19620507,  142,    0
  4348, 25268,19620508,  134,    0
  4348, 25268,19620509,  126,    0
  4348, 25268,19620510,  106,    0
  4348, 25268,19620511,   97,    0
  4348, 25268,19620512,   84,    0
  4348, 25268,19620513,   82,    0
  4348, 25268,19620514,   99,    0
  4348, 25268,19620515,  101,    0
  4348, 25268,19620516,   99,    0
  4348, 25268,19620517,   89,    0
  4348, 25268,19620518,   94,    0
  4348, 25268,19620519,  108,    0
  4348, 25268,19620520,   98,    0
  4348, 25268,19620521,  128,    0
  4348, 25268,19620522,  107,    0
  4348, 25268,19620523,  103,    0
  4348, 25268,19620524,   98,    0
  4348, 25268,19620525,   98,    0
  4348, 25268,19620526,  112,    0
  4348, 25268,19620527,  113,    0
  4348, 25268,19620528,  124,    0
  4348, 25268,19620529,  116,    0
  4348, 25268,19620530,   83,    0
  4348, 25268,19620531,   73,    0
  4348, 25268,19620601,   88,    0
  4348, 25268,19620602,   86,    0
  4348, 25268,19620603,  104,    0
  4348, 25268,19620604,  124,    0
  4348, 25268,19620605,  124,    0
  4348, 25268,19620606,  138,    0
  4348, 25268,19620607,  158,    0
  4348, 25268,19620608,  166,    0
  4348, 25268,19620609,  142,    0
  4348, 25268,19620610,  165,    0
  4348, 25268,19620611,  103,    0
  4348, 25268,19620612,  102,    0
  4348, 25268,19620613,  166,    0
  4348, 25268,19620614,  179,    0
  4348, 25268,19620615,  199,    0
  4348, 25268,19620616,  186,    0
  4348, 25268,19620617,  145,    0
  4348, 25268,19620618,  190,    0
  4348, 25268,19620619,  164,    0
  4348, 25268,19620620,  157,    0
  4348, 25268,19620621,  176,    0
  4348, 25268,19620622,  173,    0
  4348, 25268,19620623,  164,    0
  4348, 25268,19620624,  152,    0
  4348, 25268,19620625,  115,    0
  4348, 25268,19620626,  111,    0
  4348, 25268,19620627,  114,    0
  4348, 25268,19620628,  116,    0
  4348, 25268,19620629,  122,    0
  4348, 25268,19620630,  114,    0
  4348, 25268,19620701,  132,    0
  4348, 25268,19620702,  110,    0
  4348, 25268,19620703,   98,    0
  4348, 25268,19620704,  122,    0
  4348, 25268,19620705,  119,    0
  4348, 25268,19620706,  122,    0
  4348, 25268,19620707,  132,    0
  4348, 25268,19620708,  125,    0
  4348, 25268,19620709,  132,    0
  4348, 25268,19620710,  155,    0
  4348, 25268,19620711,  146,    0
  4348, 25268,19620712,  151,    0
  4348, 25268,19620713,  140,    0
  4348, 25268,19620714,  149,    0
  4348, 25268,19620715,  162,    0
  4348, 25268,19620716,  161,    0
  4348, 25268,19620717,  160,    0
  4348, 25268,19620718,  164,    0
  4348, 25268,19620719,  181,    0
  4348, 25268,19620720,  176,    0
  4348, 25268,19620721,  177,    0
  4348, 25268,19620722,  170,    0
  4348, 25268,19620723,  134,    0
  4348, 25268,19620724,  132,    0
  4348, 25268,19620725,  138,    0
  4348, 25268,19620726,  136,    0
  4348, 25268,19620727,  138,    0
  4348, 25268,19620728,  154,    0
  4348, 25268,19620729,  144,    0
  4348, 25268,19620730,  137,    0
  4348, 25268,19620731,  156,    0
  4348, 25268,19620801,  161,    0
  4348, 25268,19620802,  153,    0
  4348, 25268,19620803,  154,    0
  4348, 25268,19620804,  144,    0
  4348, 25268,19620805,  143,    0
  4348, 25268,19620806,  148,    0
  4348, 25268,19620807,  151,    0
  4348, 25268,19620808,  124,    0
  4348, 25268,19620809,  142,    0
  4348, 25268,19620810,  123,    0
  4348, 25268,19620811,  160,    0
  4348, 25268,19620812,  169,    0
  4348, 25268,19620813,  140,    0
  4348, 25268,19620814,  128,    0
  4348, 25268,19620815,  151,    0
  4348, 25268,19620816,  158,    0
  4348, 25268,19620817,  148,    0
  4348, 25268,19620818,  139,    0
  4348, 25268,19620819,  154,    0
  4348, 25268,19620820,  152,    0
  4348, 25268,19620821,  142,    0
  4348, 25268,19620822,  122,    0
  4348, 25268,19620823,  136,    0
  4348, 25268,19620824,  155,    0
  4348, 25268,19620825,  132,    0
  4348, 25268,19620826,  128,    0
  4348, 25268,19620827,  135,    0
  4348, 25268,19620828,  127,    0
  4348, 25268,19620829,  138,    0
  4348, 25268,19620830,  135,    0
  4348, 25268,19620831,  136,    0
  4348, 25268,19620901,  131,    0
  4348, 25268,19620902,  130,    0
  4348, 25268,19620903,  147,    0
  4348, 25268,19620904,  166,    0
  4348, 25268,19620905,  140,    0
  4348, 25268,19620906,  144,    0
  4348, 25268,19620907,  114,    0
  4348, 25268,19620908,  102,    0
  4348, 25268,19620909,  125,    0
  4348, 25268,19620910,  162,    0
  4348, 25268,19620911,  148,    0
  4348, 25268,19620912,  139,    0
  4348, 25268,19620913,  119,    0
  4348, 25268,19620914,  108,    0
  4348, 25268,19620915,  112,    0
  4348, 25268,19620916,  111,    0
  4348, 25268,19620917,   83,    0
  4348, 25268,19620918,   88,    0
  4348, 25268,19620919,   81,    0
  4348, 25268,19620920,  102,    0
  4348, 25268,19620921,   92,    0
  4348, 25268,19620922,  110,    0
  4348, 25268,19620923,  111,    0
  4348, 25268,19620924,  110,    0
  4348, 25268,19620925,  112,    0
  4348, 25268,19620926,  127,    0
  4348, 25268,19620927,  122,    0
  4348, 25268,19620928,  104,    0
  4348, 25268,19620929,  110,    0
  4348, 25268,19620930,  144,    0
  4348, 25268,19621001,  148,    0
  4348, 25268,19621002,  164,    0
  4348, 25268,19621003,  148,    0
  4348, 25268,19621004,  125,    0
  4348, 25268,19621005,  130,    0
  4348, 25268,19621006,  122,    0
  4348, 25268,19621007,  114,    0
  4348, 25268,19621008,  104,    0
  4348, 25268,19621009,  108,    0
  4348, 25268,19621010,   92,    0
  4348, 25268,19621011,   95,    0
  4348, 25268,19621012,  102,    0
  4348, 25268,19621013,   87,    0
  4348, 25268,19621014,   96,    0
  4348, 25268,19621015,   57,    0
  4348, 25268,19621016,  100,    0
  4348, 25268,19621017,  114,    0
  4348, 25268,19621018,  126,    0
  4348, 25268,19621019,  106,    0
  4348, 25268,19621020,   79,    0
  4348, 25268,19621021,  106,    0
  4348, 25268,19621022,  103,    0
  4348, 25268,19621023,   68,    0
  4348, 25268,19621024,   92,    0
  4348, 25268,19621025,   98,    0
  4348, 25268,19621026,   83,    0
  4348, 25268,19621027,   38,    0
  4348, 25268,19621028,   54,    0
  4348, 25268,19621029,   55,    0
  4348, 25268,19621030,   52,    0
  4348, 25268,19621031,   56,    0
  4348, 25268,19621101,   36,    0
  4348, 25268,19621102,   49,    0
  4348, 25268,19621103,   56,    0
  4348, 25268,19621104,   66,    0
  4348, 25268,19621105,   76,    0
  4348, 25268,19621106,   92,    0
  4348, 25268,19621107,   70,    0
  4348, 25268,19621108,   86,    0
  4348, 25268,19621109,   84,    0
  4348, 25268,19621110,   65,    0
  4348, 25268,19621111,   43,    0
  4348, 25268,19621112,   34,    0
  4348, 25268,19621113,   45,    0
  4348, 25268,19621114,   28,    0
  4348, 25268,19621115,   23,    0
  4348, 25268,19621116,    8,    0
  4348, 25268,19621117,    8,    0
  4348, 25268,19621118,   12,    0
  4348, 25268,19621119,   14,    0
  4348, 25268,19621120,   15,    0
  4348, 25268,19621121,   -4,    0
  4348, 25268,19621122,   12,    0
  4348, 25268,19621123,   26,    0
  4348, 25268,19621124,    8,    0
  4348, 25268,19621125,   41,    0
  4348, 25268,19621126,   72,    0
  4348, 25268,19621127,   69,    0
  4348, 25268,19621128,   66,    0
  4348, 25268,19621129,   76,    0
  4348, 25268,19621130,   22,    0
  4348, 25268,19621201,  -20,    0
  4348, 25268,19621202,  -47,    0
  4348, 25268,19621203,  -43,    0
  4348, 25268,19621204,   14,    0
  4348, 25268,19621205,   29,    0
  4348, 25268,19621206,   -8,    0
  4348, 25268,19621207,  -17,    0
  4348, 25268,19621208,   11,    0
  4348, 25268,19621209,   29,    0
  4348, 25268,19621210,   49,    0
  4348, 25268,19621211,   50,    0
  4348, 25268,19621212,   44,    0
  4348, 25268,19621213,   14,    0
  4348, 25268,19621214,    6,    0
  4348, 25268,19621215,   38,    0
  4348, 25268,19621216,   29,    0
  4348, 25268,19621217,    6,    0
  4348, 25268,19621218,  -16,    0
  4348, 25268,19621219,  -33,    0
  4348, 25268,19621220,  -47,    0
  4348, 25268,19621221,  -47,    0
  4348, 25268,19621222,  -49,    0
  4348, 25268,19621223,  -47,    0
  4348, 25268,19621224,  -76,    0
  4348, 25268,19621225,  -54,    0
  4348, 25268,19621226,  -74,    0
  4348, 25268,19621227,  -36,    0
  4348, 25268,19621228,  -40,    0
  4348, 25268,19621229,  -43,    0
  4348, 25268,19621230,  -12,    0
  4348, 25268,19621231,  -37,    0
  4348, 25268,19630101,  -72,    0
  4348, 25268,19630102,  -64,    0
  4348, 25268,19630103,  -38,    0
  4348, 25268,19630104,  -43,    0
  4348, 25268,19630105,    8,    0
  4348, 25268,19630106,  -29,    0
  4348, 25268,19630107,  -70,    0
  4348, 25268,19630108, -100,    0
  4348, 25268,19630109,  -74,    0
  4348, 25268,19630110,  -75,    0
  4348, 25268,19630111,  -89,    0
  4348, 25268,19630112,  -99,    0
  4348, 25268,19630113,  -44,    0
  4348, 25268,19630114,  -68,    0
  4348, 25268,19630115,  -76,    0
  4348, 25268,19630116,  -88,    0
  4348, 25268,19630117,  -81,    0
  4348, 25268,19630118,  -96,    0
  4348, 25268,19630119, -104,    0
  4348, 25268,19630120,  -58,    0
  4348, 25268,19630121,  -92,    0
  4348, 25268,19630122,  -50,    0
  4348, 25268,19630123,    8,    0
  4348, 25268,19630124,   19,    0
  4348, 25268,19630125,    4,    0
  4348, 25268,19630126,    2,    0
  4348, 25268,19630127,   -6,    0
  4348, 25268,19630128,  -16,    0
  4348, 25268,19630129,  -29,    0
  4348, 25268,19630130,  -88,    0
  4348, 25268,19630131,  -44,    0
  4348, 25268,19630201,  -63,    0
  4348, 25268,19630202,  -63,    0
  4348, 25268,19630203,  -60,    0
  4348, 25268,19630204,  -74,    0
  4348, 25268,19630205,  -72,    0
  4348, 25268,19630206,  -81,    0
  4348, 25268,19630207,  -47,    0
  4348, 25268,19630208,  -31,    0
  4348, 25268,19630209,  -28,    0
  4348, 25268,19630210,  -42,    0
  4348, 25268,19630211,  -26,    0
  4348, 25268,19630212,  -18,    0
  4348, 25268,19630213,  -18,    0
  4348, 25268,19630214,  -29,    0
  4348, 25268,19630215,  -43,    0
  4348, 25268,19630216,  -25,    0
  4348, 25268,19630217,  -12,    0
  4348, 25268,19630218,  -23,    0
  4348, 25268,19630219,  -40,    0
  4348, 25268,19630220,  -78,    0
  4348, 25268,19630221, -124,    0
  4348, 25268,19630222,  -42,    0
  4348, 25268,19630223,  -98,    0
  4348, 25268,19630224,  -66,    0
  4348, 25268,19630225,  -10,    0
  4348, 25268,19630226,  -10,    0
  4348, 25268,19630227,  -98,    0
  4348, 25268,19630228,  -74,    0
  4348, 25268,19630301,  -43,    0
  4348, 25268,19630302,  -76,    0
  4348, 25268,19630303,  -30,    0
  4348, 25268,19630304, -113,    0
  4348, 25268,19630305,   -6,    0
  4348, 25268,19630306,   57,    0
  4348, 25268,19630307,   64,    0
  4348, 25268,19630308,   34,    0
  4348, 25268,19630309,   36,    0
  4348, 25268,19630310,   29,    0
  4348, 25268,19630311,   49,    0
  4348, 25268,19630312,   43,    0
  4348, 25268,19630313,   -8,    0
  4348, 25268,19630314,  -24,    0
  4348, 25268,19630315,   -7,    0
  4348, 25268,19630316,   20,    0
  4348, 25268,19630317,   40,    0
  4348, 25268,19630318,   21,    0
  4348, 25268,19630319,    7,    0
  4348, 25268,19630320,    6,    0
  4348, 25268,19630321,   -8,    0
  4348, 25268,19630322,  -20,    0
  4348, 25268,19630323,    3,    0
  4348, 25268,19630324,   32,    0
  4348, 25268,19630325,   44,    0
  4348, 25268,19630326,   31,    0
  4348, 25268,19630327,   27,    0
  4348, 25268,19630328,   48,    0
  4348, 25268,19630329,   54,    0
  4348, 25268,19630330,   15,    0
  4348, 25268,19630331,    5,    0
  4348, 25268,19630401,    8,    0
  4348, 25268,19630402,   30,    0
  4348, 25268,19630403,   32,    0
  4348, 25268,19630404,   21,    0
  4348, 25268,19630405,   16,    0
  4348, 25268,19630406,   18,    0
  4348, 25268,19630407,   16,    0
  4348, 25268,19630408,   38,    0
  4348, 25268,19630409,   69,    0
  4348, 25268,19630410,  110,    0
  4348, 25268,19630411,   88,    0
  4348, 25268,19630412,   72,    0
  4348, 25268,19630413,   38,    0
  4348, 25268,19630414,   76,    0
  4348, 25268,19630415,   80,    0
  4348, 25268,19630416,   50,    0
  4348, 25268,19630417,   94,    0
  4348, 25268,19630418,   96,    0
  4348, 25268,19630419,   75,    0
  4348, 25268,19630420,   56,    0
  4348, 25268,19630421,   77,    0
  4348, 25268,19630422,   58,    0
  4348, 25268,19630423,   57,    0
  4348, 25268,19630424,   31,    0
  4348, 25268,19630425,   33,    0
  4348, 25268,19630426,   59,    0
  4348, 25268,19630427,  103,    0
  4348, 25268,19630428,   90,    0
  4348, 25268,19630429,   92,    0
  4348, 25268,19630430,   88,    0
  4348, 25268,19630501,   76,    0
  4348, 25268,19630502,   75,    0
  4348, 25268,19630503,   79,    0
