EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUDENSCHEID (ZEPPELIN-GYMNASIUM), GERMANY (STAID: 4375)
Blended and updated with sources:25592 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4375, 25592,19400101,  -82,    0
  4375, 25592,19400102,  -79,    0
  4375, 25592,19400103,  -61,    0
  4375, 25592,19400104,  -26,    0
  4375, 25592,19400105,    1,    0
  4375, 25592,19400106,   -4,    0
  4375, 25592,19400107,  -24,    0
  4375, 25592,19400108,    8,    0
  4375, 25592,19400109,  -71,    0
  4375, 25592,19400110,  -88,    0
  4375, 25592,19400111,  -90,    0
  4375, 25592,19400112,  -52,    0
  4375, 25592,19400113,  -17,    0
  4375, 25592,19400114,    4,    0
  4375, 25592,19400115,  -18,    0
  4375, 25592,19400116,  -64,    0
  4375, 25592,19400117, -162,    0
  4375, 25592,19400118, -136,    0
  4375, 25592,19400119, -129,    0
  4375, 25592,19400120,  -94,    0
  4375, 25592,19400121, -126,    0
  4375, 25592,19400122, -172,    0
  4375, 25592,19400123,  -84,    0
  4375, 25592,19400124,  -58,    0
  4375, 25592,19400125,  -58,    0
  4375, 25592,19400126,  -37,    0
  4375, 25592,19400127,  -67,    0
  4375, 25592,19400128,  -68,    0
  4375, 25592,19400129,  -77,    0
  4375, 25592,19400130,  -81,    0
  4375, 25592,19400131,  -50,    0
  4375, 25592,19400201,  -34,    0
  4375, 25592,19400202,  -18,    0
  4375, 25592,19400203,    7,    0
  4375, 25592,19400204,    2,    0
  4375, 25592,19400205,   37,    0
  4375, 25592,19400206,   24,    0
  4375, 25592,19400207,   31,    0
  4375, 25592,19400208,   29,    0
  4375, 25592,19400209,  -43,    0
  4375, 25592,19400210, -106,    0
  4375, 25592,19400211,  -61,    0
  4375, 25592,19400212, -147,    0
  4375, 25592,19400213, -147,    0
  4375, 25592,19400214, -119,    0
  4375, 25592,19400215,  -99,    0
  4375, 25592,19400216,  -60,    0
  4375, 25592,19400217,  -61,    0
  4375, 25592,19400218,  -66,    0
  4375, 25592,19400219,  -40,    0
  4375, 25592,19400220,  -43,    0
  4375, 25592,19400221,    1,    0
  4375, 25592,19400222,   46,    0
  4375, 25592,19400223,   62,    0
  4375, 25592,19400224,   42,    0
  4375, 25592,19400225,   18,    0
  4375, 25592,19400226,   32,    0
  4375, 25592,19400227,   54,    0
  4375, 25592,19400228,   78,    0
  4375, 25592,19400229,   35,    0
  4375, 25592,19400301,  -17,    0
