EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MAINHARDT-ZIEGELBRONN, GERMANY (STAID: 4380)
Blended and updated with sources:25652 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4380, 25652,19550501,  180,    0
  4380, 25652,19550502,  120,    0
  4380, 25652,19550503,   70,    0
  4380, 25652,19550504,   98,    0
  4380, 25652,19550505,  116,    0
  4380, 25652,19550506,  156,    0
  4380, 25652,19550507,   79,    0
  4380, 25652,19550508,  118,    0
  4380, 25652,19550509,  159,    0
  4380, 25652,19550510,  112,    0
  4380, 25652,19550511,   66,    0
  4380, 25652,19550512,   68,    0
  4380, 25652,19550513,  132,    0
  4380, 25652,19550514,  106,    0
  4380, 25652,19550515,   54,    0
  4380, 25652,19550516,   72,    0
  4380, 25652,19550517,  103,    0
  4380, 25652,19550518,   63,    0
  4380, 25652,19550519,   46,    0
  4380, 25652,19550520,   59,    0
  4380, 25652,19550521,   39,    0
  4380, 25652,19550522,   48,    0
  4380, 25652,19550523,   77,    0
  4380, 25652,19550524,  120,    0
  4380, 25652,19550525,  130,    0
  4380, 25652,19550526,  142,    0
  4380, 25652,19550527,  110,    0
  4380, 25652,19550528,  104,    0
  4380, 25652,19550529,   86,    0
  4380, 25652,19550530,  120,    0
  4380, 25652,19550531,  116,    0
  4380, 25652,19550601,  101,    0
  4380, 25652,19550602,   86,    0
  4380, 25652,19550603,  127,    0
  4380, 25652,19550604,  120,    0
  4380, 25652,19550605,  150,    0
