EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAD MARIENBERG, GERMANY (STAID: 4390)
Blended and updated with sources:25772 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4390, 25772,19621201,  -42,    0
  4390, 25772,19621202,  -46,    0
  4390, 25772,19621203,  -11,    0
  4390, 25772,19621204,   45,    0
  4390, 25772,19621205,   64,    0
  4390, 25772,19621206,   28,    0
  4390, 25772,19621207,    0,    0
  4390, 25772,19621208,  -16,    0
  4390, 25772,19621209,   15,    0
  4390, 25772,19621210,    8,    0
  4390, 25772,19621211,   13,    0
  4390, 25772,19621212,   12,    0
  4390, 25772,19621213,   -7,    0
  4390, 25772,19621214,  -16,    0
  4390, 25772,19621215,   40,    0
  4390, 25772,19621216,    7,    0
  4390, 25772,19621217,  -10,    0
  4390, 25772,19621218,   -3,    0
  4390, 25772,19621219,  -12,    0
  4390, 25772,19621220,  -28,    0
  4390, 25772,19621221,  -10,    0
  4390, 25772,19621222, -118,    0
  4390, 25772,19621223, -129,    0
  4390, 25772,19621224, -116,    0
  4390, 25772,19621225, -112,    0
  4390, 25772,19621226, -126,    0
  4390, 25772,19621227, -104,    0
  4390, 25772,19621228, -117,    0
  4390, 25772,19621229,  -87,    0
  4390, 25772,19621230,  -60,    0
  4390, 25772,19621231,  -70,    0
  4390, 25772,19630101,  -91,    0
  4390, 25772,19630102,  -60,    0
  4390, 25772,19630103,  -46,    0
  4390, 25772,19630104,  -12,    0
  4390, 25772,19630105,   -4,    0
  4390, 25772,19630106,  -18,    0
  4390, 25772,19630107,  -60,    0
  4390, 25772,19630108,  -66,    0
  4390, 25772,19630109,  -88,    0
  4390, 25772,19630110, -108,    0
  4390, 25772,19630111, -137,    0
  4390, 25772,19630112, -124,    0
  4390, 25772,19630113, -107,    0
  4390, 25772,19630114,  -86,    0
  4390, 25772,19630115, -100,    0
  4390, 25772,19630116,  -98,    0
  4390, 25772,19630117, -118,    0
  4390, 25772,19630118, -140,    0
  4390, 25772,19630119, -107,    0
  4390, 25772,19630120,  -94,    0
  4390, 25772,19630121, -110,    0
  4390, 25772,19630122,  -94,    0
  4390, 25772,19630123,  -74,    0
  4390, 25772,19630124,  -70,    0
  4390, 25772,19630125,  -62,    0
  4390, 25772,19630126,  -48,    0
  4390, 25772,19630127,  -53,    0
  4390, 25772,19630128,  -54,    0
  4390, 25772,19630129,  -74,    0
  4390, 25772,19630130, -116,    0
  4390, 25772,19630131, -112,    0
  4390, 25772,19630201, -106,    0
  4390, 25772,19630202, -103,    0
  4390, 25772,19630203, -112,    0
  4390, 25772,19630204, -100,    0
  4390, 25772,19630205,  -83,    0
  4390, 25772,19630206,  -84,    0
  4390, 25772,19630207,  -41,    0
  4390, 25772,19630208,  -30,    0
  4390, 25772,19630209,  -19,    0
  4390, 25772,19630210,  -57,    0
  4390, 25772,19630211,  -25,    0
  4390, 25772,19630212,  -26,    0
  4390, 25772,19630213,  -43,    0
  4390, 25772,19630214,  -44,    0
  4390, 25772,19630215,  -46,    0
  4390, 25772,19630216,   -2,    0
  4390, 25772,19630217,  -38,    0
  4390, 25772,19630218,  -68,    0
  4390, 25772,19630219,  -64,    0
  4390, 25772,19630220,  -61,    0
  4390, 25772,19630221,  -76,    0
  4390, 25772,19630222,  -72,    0
  4390, 25772,19630223,  -76,    0
  4390, 25772,19630224,  -71,    0
  4390, 25772,19630225,  -61,    0
  4390, 25772,19630226,  -40,    0
  4390, 25772,19630227,  -42,    0
  4390, 25772,19630228,  -50,    0
  4390, 25772,19630301,  -46,    0
  4390, 25772,19630302,  -35,    0
  4390, 25772,19630303,  -12,    0
  4390, 25772,19630304,   19,    0
  4390, 25772,19630305,   32,    0
  4390, 25772,19630306,   42,    0
  4390, 25772,19630307,   50,    0
  4390, 25772,19630308,   60,    0
  4390, 25772,19630309,   37,    0
  4390, 25772,19630310,   26,    0
  4390, 25772,19630311,   21,    0
  4390, 25772,19630312,   14,    0
  4390, 25772,19630313,    2,    0
  4390, 25772,19630314,   16,    0
  4390, 25772,19630315,   49,    0
  4390, 25772,19630316,   49,    0
  4390, 25772,19630317,   50,    0
  4390, 25772,19630318,   52,    0
  4390, 25772,19630319,   46,    0
  4390, 25772,19630320,   38,    0
  4390, 25772,19630321,    3,    0
  4390, 25772,19630322,  -14,    0
  4390, 25772,19630323,  -15,    0
  4390, 25772,19630324,  -18,    0
  4390, 25772,19630325,   24,    0
  4390, 25772,19630326,    7,    0
  4390, 25772,19630327,   30,    0
  4390, 25772,19630328,   34,    0
  4390, 25772,19630329,   39,    0
  4390, 25772,19630330,   33,    0
  4390, 25772,19630331,   14,    0
  4390, 25772,19630401,   18,    0
  4390, 25772,19630402,   19,    0
  4390, 25772,19630403,   33,    0
  4390, 25772,19630404,   10,    0
  4390, 25772,19630405,   60,    0
  4390, 25772,19630406,   71,    0
  4390, 25772,19630407,   76,    0
  4390, 25772,19630408,   91,    0
  4390, 25772,19630409,   82,    0
  4390, 25772,19630410,   92,    0
  4390, 25772,19630411,   94,    0
  4390, 25772,19630412,   66,    0
  4390, 25772,19630413,   42,    0
  4390, 25772,19630414,   58,    0
  4390, 25772,19630415,   72,    0
  4390, 25772,19630416,   91,    0
  4390, 25772,19630417,  103,    0
  4390, 25772,19630418,   90,    0
  4390, 25772,19630419,  118,    0
  4390, 25772,19630420,  117,    0
  4390, 25772,19630421,   88,    0
  4390, 25772,19630422,   80,    0
  4390, 25772,19630423,  115,    0
  4390, 25772,19630424,  108,    0
  4390, 25772,19630425,   88,    0
  4390, 25772,19630426,   48,    0
  4390, 25772,19630427,   87,    0
  4390, 25772,19630428,   82,    0
  4390, 25772,19630429,  111,    0
  4390, 25772,19630430,   80,    0
  4390, 25772,19630501,   77,    0
  4390, 25772,19630502,   50,    0
  4390, 25772,19630503,   49,    0
  4390, 25772,19630504,   48,    0
  4390, 25772,19630505,   81,    0
  4390, 25772,19630506,   73,    0
  4390, 25772,19630507,  125,    0
  4390, 25772,19630508,  149,    0
  4390, 25772,19630509,   95,    0
  4390, 25772,19630510,   80,    0
  4390, 25772,19630511,   63,    0
  4390, 25772,19630512,   90,    0
  4390, 25772,19630513,  101,    0
  4390, 25772,19630514,   70,    0
  4390, 25772,19630515,   57,    0
  4390, 25772,19630516,   69,    0
  4390, 25772,19630517,   96,    0
  4390, 25772,19630518,   95,    0
  4390, 25772,19630519,   43,    0
  4390, 25772,19630520,   61,    0
  4390, 25772,19630521,  114,    0
  4390, 25772,19630522,  126,    0
  4390, 25772,19630523,  112,    0
  4390, 25772,19630524,   80,    0
  4390, 25772,19630525,   98,    0
  4390, 25772,19630526,  120,    0
  4390, 25772,19630527,  138,    0
  4390, 25772,19630528,  146,    0
  4390, 25772,19630529,  164,    0
  4390, 25772,19630530,  170,    0
  4390, 25772,19630531,  174,    0
  4390, 25772,19630601,  137,    0
  4390, 25772,19630602,  122,    0
  4390, 25772,19630603,  123,    0
  4390, 25772,19630604,  155,    0
  4390, 25772,19630605,  134,    0
  4390, 25772,19630606,  147,    0
  4390, 25772,19630607,  152,    0
  4390, 25772,19630608,  163,    0
  4390, 25772,19630609,  170,    0
  4390, 25772,19630610,  173,    0
  4390, 25772,19630611,  168,    0
  4390, 25772,19630612,  147,    0
  4390, 25772,19630613,  151,    0
  4390, 25772,19630614,  102,    0
  4390, 25772,19630615,   89,    0
  4390, 25772,19630616,  120,    0
  4390, 25772,19630617,  135,    0
  4390, 25772,19630618,  131,    0
  4390, 25772,19630619,   85,    0
  4390, 25772,19630620,  120,    0
  4390, 25772,19630621,  146,    0
  4390, 25772,19630622,  133,    0
  4390, 25772,19630623,  116,    0
  4390, 25772,19630624,  130,    0
  4390, 25772,19630625,  142,    0
  4390, 25772,19630626,  113,    0
  4390, 25772,19630627,  150,    0
  4390, 25772,19630628,  115,    0
  4390, 25772,19630629,  136,    0
  4390, 25772,19630630,  146,    0
  4390, 25772,19630701,  152,    0
  4390, 25772,19630702,  153,    0
  4390, 25772,19630703,  185,    0
  4390, 25772,19630704,  148,    0
  4390, 25772,19630705,  158,    0
  4390, 25772,19630706,  167,    0
  4390, 25772,19630707,  146,    0
