EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MELLE, GERMANY (STAID: 4401)
Blended and updated with sources:25904 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4401, 25904,19860701,  226,    0
  4401, 25904,19860702,  236,    0
  4401, 25904,19860703,  244,    0
  4401, 25904,19860704,  212,    0
  4401, 25904,19860705,  208,    0
  4401, 25904,19860706,  157,    0
  4401, 25904,19860707,  134,    0
  4401, 25904,19860708,  148,    0
  4401, 25904,19860709,  142,    0
  4401, 25904,19860710,  133,    0
  4401, 25904,19860711,  136,    0
  4401, 25904,19860712,  126,    0
  4401, 25904,19860713,  132,    0
  4401, 25904,19860714,  167,    0
  4401, 25904,19860715,  194,    0
  4401, 25904,19860716,  212,    0
  4401, 25904,19860717,  199,    0
  4401, 25904,19860718,  157,    0
  4401, 25904,19860719,  144,    0
  4401, 25904,19860720,  160,    0
  4401, 25904,19860721,  176,    0
  4401, 25904,19860722,  164,    0
  4401, 25904,19860723,  144,    0
  4401, 25904,19860724,  128,    0
  4401, 25904,19860725,  138,    0
  4401, 25904,19860726,  178,    0
  4401, 25904,19860727,  190,    0
  4401, 25904,19860728,  214,    0
  4401, 25904,19860729,  206,    0
  4401, 25904,19860730,  178,    0
  4401, 25904,19860731,  202,    0
  4401, 25904,19860801,  164,    0
  4401, 25904,19860802,  206,    0
  4401, 25904,19860803,  250,    0
  4401, 25904,19860804,  221,    0
  4401, 25904,19860805,  165,    0
  4401, 25904,19860806,  180,    0
  4401, 25904,19860807,  174,    0
  4401, 25904,19860808,  168,    0
  4401, 25904,19860809,  170,    0
  4401, 25904,19860810,  185,    0
  4401, 25904,19860811,  208,    0
  4401, 25904,19860812,  166,    0
  4401, 25904,19860813,  171,    0
  4401, 25904,19860814,  196,    0
  4401, 25904,19860815,  184,    0
  4401, 25904,19860816,  166,    0
  4401, 25904,19860817,  158,    0
  4401, 25904,19860818,  163,    0
  4401, 25904,19860819,  130,    0
  4401, 25904,19860820,  123,    0
  4401, 25904,19860821,  134,    0
  4401, 25904,19860822,  150,    0
  4401, 25904,19860823,  132,    0
  4401, 25904,19860824,  122,    0
  4401, 25904,19860825,  130,    0
  4401, 25904,19860826,  147,    0
  4401, 25904,19860827,  130,    0
  4401, 25904,19860828,  125,    0
  4401, 25904,19860829,  120,    0
  4401, 25904,19860830,  120,    0
  4401, 25904,19860831,  125,    0
  4401, 25904,19860901,  128,    0
  4401, 25904,19860902,  131,    0
  4401, 25904,19860903,  122,    0
  4401, 25904,19860904,  109,    0
  4401, 25904,19860905,  122,    0
  4401, 25904,19860906,  123,    0
  4401, 25904,19860907,  122,    0
  4401, 25904,19860908,   95,    0
  4401, 25904,19860909,   91,    0
  4401, 25904,19860910,  107,    0
