EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NEUBURG/DONAU (FLUGPLATZ), GERMANY (STAID: 4444)
Blended and updated with sources:24404 24716 26420 910853 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4444, 24404,19500101,  -48,    0
  4444, 24404,19500102,  -18,    0
  4444, 24404,19500103,   12,    0
  4444, 24404,19500104,   11,    0
  4444, 24404,19500105,   24,    0
  4444, 24404,19500106,   26,    0
  4444, 24404,19500107,    7,    0
  4444, 24404,19500108,   -4,    0
  4444, 24404,19500109,   -3,    0
  4444, 24404,19500110,   30,    0
  4444, 24404,19500111,   43,    0
  4444, 24404,19500112,   43,    0
  4444, 24404,19500113,    3,    0
  4444, 24404,19500114,   13,    0
  4444, 24404,19500115,   38,    0
  4444, 24404,19500116,   30,    0
  4444, 24404,19500117,   12,    0
  4444, 24404,19500118,  -15,    0
  4444, 24404,19500119,  -72,    0
  4444, 24404,19500120,  -54,    0
  4444, 24404,19500121,  -50,    0
  4444, 24404,19500122,  -32,    0
  4444, 24404,19500123,  -66,    0
  4444, 24404,19500124,  -72,    0
  4444, 24404,19500125,  -60,    0
  4444, 24404,19500126,  -56,    0
  4444, 24404,19500127,  -56,    0
  4444, 24404,19500128,  -56,    0
  4444, 24404,19500129,  -98,    0
  4444, 24404,19500130,  -83,    0
  4444, 24404,19500131,  -31,    0
  4444, 24404,19500201,  -58,    0
  4444, 24404,19500202,  -44,    0
  4444, 24404,19500203,  -73,    0
  4444, 24404,19500204,  -48,    0
  4444, 24404,19500205,  -48,    0
  4444, 24404,19500206,   -2,    0
  4444, 24404,19500207,   12,    0
  4444, 24404,19500208,   10,    0
  4444, 24404,19500209,   10,    0
  4444, 24404,19500210,   66,    0
  4444, 24404,19500211,   62,    0
  4444, 24404,19500212,   41,    0
  4444, 24404,19500213,   53,    0
  4444, 24404,19500214,   21,    0
  4444, 24404,19500215,   24,    0
  4444, 24404,19500216,   44,    0
  4444, 24404,19500217,   -2,    0
  4444, 24404,19500218,   -4,    0
  4444, 24404,19500219,   36,    0
  4444, 24404,19500220,   48,    0
  4444, 24404,19500221,   47,    0
  4444, 24404,19500222,    3,    0
  4444, 24404,19500223,   20,    0
  4444, 24404,19500224,   66,    0
  4444, 24404,19500225,   50,    0
  4444, 24404,19500226,    8,    0
  4444, 24404,19500227,  -26,    0
  4444, 24404,19500228,  -52,    0
  4444, 24404,19500301,  -32,    0
  4444, 24404,19500302,  -14,    0
  4444, 24404,19500303,  -13,    0
  4444, 24404,19500304,    5,    0
  4444, 24404,19500305,   14,    0
  4444, 24404,19500306,   44,    0
  4444, 24404,19500307,   49,    0
  4444, 24404,19500308,   62,    0
  4444, 24404,19500309,   57,    0
  4444, 24404,19500310,   37,    0
  4444, 24404,19500311,   28,    0
  4444, 24404,19500312,   25,    0
  4444, 24404,19500313,   25,    0
  4444, 24404,19500314,   36,    0
  4444, 24404,19500315,   48,    0
  4444, 24404,19500316,   66,    0
  4444, 24404,19500317,   86,    0
  4444, 24404,19500318,   74,    0
  4444, 24404,19500319,   76,    0
  4444, 24404,19500320,   88,    0
  4444, 24404,19500321,   66,    0
  4444, 24404,19500322,   67,    0
  4444, 24404,19500323,   90,    0
  4444, 24404,19500324,   83,    0
  4444, 24404,19500325,   58,    0
  4444, 24404,19500326,   36,    0
  4444, 24404,19500327,   48,    0
  4444, 24404,19500328,   65,    0
  4444, 24404,19500329,   78,    0
  4444, 24404,19500330,   35,    0
  4444, 24404,19500331,   24,    0
  4444, 24404,19500401,   34,    0
  4444, 24404,19500402,   66,    0
  4444, 24404,19500403,   37,    0
  4444, 24404,19500404,   21,    0
  4444, 24404,19500405,   44,    0
  4444, 24404,19500406,   50,    0
  4444, 24404,19500407,   36,    0
  4444, 24404,19500408,  107,    0
  4444, 24404,19500409,   98,    0
  4444, 24404,19500410,   62,    0
  4444, 24404,19500411,   20,    0
  4444, 24404,19500412,   54,    0
  4444, 24404,19500413,   69,    0
  4444, 24404,19500414,   65,    0
  4444, 24404,19500415,   39,    0
  4444, 24404,19500416,   48,    0
  4444, 24404,19500417,   49,    0
  4444, 24404,19500418,   69,    0
  4444, 24404,19500419,  114,    0
  4444, 24404,19500420,  140,    0
  4444, 24404,19500421,  124,    0
  4444, 24404,19500422,  114,    0
  4444, 24404,19500423,   79,    0
  4444, 24404,19500424,   62,    0
  4444, 24404,19500425,   24,    0
  4444, 24404,19500426,   48,    0
  4444, 24404,19500427,   62,    0
  4444, 24404,19500428,   74,    0
  4444, 24404,19500429,  104,    0
  4444, 24404,19500430,  104,    0
  4444, 24404,19500501,  128,    0
