EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NEUHAUSEN OB ECK, GERMANY (STAID: 4451)
Blended and updated with sources:26504 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4451, 26504,19710101,-9999,    9
  4451, 26504,19710102,-9999,    9
  4451, 26504,19710103,-9999,    9
  4451, 26504,19710104,-9999,    9
  4451, 26504,19710105,-9999,    9
  4451, 26504,19710106,-9999,    9
  4451, 26504,19710107,-9999,    9
  4451, 26504,19710108,-9999,    9
  4451, 26504,19710109,-9999,    9
  4451, 26504,19710110,-9999,    9
  4451, 26504,19710111,-9999,    9
  4451, 26504,19710112,-9999,    9
  4451, 26504,19710113,-9999,    9
  4451, 26504,19710114,-9999,    9
  4451, 26504,19710115,-9999,    9
  4451, 26504,19710116,-9999,    9
  4451, 26504,19710117,-9999,    9
  4451, 26504,19710118,-9999,    9
  4451, 26504,19710119,-9999,    9
  4451, 26504,19710120,-9999,    9
  4451, 26504,19710121,-9999,    9
  4451, 26504,19710122,-9999,    9
  4451, 26504,19710123,-9999,    9
  4451, 26504,19710124,-9999,    9
  4451, 26504,19710125,-9999,    9
  4451, 26504,19710126,-9999,    9
  4451, 26504,19710127,-9999,    9
  4451, 26504,19710128,-9999,    9
  4451, 26504,19710129,-9999,    9
  4451, 26504,19710130,-9999,    9
  4451, 26504,19710131,-9999,    9
  4451, 26504,19710201,-9999,    9
  4451, 26504,19710202,-9999,    9
  4451, 26504,19710203,-9999,    9
  4451, 26504,19710204,-9999,    9
  4451, 26504,19710205,-9999,    9
  4451, 26504,19710206,-9999,    9
  4451, 26504,19710207,-9999,    9
  4451, 26504,19710208,-9999,    9
  4451, 26504,19710209,-9999,    9
  4451, 26504,19710210,-9999,    9
  4451, 26504,19710211,-9999,    9
  4451, 26504,19710212,-9999,    9
  4451, 26504,19710213,-9999,    9
  4451, 26504,19710214,-9999,    9
  4451, 26504,19710215,-9999,    9
  4451, 26504,19710216,-9999,    9
  4451, 26504,19710217,-9999,    9
  4451, 26504,19710218,-9999,    9
  4451, 26504,19710219,-9999,    9
  4451, 26504,19710220,-9999,    9
  4451, 26504,19710221,-9999,    9
  4451, 26504,19710222,-9999,    9
  4451, 26504,19710223,-9999,    9
  4451, 26504,19710224,-9999,    9
  4451, 26504,19710225,-9999,    9
  4451, 26504,19710226,-9999,    9
  4451, 26504,19710227,-9999,    9
  4451, 26504,19710228,-9999,    9
  4451, 26504,19710301,-9999,    9
  4451, 26504,19710302,-9999,    9
  4451, 26504,19710303,-9999,    9
  4451, 26504,19710304,-9999,    9
  4451, 26504,19710305,-9999,    9
  4451, 26504,19710306,-9999,    9
  4451, 26504,19710307,-9999,    9
  4451, 26504,19710308,-9999,    9
  4451, 26504,19710309,-9999,    9
  4451, 26504,19710310,-9999,    9
  4451, 26504,19710311,-9999,    9
  4451, 26504,19710312,-9999,    9
  4451, 26504,19710313,-9999,    9
  4451, 26504,19710314,-9999,    9
  4451, 26504,19710315,-9999,    9
  4451, 26504,19710316,-9999,    9
  4451, 26504,19710317,-9999,    9
  4451, 26504,19710318,-9999,    9
  4451, 26504,19710319,-9999,    9
  4451, 26504,19710320,-9999,    9
  4451, 26504,19710321,-9999,    9
  4451, 26504,19710322,-9999,    9
  4451, 26504,19710323,-9999,    9
  4451, 26504,19710324,-9999,    9
  4451, 26504,19710325,-9999,    9
  4451, 26504,19710326,-9999,    9
  4451, 26504,19710327,-9999,    9
  4451, 26504,19710328,-9999,    9
  4451, 26504,19710329,-9999,    9
  4451, 26504,19710330,-9999,    9
  4451, 26504,19710331,-9999,    9
  4451, 26504,19710401,-9999,    9
  4451, 26504,19710402,-9999,    9
  4451, 26504,19710403,-9999,    9
  4451, 26504,19710404,-9999,    9
  4451, 26504,19710405,-9999,    9
  4451, 26504,19710406,-9999,    9
  4451, 26504,19710407,-9999,    9
  4451, 26504,19710408,-9999,    9
  4451, 26504,19710409,-9999,    9
  4451, 26504,19710410,-9999,    9
  4451, 26504,19710411,-9999,    9
  4451, 26504,19710412,-9999,    9
  4451, 26504,19710413,-9999,    9
  4451, 26504,19710414,-9999,    9
  4451, 26504,19710415,-9999,    9
  4451, 26504,19710416,-9999,    9
  4451, 26504,19710417,-9999,    9
  4451, 26504,19710418,-9999,    9
  4451, 26504,19710419,-9999,    9
  4451, 26504,19710420,-9999,    9
  4451, 26504,19710421,-9999,    9
  4451, 26504,19710422,-9999,    9
  4451, 26504,19710423,-9999,    9
  4451, 26504,19710424,-9999,    9
  4451, 26504,19710425,-9999,    9
  4451, 26504,19710426,-9999,    9
  4451, 26504,19710427,-9999,    9
  4451, 26504,19710428,-9999,    9
  4451, 26504,19710429,-9999,    9
  4451, 26504,19710430,-9999,    9
  4451, 26504,19710501,-9999,    9
  4451, 26504,19710502,-9999,    9
  4451, 26504,19710503,-9999,    9
  4451, 26504,19710504,-9999,    9
  4451, 26504,19710505,-9999,    9
  4451, 26504,19710506,-9999,    9
  4451, 26504,19710507,-9999,    9
  4451, 26504,19710508,-9999,    9
  4451, 26504,19710509,-9999,    9
  4451, 26504,19710510,-9999,    9
  4451, 26504,19710511,-9999,    9
  4451, 26504,19710512,-9999,    9
  4451, 26504,19710513,-9999,    9
  4451, 26504,19710514,-9999,    9
  4451, 26504,19710515,-9999,    9
  4451, 26504,19710516,-9999,    9
  4451, 26504,19710517,-9999,    9
  4451, 26504,19710518,-9999,    9
  4451, 26504,19710519,-9999,    9
  4451, 26504,19710520,-9999,    9
  4451, 26504,19710521,-9999,    9
  4451, 26504,19710522,-9999,    9
  4451, 26504,19710523,-9999,    9
  4451, 26504,19710524,-9999,    9
  4451, 26504,19710525,-9999,    9
  4451, 26504,19710526,-9999,    9
  4451, 26504,19710527,-9999,    9
  4451, 26504,19710528,-9999,    9
  4451, 26504,19710529,-9999,    9
  4451, 26504,19710530,-9999,    9
  4451, 26504,19710531,-9999,    9
  4451, 26504,19710601,-9999,    9
  4451, 26504,19710602,-9999,    9
  4451, 26504,19710603,-9999,    9
  4451, 26504,19710604,-9999,    9
  4451, 26504,19710605,-9999,    9
  4451, 26504,19710606,-9999,    9
  4451, 26504,19710607,-9999,    9
  4451, 26504,19710608,-9999,    9
  4451, 26504,19710609,-9999,    9
  4451, 26504,19710610,-9999,    9
  4451, 26504,19710611,-9999,    9
  4451, 26504,19710612,-9999,    9
  4451, 26504,19710613,-9999,    9
  4451, 26504,19710614,-9999,    9
  4451, 26504,19710615,-9999,    9
  4451, 26504,19710616,-9999,    9
  4451, 26504,19710617,-9999,    9
  4451, 26504,19710618,-9999,    9
  4451, 26504,19710619,-9999,    9
  4451, 26504,19710620,-9999,    9
  4451, 26504,19710621,-9999,    9
  4451, 26504,19710622,-9999,    9
  4451, 26504,19710623,-9999,    9
  4451, 26504,19710624,-9999,    9
  4451, 26504,19710625,-9999,    9
  4451, 26504,19710626,-9999,    9
  4451, 26504,19710627,-9999,    9
  4451, 26504,19710628,-9999,    9
  4451, 26504,19710629,-9999,    9
  4451, 26504,19710630,-9999,    9
  4451, 26504,19710701,-9999,    9
  4451, 26504,19710702,-9999,    9
  4451, 26504,19710703,-9999,    9
  4451, 26504,19710704,-9999,    9
  4451, 26504,19710705,-9999,    9
  4451, 26504,19710706,-9999,    9
  4451, 26504,19710707,-9999,    9
  4451, 26504,19710708,-9999,    9
  4451, 26504,19710709,-9999,    9
  4451, 26504,19710710,-9999,    9
  4451, 26504,19710711,-9999,    9
  4451, 26504,19710712,-9999,    9
  4451, 26504,19710713,-9999,    9
  4451, 26504,19710714,-9999,    9
  4451, 26504,19710715,-9999,    9
  4451, 26504,19710716,-9999,    9
  4451, 26504,19710717,-9999,    9
  4451, 26504,19710718,-9999,    9
  4451, 26504,19710719,-9999,    9
  4451, 26504,19710720,-9999,    9
  4451, 26504,19710721,-9999,    9
  4451, 26504,19710722,-9999,    9
  4451, 26504,19710723,-9999,    9
  4451, 26504,19710724,-9999,    9
  4451, 26504,19710725,-9999,    9
  4451, 26504,19710726,-9999,    9
  4451, 26504,19710727,-9999,    9
  4451, 26504,19710728,-9999,    9
  4451, 26504,19710729,-9999,    9
  4451, 26504,19710730,-9999,    9
  4451, 26504,19710731,-9999,    9
  4451, 26504,19710801,-9999,    9
  4451, 26504,19710802,-9999,    9
  4451, 26504,19710803,-9999,    9
  4451, 26504,19710804,-9999,    9
  4451, 26504,19710805,-9999,    9
  4451, 26504,19710806,-9999,    9
  4451, 26504,19710807,-9999,    9
  4451, 26504,19710808,-9999,    9
  4451, 26504,19710809,-9999,    9
  4451, 26504,19710810,-9999,    9
  4451, 26504,19710811,-9999,    9
  4451, 26504,19710812,-9999,    9
  4451, 26504,19710813,-9999,    9
  4451, 26504,19710814,-9999,    9
  4451, 26504,19710815,-9999,    9
  4451, 26504,19710816,-9999,    9
  4451, 26504,19710817,-9999,    9
  4451, 26504,19710818,-9999,    9
  4451, 26504,19710819,-9999,    9
  4451, 26504,19710820,-9999,    9
  4451, 26504,19710821,-9999,    9
  4451, 26504,19710822,-9999,    9
  4451, 26504,19710823,-9999,    9
  4451, 26504,19710824,-9999,    9
  4451, 26504,19710825,-9999,    9
  4451, 26504,19710826,-9999,    9
  4451, 26504,19710827,-9999,    9
  4451, 26504,19710828,-9999,    9
  4451, 26504,19710829,-9999,    9
  4451, 26504,19710830,-9999,    9
  4451, 26504,19710831,-9999,    9
  4451, 26504,19710901,-9999,    9
  4451, 26504,19710902,-9999,    9
  4451, 26504,19710903,-9999,    9
  4451, 26504,19710904,-9999,    9
  4451, 26504,19710905,-9999,    9
  4451, 26504,19710906,-9999,    9
  4451, 26504,19710907,-9999,    9
  4451, 26504,19710908,-9999,    9
  4451, 26504,19710909,-9999,    9
  4451, 26504,19710910,-9999,    9
  4451, 26504,19710911,-9999,    9
  4451, 26504,19710912,-9999,    9
  4451, 26504,19710913,-9999,    9
  4451, 26504,19710914,-9999,    9
  4451, 26504,19710915,-9999,    9
  4451, 26504,19710916,-9999,    9
  4451, 26504,19710917,-9999,    9
  4451, 26504,19710918,-9999,    9
  4451, 26504,19710919,-9999,    9
  4451, 26504,19710920,-9999,    9
  4451, 26504,19710921,-9999,    9
  4451, 26504,19710922,-9999,    9
  4451, 26504,19710923,-9999,    9
  4451, 26504,19710924,-9999,    9
  4451, 26504,19710925,-9999,    9
  4451, 26504,19710926,-9999,    9
  4451, 26504,19710927,-9999,    9
  4451, 26504,19710928,-9999,    9
  4451, 26504,19710929,-9999,    9
  4451, 26504,19710930,-9999,    9
  4451, 26504,19711001,-9999,    9
  4451, 26504,19711002,-9999,    9
  4451, 26504,19711003,-9999,    9
  4451, 26504,19711004,-9999,    9
  4451, 26504,19711005,-9999,    9
  4451, 26504,19711006,-9999,    9
  4451, 26504,19711007,-9999,    9
  4451, 26504,19711008,-9999,    9
  4451, 26504,19711009,-9999,    9
  4451, 26504,19711010,-9999,    9
  4451, 26504,19711011,-9999,    9
  4451, 26504,19711012,-9999,    9
  4451, 26504,19711013,-9999,    9
  4451, 26504,19711014,-9999,    9
  4451, 26504,19711015,-9999,    9
  4451, 26504,19711016,-9999,    9
  4451, 26504,19711017,-9999,    9
  4451, 26504,19711018,-9999,    9
  4451, 26504,19711019,-9999,    9
  4451, 26504,19711020,-9999,    9
  4451, 26504,19711021,-9999,    9
  4451, 26504,19711022,-9999,    9
  4451, 26504,19711023,-9999,    9
  4451, 26504,19711024,-9999,    9
  4451, 26504,19711025,-9999,    9
  4451, 26504,19711026,-9999,    9
  4451, 26504,19711027,-9999,    9
  4451, 26504,19711028,-9999,    9
  4451, 26504,19711029,-9999,    9
  4451, 26504,19711030,-9999,    9
  4451, 26504,19711031,-9999,    9
  4451, 26504,19711101,-9999,    9
  4451, 26504,19711102,-9999,    9
  4451, 26504,19711103,-9999,    9
  4451, 26504,19711104,-9999,    9
  4451, 26504,19711105,-9999,    9
  4451, 26504,19711106,-9999,    9
  4451, 26504,19711107,-9999,    9
  4451, 26504,19711108,-9999,    9
  4451, 26504,19711109,-9999,    9
  4451, 26504,19711110,-9999,    9
  4451, 26504,19711111,-9999,    9
  4451, 26504,19711112,-9999,    9
  4451, 26504,19711113,-9999,    9
  4451, 26504,19711114,-9999,    9
  4451, 26504,19711115,-9999,    9
  4451, 26504,19711116,-9999,    9
  4451, 26504,19711117,-9999,    9
  4451, 26504,19711118,-9999,    9
  4451, 26504,19711119,-9999,    9
  4451, 26504,19711120,-9999,    9
  4451, 26504,19711121,-9999,    9
  4451, 26504,19711122,-9999,    9
  4451, 26504,19711123,-9999,    9
  4451, 26504,19711124,-9999,    9
  4451, 26504,19711125,-9999,    9
  4451, 26504,19711126,-9999,    9
  4451, 26504,19711127,-9999,    9
  4451, 26504,19711128,-9999,    9
  4451, 26504,19711129,-9999,    9
  4451, 26504,19711130,-9999,    9
  4451, 26504,19711201,-9999,    9
  4451, 26504,19711202,-9999,    9
  4451, 26504,19711203,-9999,    9
  4451, 26504,19711204,-9999,    9
  4451, 26504,19711205,-9999,    9
  4451, 26504,19711206,-9999,    9
  4451, 26504,19711207,-9999,    9
  4451, 26504,19711208,-9999,    9
  4451, 26504,19711209,-9999,    9
  4451, 26504,19711210,-9999,    9
  4451, 26504,19711211,-9999,    9
  4451, 26504,19711212,-9999,    9
  4451, 26504,19711213,-9999,    9
  4451, 26504,19711214,-9999,    9
  4451, 26504,19711215,-9999,    9
  4451, 26504,19711216,-9999,    9
  4451, 26504,19711217,-9999,    9
  4451, 26504,19711218,-9999,    9
  4451, 26504,19711219,-9999,    9
  4451, 26504,19711220,-9999,    9
  4451, 26504,19711221,-9999,    9
  4451, 26504,19711222,-9999,    9
  4451, 26504,19711223,-9999,    9
  4451, 26504,19711224,-9999,    9
  4451, 26504,19711225,-9999,    9
  4451, 26504,19711226,-9999,    9
  4451, 26504,19711227,-9999,    9
  4451, 26504,19711228,-9999,    9
  4451, 26504,19711229,-9999,    9
  4451, 26504,19711230,-9999,    9
  4451, 26504,19711231,-9999,    9
  4451, 26504,19720101,-9999,    9
  4451, 26504,19720102,-9999,    9
  4451, 26504,19720103,-9999,    9
  4451, 26504,19720104,-9999,    9
  4451, 26504,19720105,-9999,    9
  4451, 26504,19720106,-9999,    9
  4451, 26504,19720107,-9999,    9
  4451, 26504,19720108,-9999,    9
  4451, 26504,19720109,-9999,    9
  4451, 26504,19720110,-9999,    9
  4451, 26504,19720111,-9999,    9
  4451, 26504,19720112,-9999,    9
