EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NIDDERAU-WINDECKEN, GERMANY (STAID: 4466)
Blended and updated with sources:26684 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4466, 26684,19610101,   22,    0
  4466, 26684,19610102,   26,    0
  4466, 26684,19610103,   40,    0
  4466, 26684,19610104,   31,    0
  4466, 26684,19610105,   31,    0
  4466, 26684,19610106,   22,    0
  4466, 26684,19610107,   38,    0
  4466, 26684,19610108,   30,    0
  4466, 26684,19610109,   32,    0
  4466, 26684,19610110,   34,    0
  4466, 26684,19610111,   12,    0
  4466, 26684,19610112,  -21,    0
  4466, 26684,19610113,  -12,    0
  4466, 26684,19610114,   -1,    0
  4466, 26684,19610115,   -6,    0
  4466, 26684,19610116,  -27,    0
  4466, 26684,19610117,  -36,    0
  4466, 26684,19610118,  -56,    0
  4466, 26684,19610119,  -63,    0
  4466, 26684,19610120,  -38,    0
  4466, 26684,19610121,   10,    0
  4466, 26684,19610122,   14,    0
  4466, 26684,19610123,   10,    0
  4466, 26684,19610124,  -12,    0
  4466, 26684,19610125,  -38,    0
  4466, 26684,19610126,  -58,    0
  4466, 26684,19610127,  -67,    0
  4466, 26684,19610128,   -4,    0
  4466, 26684,19610129,   58,    0
  4466, 26684,19610130,   68,    0
  4466, 26684,19610131,   72,    0
  4466, 26684,19610201,   38,    0
  4466, 26684,19610202,   18,    0
  4466, 26684,19610203,   18,    0
  4466, 26684,19610204,   23,    0
  4466, 26684,19610205,   20,    0
  4466, 26684,19610206,   72,    0
  4466, 26684,19610207,   54,    0
  4466, 26684,19610208,   60,    0
  4466, 26684,19610209,   86,    0
  4466, 26684,19610210,   56,    0
  4466, 26684,19610211,   59,    0
  4466, 26684,19610212,   58,    0
  4466, 26684,19610213,   76,    0
  4466, 26684,19610214,   31,    0
  4466, 26684,19610215,   34,    0
  4466, 26684,19610216,   26,    0
  4466, 26684,19610217,   35,    0
  4466, 26684,19610218,   30,    0
  4466, 26684,19610219,   63,    0
  4466, 26684,19610220,   45,    0
  4466, 26684,19610221,   45,    0
  4466, 26684,19610222,   50,    0
  4466, 26684,19610223,   37,    0
  4466, 26684,19610224,   94,    0
  4466, 26684,19610225,   92,    0
  4466, 26684,19610226,  110,    0
  4466, 26684,19610227,  124,    0
  4466, 26684,19610228,   70,    0
  4466, 26684,19610301,   56,    0
  4466, 26684,19610302,   62,    0
