EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station REIMLINGEN, GERMANY (STAID: 4472)
Blended and updated with sources:26756 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4472, 26756,19470101,  -23,    0
  4472, 26756,19470102,  -15,    0
  4472, 26756,19470103,  -22,    0
  4472, 26756,19470104, -104,    0
  4472, 26756,19470105, -174,    0
  4472, 26756,19470106, -154,    0
  4472, 26756,19470107, -123,    0
  4472, 26756,19470108,  -81,    0
  4472, 26756,19470109,  -18,    0
  4472, 26756,19470110,   11,    0
  4472, 26756,19470111,    8,    0
  4472, 26756,19470112,   31,    0
  4472, 26756,19470113,   38,    0
  4472, 26756,19470114,   30,    0
  4472, 26756,19470115,   44,    0
  4472, 26756,19470116,   37,    0
  4472, 26756,19470117,   13,    0
  4472, 26756,19470118,   20,    0
  4472, 26756,19470119,    1,    0
  4472, 26756,19470120,  -36,    0
  4472, 26756,19470121,  -36,    0
  4472, 26756,19470122,  -60,    0
  4472, 26756,19470123,  -74,    0
  4472, 26756,19470124, -122,    0
  4472, 26756,19470125, -136,    0
  4472, 26756,19470126, -114,    0
  4472, 26756,19470127, -128,    0
  4472, 26756,19470128, -132,    0
  4472, 26756,19470129, -143,    0
  4472, 26756,19470130, -108,    0
  4472, 26756,19470131, -111,    0
  4472, 26756,19470201, -124,    0
  4472, 26756,19470202, -116,    0
  4472, 26756,19470203,  -64,    0
  4472, 26756,19470204,  -58,    0
  4472, 26756,19470205,  -58,    0
  4472, 26756,19470206,  -79,    0
  4472, 26756,19470207, -104,    0
  4472, 26756,19470208,  -69,    0
  4472, 26756,19470209,  -30,    0
  4472, 26756,19470210,  -18,    0
  4472, 26756,19470211,   -8,    0
  4472, 26756,19470212,  -41,    0
  4472, 26756,19470213,  -37,    0
  4472, 26756,19470214,  -50,    0
  4472, 26756,19470215,  -65,    0
  4472, 26756,19470216,  -69,    0
  4472, 26756,19470217,  -86,    0
  4472, 26756,19470218,  -85,    0
  4472, 26756,19470219,  -62,    0
  4472, 26756,19470220,  -57,    0
  4472, 26756,19470221,   -6,    0
  4472, 26756,19470222,   50,    0
  4472, 26756,19470223,  -28,    0
  4472, 26756,19470224,  -55,    0
  4472, 26756,19470225,  -68,    0
  4472, 26756,19470226,  -87,    0
  4472, 26756,19470227,  -68,    0
  4472, 26756,19470228,   -7,    0
  4472, 26756,19470301,  -41,    0
  4472, 26756,19470302,  -60,    0
  4472, 26756,19470303,  -74,    0
  4472, 26756,19470304,  -15,    0
  4472, 26756,19470305,   30,    0
  4472, 26756,19470306,   56,    0
  4472, 26756,19470307,    6,    0
  4472, 26756,19470308,  -26,    0
  4472, 26756,19470309,   -8,    0
  4472, 26756,19470310,   -1,    0
  4472, 26756,19470311,   60,    0
  4472, 26756,19470312,    2,    0
  4472, 26756,19470313,   54,    0
  4472, 26756,19470314,   88,    0
  4472, 26756,19470315,  -10,    0
  4472, 26756,19470316,   23,    0
  4472, 26756,19470317,   98,    0
  4472, 26756,19470318,  102,    0
  4472, 26756,19470319,   66,    0
  4472, 26756,19470320,   58,    0
  4472, 26756,19470321,   92,    0
  4472, 26756,19470322,   98,    0
  4472, 26756,19470323,   77,    0
  4472, 26756,19470324,   88,    0
  4472, 26756,19470325,   21,    0
  4472, 26756,19470326,   35,    0
  4472, 26756,19470327,   66,    0
  4472, 26756,19470328,  106,    0
  4472, 26756,19470329,  100,    0
  4472, 26756,19470330,   59,    0
  4472, 26756,19470331,   88,    0
  4472, 26756,19470401,   55,    0
  4472, 26756,19470402,   69,    0
  4472, 26756,19470403,   68,    0
  4472, 26756,19470404,   74,    0
  4472, 26756,19470405,   31,    0
  4472, 26756,19470406,   75,    0
  4472, 26756,19470407,  124,    0
  4472, 26756,19470408,  137,    0
  4472, 26756,19470409,   48,    0
  4472, 26756,19470410,   51,    0
  4472, 26756,19470411,   44,    0
  4472, 26756,19470412,   70,    0
  4472, 26756,19470413,   86,    0
  4472, 26756,19470414,  118,    0
  4472, 26756,19470415,  139,    0
  4472, 26756,19470416,  149,    0
  4472, 26756,19470417,  153,    0
  4472, 26756,19470418,  122,    0
  4472, 26756,19470419,  123,    0
  4472, 26756,19470420,  131,    0
  4472, 26756,19470421,   99,    0
  4472, 26756,19470422,  138,    0
  4472, 26756,19470423,  105,    0
  4472, 26756,19470424,  111,    0
  4472, 26756,19470425,  126,    0
  4472, 26756,19470426,  148,    0
  4472, 26756,19470427,  138,    0
  4472, 26756,19470428,  148,    0
  4472, 26756,19470429,   86,    0
  4472, 26756,19470430,   98,    0
  4472, 26756,19470501,   88,    0
  4472, 26756,19470502,  125,    0
  4472, 26756,19470503,  146,    0
  4472, 26756,19470504,  126,    0
  4472, 26756,19470505,   73,    0
  4472, 26756,19470506,  100,    0
  4472, 26756,19470507,  126,    0
  4472, 26756,19470508,  151,    0
  4472, 26756,19470509,  163,    0
  4472, 26756,19470510,  148,    0
  4472, 26756,19470511,  150,    0
  4472, 26756,19470512,  165,    0
  4472, 26756,19470513,  170,    0
  4472, 26756,19470514,  156,    0
  4472, 26756,19470515,  155,    0
  4472, 26756,19470516,   79,    0
  4472, 26756,19470517,  118,    0
  4472, 26756,19470518,  111,    0
  4472, 26756,19470519,  125,    0
  4472, 26756,19470520,  127,    0
  4472, 26756,19470521,  140,    0
  4472, 26756,19470522,  145,    0
  4472, 26756,19470523,  146,    0
  4472, 26756,19470524,  172,    0
  4472, 26756,19470525,  170,    0
  4472, 26756,19470526,  183,    0
  4472, 26756,19470527,  197,    0
  4472, 26756,19470528,  181,    0
  4472, 26756,19470529,  166,    0
  4472, 26756,19470530,  177,    0
  4472, 26756,19470531,  200,    0
  4472, 26756,19470601,  217,    0
  4472, 26756,19470602,  232,    0
  4472, 26756,19470603,  242,    0
  4472, 26756,19470604,  216,    0
  4472, 26756,19470605,  154,    0
  4472, 26756,19470606,  109,    0
  4472, 26756,19470607,  116,    0
  4472, 26756,19470608,  136,    0
  4472, 26756,19470609,  122,    0
  4472, 26756,19470610,  116,    0
  4472, 26756,19470611,  126,    0
  4472, 26756,19470612,  139,    0
  4472, 26756,19470613,  157,    0
  4472, 26756,19470614,  186,    0
  4472, 26756,19470615,  153,    0
  4472, 26756,19470616,  123,    0
  4472, 26756,19470617,  152,    0
  4472, 26756,19470618,  166,    0
  4472, 26756,19470619,  188,    0
  4472, 26756,19470620,  192,    0
  4472, 26756,19470621,  200,    0
  4472, 26756,19470622,  153,    0
  4472, 26756,19470623,  141,    0
  4472, 26756,19470624,  159,    0
  4472, 26756,19470625,  220,    0
  4472, 26756,19470626,  243,    0
  4472, 26756,19470627,  253,    0
  4472, 26756,19470628,  227,    0
  4472, 26756,19470629,  245,    0
  4472, 26756,19470630,  217,    0
  4472, 26756,19470701,  188,    0
  4472, 26756,19470702,  174,    0
  4472, 26756,19470703,  193,    0
  4472, 26756,19470704,  228,    0
  4472, 26756,19470705,  188,    0
  4472, 26756,19470706,  164,    0
  4472, 26756,19470707,  218,    0
  4472, 26756,19470708,  170,    0
  4472, 26756,19470709,  136,    0
  4472, 26756,19470710,  135,    0
  4472, 26756,19470711,  158,    0
  4472, 26756,19470712,  140,    0
  4472, 26756,19470713,  162,    0
  4472, 26756,19470714,  180,    0
  4472, 26756,19470715,  180,    0
  4472, 26756,19470716,  191,    0
  4472, 26756,19470717,  203,    0
  4472, 26756,19470718,  160,    0
  4472, 26756,19470719,  173,    0
  4472, 26756,19470720,  160,    0
  4472, 26756,19470721,  173,    0
  4472, 26756,19470722,  196,    0
  4472, 26756,19470723,  220,    0
  4472, 26756,19470724,  240,    0
  4472, 26756,19470725,  244,    0
  4472, 26756,19470726,  252,    0
  4472, 26756,19470727,  262,    0
  4472, 26756,19470728,  266,    0
  4472, 26756,19470729,  293,    0
  4472, 26756,19470730,  267,    0
  4472, 26756,19470731,  236,    0
  4472, 26756,19470801,  238,    0
  4472, 26756,19470802,  213,    0
  4472, 26756,19470803,  264,    0
  4472, 26756,19470804,  268,    0
  4472, 26756,19470805,  184,    0
  4472, 26756,19470806,  168,    0
  4472, 26756,19470807,  169,    0
  4472, 26756,19470808,  163,    0
  4472, 26756,19470809,  175,    0
  4472, 26756,19470810,  195,    0
  4472, 26756,19470811,  204,    0
  4472, 26756,19470812,  201,    0
  4472, 26756,19470813,  196,    0
  4472, 26756,19470814,  209,    0
  4472, 26756,19470815,  234,    0
  4472, 26756,19470816,  234,    0
  4472, 26756,19470817,  236,    0
  4472, 26756,19470818,  216,    0
  4472, 26756,19470819,  230,    0
  4472, 26756,19470820,  229,    0
  4472, 26756,19470821,  185,    0
  4472, 26756,19470822,  178,    0
  4472, 26756,19470823,  186,    0
  4472, 26756,19470824,  166,    0
  4472, 26756,19470825,  166,    0
  4472, 26756,19470826,  157,    0
  4472, 26756,19470827,  174,    0
  4472, 26756,19470828,  182,    0
  4472, 26756,19470829,  160,    0
  4472, 26756,19470830,  136,    0
  4472, 26756,19470831,  132,    0
  4472, 26756,19470901,  156,    0
  4472, 26756,19470902,  171,    0
  4472, 26756,19470903,  160,    0
  4472, 26756,19470904,  154,    0
  4472, 26756,19470905,  162,    0
  4472, 26756,19470906,  168,    0
  4472, 26756,19470907,  165,    0
  4472, 26756,19470908,  166,    0
  4472, 26756,19470909,  174,    0
  4472, 26756,19470910,  178,    0
  4472, 26756,19470911,  200,    0
  4472, 26756,19470912,  206,    0
  4472, 26756,19470913,  216,    0
  4472, 26756,19470914,  218,    0
  4472, 26756,19470915,  218,    0
  4472, 26756,19470916,  210,    0
  4472, 26756,19470917,  201,    0
  4472, 26756,19470918,  192,    0
  4472, 26756,19470919,  200,    0
