EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORDHOLZ (FLUGPLATZ), GERMANY (STAID: 4474)
Blended and updated with sources:21272 26780 910136 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4474, 21272,19460101,  -28,    0
  4474, 21272,19460102,  -17,    0
  4474, 21272,19460103,  -30,    0
  4474, 21272,19460104,  -14,    0
  4474, 21272,19460105,   18,    0
  4474, 21272,19460106,   22,    0
  4474, 21272,19460107,   20,    0
  4474, 21272,19460108,  -17,    0
  4474, 21272,19460109,   36,    0
  4474, 21272,19460110,   58,    0
  4474, 21272,19460111,   90,    0
  4474, 21272,19460112,   56,    0
  4474, 21272,19460113,  -13,    0
  4474, 21272,19460114,  -10,    0
  4474, 21272,19460115,  -26,    0
  4474, 21272,19460116,  -12,    0
  4474, 21272,19460117,  -35,    0
  4474, 21272,19460118,  -35,    0
  4474, 21272,19460119,  -16,    0
  4474, 21272,19460120,  -12,    0
  4474, 21272,19460121,  -44,    0
  4474, 21272,19460122,  -42,    0
  4474, 21272,19460123,  -32,    0
  4474, 21272,19460124,  -30,    0
  4474, 21272,19460125,  -40,    0
  4474, 21272,19460126,  -48,    0
  4474, 21272,19460127,    5,    0
  4474, 21272,19460128,   12,    0
  4474, 21272,19460129,   20,    0
  4474, 21272,19460130,   36,    0
  4474, 21272,19460131,   18,    0
  4474, 21272,19460201,   58,    0
  4474, 21272,19460202,   59,    0
  4474, 21272,19460203,   64,    0
  4474, 21272,19460204,   54,    0
  4474, 21272,19460205,   48,    0
  4474, 21272,19460206,   39,    0
  4474, 21272,19460207,   62,    0
  4474, 21272,19460208,   46,    0
  4474, 21272,19460209,   36,    0
  4474, 21272,19460210,   42,    0
  4474, 21272,19460211,   46,    0
  4474, 21272,19460212,   32,    0
  4474, 21272,19460213,    8,    0
  4474, 21272,19460214,   33,    0
  4474, 21272,19460215,   42,    0
  4474, 21272,19460216,   45,    0
  4474, 21272,19460217,   44,    0
  4474, 21272,19460218,   45,    0
  4474, 21272,19460219,   43,    0
  4474, 21272,19460220,   18,    0
  4474, 21272,19460221,   -8,    0
  4474, 21272,19460222,   -8,    0
  4474, 21272,19460223,   19,    0
  4474, 21272,19460224,    4,    0
  4474, 21272,19460225,    1,    0
  4474, 21272,19460226,   -2,    0
  4474, 21272,19460227,   -2,    0
  4474, 21272,19460228,   -6,    0
  4474, 21272,19460301,   -6,    0
  4474, 21272,19460302,    3,    0
  4474, 21272,19460303,    6,    0
