EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERG/OBERPFALZ, GERMANY (STAID: 4477)
Blended and updated with sources:26816 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4477, 26816,19911001,  128,    0
  4477, 26816,19911002,  104,    0
  4477, 26816,19911003,   84,    0
  4477, 26816,19911004,   94,    0
  4477, 26816,19911005,  116,    0
  4477, 26816,19911006,  106,    0
  4477, 26816,19911007,  106,    0
  4477, 26816,19911008,  132,    0
  4477, 26816,19911009,   93,    0
  4477, 26816,19911010,   98,    0
  4477, 26816,19911011,  119,    0
  4477, 26816,19911012,  113,    0
  4477, 26816,19911013,  121,    0
  4477, 26816,19911014,   92,    0
  4477, 26816,19911015,   92,    0
  4477, 26816,19911016,  104,    0
  4477, 26816,19911017,   92,    0
  4477, 26816,19911018,   73,    0
  4477, 26816,19911019,   48,    0
  4477, 26816,19911020,   44,    0
  4477, 26816,19911021,    6,    0
  4477, 26816,19911022,   -7,    0
  4477, 26816,19911023,   44,    0
  4477, 26816,19911024,   63,    0
  4477, 26816,19911025,   48,    0
  4477, 26816,19911026,   14,    0
  4477, 26816,19911027,   12,    0
  4477, 26816,19911028,    4,    0
  4477, 26816,19911029,   16,    0
  4477, 26816,19911030,   -4,    0
  4477, 26816,19911031,  -14,    0
  4477, 26816,19911101,    5,    0
  4477, 26816,19911102,   52,    0
  4477, 26816,19911103,  101,    0
  4477, 26816,19911104,   68,    0
  4477, 26816,19911105,   44,    0
  4477, 26816,19911106,   27,    0
  4477, 26816,19911107,   44,    0
  4477, 26816,19911108,   78,    0
  4477, 26816,19911109,   39,    0
  4477, 26816,19911110,   10,    0
  4477, 26816,19911111,   29,    0
  4477, 26816,19911112,   51,    0
  4477, 26816,19911113,   59,    0
  4477, 26816,19911114,   32,    0
  4477, 26816,19911115,   40,    0
  4477, 26816,19911116,   36,    0
  4477, 26816,19911117,   15,    0
  4477, 26816,19911118,   15,    0
  4477, 26816,19911119,   50,    0
  4477, 26816,19911120,   33,    0
  4477, 26816,19911121,   22,    0
  4477, 26816,19911122,   16,    0
  4477, 26816,19911123,  -10,    0
  4477, 26816,19911124,   10,    0
  4477, 26816,19911125,   18,    0
  4477, 26816,19911126,    6,    0
  4477, 26816,19911127,    0,    0
  4477, 26816,19911128,   12,    0
  4477, 26816,19911129,   -4,    0
  4477, 26816,19911130,   12,    0
  4477, 26816,19911201,    0,    0
  4477, 26816,19911202,  -21,    0
  4477, 26816,19911203,  -18,    0
  4477, 26816,19911204,  -18,    0
  4477, 26816,19911205,  -18,    0
  4477, 26816,19911206,  -20,    0
  4477, 26816,19911207,   -2,    0
  4477, 26816,19911208,   -2,    0
  4477, 26816,19911209,  -52,    0
  4477, 26816,19911210,  -60,    0
  4477, 26816,19911211,  -50,    0
  4477, 26816,19911212, -102,    0
  4477, 26816,19911213, -101,    0
  4477, 26816,19911214,  -92,    0
  4477, 26816,19911215,  -81,    0
  4477, 26816,19911216,  -55,    0
  4477, 26816,19911217,    0,    0
  4477, 26816,19911218,   24,    0
  4477, 26816,19911219,   44,    0
  4477, 26816,19911220,   10,    0
  4477, 26816,19911221,   22,    0
  4477, 26816,19911222,   86,    0
  4477, 26816,19911223,   82,    0
  4477, 26816,19911224,   26,    0
  4477, 26816,19911225,   -2,    0
  4477, 26816,19911226,    8,    0
  4477, 26816,19911227,   20,    0
  4477, 26816,19911228,  -30,    0
  4477, 26816,19911229,   -9,    0
  4477, 26816,19911230,    4,    0
  4477, 26816,19911231,   -4,    0
  4477, 26816,19920101,  -16,    0
  4477, 26816,19920102,  -19,    0
  4477, 26816,19920103,  -11,    0
  4477, 26816,19920104,   30,    0
  4477, 26816,19920105,   62,    0
  4477, 26816,19920106,   56,    0
  4477, 26816,19920107,   -1,    0
  4477, 26816,19920108,   14,    0
  4477, 26816,19920109,   48,    0
  4477, 26816,19920110,   34,    0
  4477, 26816,19920111,   12,    0
  4477, 26816,19920112,   17,    0
  4477, 26816,19920113,    3,    0
  4477, 26816,19920114,    3,    0
  4477, 26816,19920115,   25,    0
  4477, 26816,19920116,   17,    0
  4477, 26816,19920117,   20,    0
  4477, 26816,19920118,    7,    0
  4477, 26816,19920119,    8,    0
  4477, 26816,19920120,  -36,    0
  4477, 26816,19920121,  -72,    0
  4477, 26816,19920122,  -43,    0
  4477, 26816,19920123,  -27,    0
  4477, 26816,19920124,  -52,    0
  4477, 26816,19920125,  -28,    0
  4477, 26816,19920126,  -34,    0
  4477, 26816,19920127,   -8,    0
  4477, 26816,19920128,  -44,    0
  4477, 26816,19920129,  -20,    0
  4477, 26816,19920130,   -6,    0
  4477, 26816,19920131,  -25,    0
  4477, 26816,19920201,  -28,    0
  4477, 26816,19920202,  -22,    0
  4477, 26816,19920203,    0,    0
  4477, 26816,19920204,    8,    0
  4477, 26816,19920205,   28,    0
  4477, 26816,19920206,   38,    0
  4477, 26816,19920207,   20,    0
  4477, 26816,19920208,   14,    0
  4477, 26816,19920209,    0,    0
  4477, 26816,19920210,   26,    0
  4477, 26816,19920211,   18,    0
  4477, 26816,19920212,   63,    0
  4477, 26816,19920213,   57,    0
  4477, 26816,19920214,   39,    0
  4477, 26816,19920215,   48,    0
  4477, 26816,19920216,   13,    0
  4477, 26816,19920217,  -23,    0
  4477, 26816,19920218,  -43,    0
  4477, 26816,19920219,  -40,    0
  4477, 26816,19920220,  -28,    0
  4477, 26816,19920221,    2,    0
  4477, 26816,19920222,   10,    0
  4477, 26816,19920223,   38,    0
  4477, 26816,19920224,   36,    0
  4477, 26816,19920225,   18,    0
  4477, 26816,19920226,   20,    0
  4477, 26816,19920227,   24,    0
  4477, 26816,19920228,   20,    0
  4477, 26816,19920229,   20,    0
  4477, 26816,19920301,   30,    0
  4477, 26816,19920302,   32,    0
  4477, 26816,19920303,   64,    0
  4477, 26816,19920304,   29,    0
  4477, 26816,19920305,   70,    0
  4477, 26816,19920306,   64,    0
  4477, 26816,19920307,   48,    0
  4477, 26816,19920308,   33,    0
  4477, 26816,19920309,   28,    0
  4477, 26816,19920310,   38,    0
  4477, 26816,19920311,   36,    0
  4477, 26816,19920312,   51,    0
  4477, 26816,19920313,   66,    0
  4477, 26816,19920314,   10,    0
  4477, 26816,19920315,   11,    0
  4477, 26816,19920316,   21,    0
  4477, 26816,19920317,   24,    0
  4477, 26816,19920318,   28,    0
  4477, 26816,19920319,   71,    0
  4477, 26816,19920320,   92,    0
  4477, 26816,19920321,   68,    0
  4477, 26816,19920322,   46,    0
  4477, 26816,19920323,   32,    0
  4477, 26816,19920324,   28,    0
  4477, 26816,19920325,   11,    0
  4477, 26816,19920326,   24,    0
  4477, 26816,19920327,   21,    0
  4477, 26816,19920328,   10,    0
  4477, 26816,19920329,    5,    0
  4477, 26816,19920330,   54,    0
  4477, 26816,19920331,   88,    0
  4477, 26816,19920401,   22,    0
  4477, 26816,19920402,   44,    0
  4477, 26816,19920403,   63,    0
  4477, 26816,19920404,   62,    0
  4477, 26816,19920405,   26,    0
  4477, 26816,19920406,   10,    0
  4477, 26816,19920407,   48,    0
  4477, 26816,19920408,   61,    0
  4477, 26816,19920409,   84,    0
  4477, 26816,19920410,   76,    0
  4477, 26816,19920411,   63,    0
  4477, 26816,19920412,  112,    0
  4477, 26816,19920413,   84,    0
  4477, 26816,19920414,   54,    0
  4477, 26816,19920415,   79,    0
  4477, 26816,19920416,   25,    0
  4477, 26816,19920417,   23,    0
  4477, 26816,19920418,   53,    0
  4477, 26816,19920419,   88,    0
  4477, 26816,19920420,   32,    0
  4477, 26816,19920421,   55,    0
  4477, 26816,19920422,  112,    0
  4477, 26816,19920423,   78,    0
  4477, 26816,19920424,   98,    0
  4477, 26816,19920425,  156,    0
  4477, 26816,19920426,  141,    0
  4477, 26816,19920427,   94,    0
  4477, 26816,19920428,  122,    0
  4477, 26816,19920429,   68,    0
  4477, 26816,19920430,   69,    0
  4477, 26816,19920501,  107,    0
  4477, 26816,19920502,  107,    0
  4477, 26816,19920503,   92,    0
  4477, 26816,19920504,   82,    0
  4477, 26816,19920505,   91,    0
  4477, 26816,19920506,   98,    0
  4477, 26816,19920507,  112,    0
  4477, 26816,19920508,  144,    0
  4477, 26816,19920509,  107,    0
  4477, 26816,19920510,   98,    0
  4477, 26816,19920511,  100,    0
  4477, 26816,19920512,  106,    0
  4477, 26816,19920513,  135,    0
  4477, 26816,19920514,  187,    0
  4477, 26816,19920515,  188,    0
  4477, 26816,19920516,  198,    0
  4477, 26816,19920517,  136,    0
  4477, 26816,19920518,  142,    0
  4477, 26816,19920519,  157,    0
  4477, 26816,19920520,  148,    0
  4477, 26816,19920521,  157,    0
  4477, 26816,19920522,  168,    0
  4477, 26816,19920523,  161,    0
  4477, 26816,19920524,  169,    0
  4477, 26816,19920525,  156,    0
  4477, 26816,19920526,  166,    0
  4477, 26816,19920527,  166,    0
  4477, 26816,19920528,  157,    0
  4477, 26816,19920529,  174,    0
  4477, 26816,19920530,  156,    0
  4477, 26816,19920531,  173,    0
  4477, 26816,19920601,  186,    0
  4477, 26816,19920602,  191,    0
  4477, 26816,19920603,  171,    0
  4477, 26816,19920604,  139,    0
  4477, 26816,19920605,  151,    0
  4477, 26816,19920606,  145,    0
  4477, 26816,19920607,  124,    0
  4477, 26816,19920608,  141,    0
  4477, 26816,19920609,  137,    0
  4477, 26816,19920610,  135,    0
  4477, 26816,19920611,  123,    0
  4477, 26816,19920612,  140,    0
  4477, 26816,19920613,  162,    0
  4477, 26816,19920614,  161,    0
  4477, 26816,19920615,  182,    0
  4477, 26816,19920616,  204,    0
  4477, 26816,19920617,  161,    0
  4477, 26816,19920618,  178,    0
  4477, 26816,19920619,  128,    0
  4477, 26816,19920620,  178,    0
  4477, 26816,19920621,  158,    0
  4477, 26816,19920622,  161,    0
  4477, 26816,19920623,  184,    0
  4477, 26816,19920624,  151,    0
  4477, 26816,19920625,  166,    0
  4477, 26816,19920626,  156,    0
  4477, 26816,19920627,  157,    0
  4477, 26816,19920628,  164,    0
  4477, 26816,19920629,  178,    0
