EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OSNABRUCK, GERMANY (STAID: 4499)
Blended and updated with sources:26372 27080 910312 910317 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4499, 27080,19520201,    6,    0
  4499, 27080,19520202,    9,    0
  4499, 27080,19520203,   12,    0
  4499, 27080,19520204,    8,    0
  4499, 27080,19520205,   15,    0
  4499, 27080,19520206,   26,    0
  4499, 27080,19520207,   41,    0
  4499, 27080,19520208,   19,    0
  4499, 27080,19520209,    4,    0
  4499, 27080,19520210,   -8,    0
  4499, 27080,19520211,   -6,    0
  4499, 27080,19520212,  -15,    0
  4499, 27080,19520213,   -4,    0
  4499, 27080,19520214,  -18,    0
  4499, 27080,19520215,  -23,    0
  4499, 27080,19520216,  -14,    0
  4499, 27080,19520217,    6,    0
  4499, 27080,19520218,    5,    0
  4499, 27080,19520219,   20,    0
  4499, 27080,19520220,   39,    0
  4499, 27080,19520221,   50,    0
  4499, 27080,19520222,   42,    0
  4499, 27080,19520223,   33,    0
  4499, 27080,19520224,   50,    0
  4499, 27080,19520225,   66,    0
  4499, 27080,19520226,   44,    0
  4499, 27080,19520227,   23,    0
  4499, 27080,19520228,   26,    0
  4499, 27080,19520229,   23,    0
  4499, 27080,19520301,   32,    0
  4499, 27080,19520302,   72,    0
  4499, 27080,19520303,   92,    0
  4499, 27080,19520304,  117,    0
  4499, 27080,19520305,   70,    0
  4499, 27080,19520306,   13,    0
  4499, 27080,19520307,    1,    0
  4499, 27080,19520308,   11,    0
  4499, 27080,19520309,   56,    0
  4499, 27080,19520310,   61,    0
  4499, 27080,19520311,   44,    0
  4499, 27080,19520312,   40,    0
  4499, 27080,19520313,   16,    0
  4499, 27080,19520314,    6,    0
  4499, 27080,19520315,   22,    0
  4499, 27080,19520316,   76,    0
  4499, 27080,19520317,   86,    0
  4499, 27080,19520318,   72,    0
  4499, 27080,19520319,   52,    0
  4499, 27080,19520320,   64,    0
  4499, 27080,19520321,   36,    0
  4499, 27080,19520322,   58,    0
  4499, 27080,19520323,   54,    0
  4499, 27080,19520324,   58,    0
  4499, 27080,19520325,   38,    0
  4499, 27080,19520326,   -4,    0
  4499, 27080,19520327,  -11,    0
  4499, 27080,19520328,   -4,    0
  4499, 27080,19520329,  -22,    0
  4499, 27080,19520330,  -12,    0
  4499, 27080,19520331,   -6,    0
  4499, 27080,19520401,    2,    0
  4499, 27080,19520402,   24,    0
  4499, 27080,19520403,   38,    0
  4499, 27080,19520404,   60,    0
  4499, 27080,19520405,   54,    0
  4499, 27080,19520406,   86,    0
  4499, 27080,19520407,  109,    0
  4499, 27080,19520408,  120,    0
  4499, 27080,19520409,  142,    0
  4499, 27080,19520410,  158,    0
  4499, 27080,19520411,  175,    0
  4499, 27080,19520412,  175,    0
  4499, 27080,19520413,  158,    0
  4499, 27080,19520414,  156,    0
  4499, 27080,19520415,  164,    0
  4499, 27080,19520416,  151,    0
  4499, 27080,19520417,  138,    0
  4499, 27080,19520418,  140,    0
  4499, 27080,19520419,  156,    0
  4499, 27080,19520420,  129,    0
  4499, 27080,19520421,  138,    0
  4499, 27080,19520422,  112,    0
  4499, 27080,19520423,  116,    0
  4499, 27080,19520424,  104,    0
  4499, 27080,19520425,   90,    0
  4499, 27080,19520426,   68,    0
  4499, 27080,19520427,   60,    0
  4499, 27080,19520428,   72,    0
  4499, 27080,19520429,   94,    0
  4499, 27080,19520430,  147,    0
  4499, 27080,19520501,  166,    0
  4499, 27080,19520502,  136,    0
  4499, 27080,19520503,  140,    0
  4499, 27080,19520504,  143,    0
  4499, 27080,19520505,  142,    0
  4499, 27080,19520506,  157,    0
  4499, 27080,19520507,  130,    0
  4499, 27080,19520508,  142,    0
  4499, 27080,19520509,  148,    0
  4499, 27080,19520510,  136,    0
  4499, 27080,19520511,  158,    0
  4499, 27080,19520512,  118,    0
  4499, 27080,19520513,  101,    0
  4499, 27080,19520514,  141,    0
  4499, 27080,19520515,  151,    0
  4499, 27080,19520516,  133,    0
  4499, 27080,19520517,  116,    0
  4499, 27080,19520518,  160,    0
  4499, 27080,19520519,  117,    0
  4499, 27080,19520520,   88,    0
  4499, 27080,19520521,  108,    0
  4499, 27080,19520522,  124,    0
  4499, 27080,19520523,  130,    0
  4499, 27080,19520524,  103,    0
  4499, 27080,19520525,  111,    0
  4499, 27080,19520526,  104,    0
  4499, 27080,19520527,  104,    0
  4499, 27080,19520528,  110,    0
  4499, 27080,19520529,   88,    0
  4499, 27080,19520530,  136,    0
  4499, 27080,19520531,  167,    0
  4499, 27080,19520601,  175,    0
  4499, 27080,19520602,  158,    0
  4499, 27080,19520603,  121,    0
  4499, 27080,19520604,  126,    0
  4499, 27080,19520605,  186,    0
  4499, 27080,19520606,  166,    0
  4499, 27080,19520607,  118,    0
  4499, 27080,19520608,  115,    0
  4499, 27080,19520609,  122,    0
  4499, 27080,19520610,  148,    0
  4499, 27080,19520611,  141,    0
  4499, 27080,19520612,  146,    0
  4499, 27080,19520613,  206,    0
  4499, 27080,19520614,  157,    0
  4499, 27080,19520615,   98,    0
  4499, 27080,19520616,  116,    0
  4499, 27080,19520617,  185,    0
  4499, 27080,19520618,  153,    0
  4499, 27080,19520619,  122,    0
  4499, 27080,19520620,  138,    0
  4499, 27080,19520621,  125,    0
  4499, 27080,19520622,  130,    0
  4499, 27080,19520623,  117,    0
  4499, 27080,19520624,  127,    0
  4499, 27080,19520625,  142,    0
  4499, 27080,19520626,  130,    0
  4499, 27080,19520627,  174,    0
  4499, 27080,19520628,  202,    0
  4499, 27080,19520629,  218,    0
  4499, 27080,19520630,  234,    0
