EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OSTHEIM V.D. RHON, GERMANY (STAID: 4502)
Blended and updated with sources:27116 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4502, 27116,19720501,  127,    0
  4502, 27116,19720502,  144,    0
  4502, 27116,19720503,  148,    0
  4502, 27116,19720504,   98,    0
  4502, 27116,19720505,   96,    0
  4502, 27116,19720506,  141,    0
  4502, 27116,19720507,  128,    0
  4502, 27116,19720508,  122,    0
  4502, 27116,19720509,  126,    0
  4502, 27116,19720510,   93,    0
  4502, 27116,19720511,   88,    0
  4502, 27116,19720512,   82,    0
  4502, 27116,19720513,   76,    0
  4502, 27116,19720514,   70,    0
  4502, 27116,19720515,   73,    0
  4502, 27116,19720516,   64,    0
  4502, 27116,19720517,   76,    0
  4502, 27116,19720518,   96,    0
  4502, 27116,19720519,  113,    0
  4502, 27116,19720520,  128,    0
  4502, 27116,19720521,  102,    0
  4502, 27116,19720522,  126,    0
  4502, 27116,19720523,  161,    0
  4502, 27116,19720524,  145,    0
  4502, 27116,19720525,  144,    0
  4502, 27116,19720526,  129,    0
  4502, 27116,19720527,  102,    0
  4502, 27116,19720528,  101,    0
  4502, 27116,19720529,  127,    0
  4502, 27116,19720530,  110,    0
  4502, 27116,19720531,  111,    0
  4502, 27116,19720601,  110,    0
  4502, 27116,19720602,  102,    0
  4502, 27116,19720603,  124,    0
  4502, 27116,19720604,  173,    0
  4502, 27116,19720605,  190,    0
  4502, 27116,19720606,  172,    0
  4502, 27116,19720607,  163,    0
  4502, 27116,19720608,  120,    0
  4502, 27116,19720609,  121,    0
  4502, 27116,19720610,  133,    0
  4502, 27116,19720611,  117,    0
  4502, 27116,19720612,  104,    0
  4502, 27116,19720613,  132,    0
  4502, 27116,19720614,  142,    0
  4502, 27116,19720615,  158,    0
  4502, 27116,19720616,  117,    0
  4502, 27116,19720617,  131,    0
  4502, 27116,19720618,  151,    0
  4502, 27116,19720619,  142,    0
  4502, 27116,19720620,  123,    0
  4502, 27116,19720621,  143,    0
  4502, 27116,19720622,  173,    0
  4502, 27116,19720623,  128,    0
  4502, 27116,19720624,  126,    0
  4502, 27116,19720625,  147,    0
  4502, 27116,19720626,  174,    0
  4502, 27116,19720627,  200,    0
  4502, 27116,19720628,  184,    0
  4502, 27116,19720629,  149,    0
  4502, 27116,19720630,  129,    0
  4502, 27116,19720701,  121,    0
  4502, 27116,19720702,  142,    0
  4502, 27116,19720703,  131,    0
  4502, 27116,19720704,  141,    0
  4502, 27116,19720705,  182,    0
  4502, 27116,19720706,  176,    0
  4502, 27116,19720707,  182,    0
  4502, 27116,19720708,  190,    0
  4502, 27116,19720709,  218,    0
  4502, 27116,19720710,  138,    0
  4502, 27116,19720711,  143,    0
  4502, 27116,19720712,  160,    0
  4502, 27116,19720713,  156,    0
  4502, 27116,19720714,  159,    0
  4502, 27116,19720715,  187,    0
  4502, 27116,19720716,  222,    0
  4502, 27116,19720717,  221,    0
  4502, 27116,19720718,  208,    0
  4502, 27116,19720719,  234,    0
  4502, 27116,19720720,  237,    0
  4502, 27116,19720721,  229,    0
  4502, 27116,19720722,  214,    0
  4502, 27116,19720723,  204,    0
  4502, 27116,19720724,  202,    0
  4502, 27116,19720725,  172,    0
  4502, 27116,19720726,  164,    0
  4502, 27116,19720727,  136,    0
  4502, 27116,19720728,  137,    0
  4502, 27116,19720729,  132,    0
  4502, 27116,19720730,  141,    0
  4502, 27116,19720731,  150,    0
  4502, 27116,19720801,  156,    0
  4502, 27116,19720802,  120,    0
  4502, 27116,19720803,  146,    0
  4502, 27116,19720804,  132,    0
  4502, 27116,19720805,  150,    0
  4502, 27116,19720806,  164,    0
  4502, 27116,19720807,  194,    0
  4502, 27116,19720808,  191,    0
  4502, 27116,19720809,  188,    0
  4502, 27116,19720810,  201,    0
  4502, 27116,19720811,  174,    0
  4502, 27116,19720812,  182,    0
  4502, 27116,19720813,  212,    0
  4502, 27116,19720814,  219,    0
  4502, 27116,19720815,  175,    0
  4502, 27116,19720816,  138,    0
  4502, 27116,19720817,  141,    0
  4502, 27116,19720818,  109,    0
  4502, 27116,19720819,  107,    0
  4502, 27116,19720820,  128,    0
  4502, 27116,19720821,  126,    0
  4502, 27116,19720822,  117,    0
  4502, 27116,19720823,  125,    0
  4502, 27116,19720824,  118,    0
  4502, 27116,19720825,  142,    0
  4502, 27116,19720826,  140,    0
  4502, 27116,19720827,  141,    0
  4502, 27116,19720828,  129,    0
  4502, 27116,19720829,  134,    0
  4502, 27116,19720830,  137,    0
  4502, 27116,19720831,  124,    0
  4502, 27116,19720901,  130,    0
  4502, 27116,19720902,  125,    0
  4502, 27116,19720903,  143,    0
  4502, 27116,19720904,  138,    0
  4502, 27116,19720905,  151,    0
  4502, 27116,19720906,  152,    0
  4502, 27116,19720907,  158,    0
  4502, 27116,19720908,  154,    0
  4502, 27116,19720909,  154,    0
  4502, 27116,19720910,  147,    0
  4502, 27116,19720911,   96,    0
  4502, 27116,19720912,   71,    0
  4502, 27116,19720913,   79,    0
  4502, 27116,19720914,   81,    0
  4502, 27116,19720915,   81,    0
  4502, 27116,19720916,   88,    0
  4502, 27116,19720917,   76,    0
  4502, 27116,19720918,   65,    0
  4502, 27116,19720919,   97,    0
  4502, 27116,19720920,  104,    0
  4502, 27116,19720921,   90,    0
  4502, 27116,19720922,  105,    0
  4502, 27116,19720923,  101,    0
  4502, 27116,19720924,   70,    0
  4502, 27116,19720925,   60,    0
  4502, 27116,19720926,   60,    0
  4502, 27116,19720927,   79,    0
  4502, 27116,19720928,   76,    0
  4502, 27116,19720929,   77,    0
  4502, 27116,19720930,   73,    0
  4502, 27116,19721001,   45,    0
  4502, 27116,19721002,   46,    0
  4502, 27116,19721003,   30,    0
  4502, 27116,19721004,   24,    0
  4502, 27116,19721005,   40,    0
  4502, 27116,19721006,   94,    0
  4502, 27116,19721007,   92,    0
  4502, 27116,19721008,   82,    0
  4502, 27116,19721009,   79,    0
