EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERLIN-MARZAHN, GERMANY (STAID: 4561)
Blended and updated with sources:27440 27824 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4561, 27440,19610101,   12,    0
  4561, 27440,19610102,    0,    0
  4561, 27440,19610103,   27,    0
  4561, 27440,19610104,   16,    0
  4561, 27440,19610105,   12,    0
  4561, 27440,19610106,   15,    0
  4561, 27440,19610107,   14,    0
  4561, 27440,19610108,   24,    0
  4561, 27440,19610109,   26,    0
  4561, 27440,19610110,   22,    0
  4561, 27440,19610111,   10,    0
  4561, 27440,19610112,  -20,    0
  4561, 27440,19610113,    4,    0
  4561, 27440,19610114,   15,    0
  4561, 27440,19610115,  -21,    0
  4561, 27440,19610116,   -1,    0
  4561, 27440,19610117,  -28,    0
  4561, 27440,19610118,  -78,    0
  4561, 27440,19610119,  -64,    0
  4561, 27440,19610120,  -41,    0
  4561, 27440,19610121,  -34,    0
  4561, 27440,19610122,  -14,    0
  4561, 27440,19610123,  -52,    0
  4561, 27440,19610124,  -61,    0
  4561, 27440,19610125,  -86,    0
  4561, 27440,19610126, -117,    0
  4561, 27440,19610127,  -99,    0
  4561, 27440,19610128,  -50,    0
  4561, 27440,19610129,   55,    0
  4561, 27440,19610130,   53,    0
  4561, 27440,19610131,   44,    0
  4561, 27440,19610201,   29,    0
  4561, 27440,19610202,   23,    0
  4561, 27440,19610203,    5,    0
  4561, 27440,19610204,    8,    0
  4561, 27440,19610205,  -26,    0
  4561, 27440,19610206,   29,    0
  4561, 27440,19610207,   50,    0
  4561, 27440,19610208,   34,    0
  4561, 27440,19610209,   63,    0
  4561, 27440,19610210,   42,    0
  4561, 27440,19610211,   62,    0
  4561, 27440,19610212,   43,    0
  4561, 27440,19610213,   51,    0
  4561, 27440,19610214,   62,    0
  4561, 27440,19610215,   74,    0
  4561, 27440,19610216,   72,    0
  4561, 27440,19610217,   70,    0
  4561, 27440,19610218,   50,    0
  4561, 27440,19610219,   58,    0
  4561, 27440,19610220,   44,    0
  4561, 27440,19610221,   46,    0
  4561, 27440,19610222,   42,    0
  4561, 27440,19610223,   22,    0
  4561, 27440,19610224,   54,    0
  4561, 27440,19610225,   56,    0
  4561, 27440,19610226,   56,    0
  4561, 27440,19610227,   96,    0
  4561, 27440,19610228,   64,    0
  4561, 27440,19610301,   44,    0
  4561, 27440,19610302,   54,    0
  4561, 27440,19610303,   52,    0
  4561, 27440,19610304,   55,    0
  4561, 27440,19610305,   49,    0
  4561, 27440,19610306,   69,    0
  4561, 27440,19610307,   74,    0
  4561, 27440,19610308,   53,    0
  4561, 27440,19610309,   74,    0
  4561, 27440,19610310,   99,    0
  4561, 27440,19610311,   90,    0
  4561, 27440,19610312,  110,    0
  4561, 27440,19610313,   78,    0
  4561, 27440,19610314,  104,    0
  4561, 27440,19610315,  109,    0
  4561, 27440,19610316,   96,    0
  4561, 27440,19610317,  113,    0
  4561, 27440,19610318,   84,    0
  4561, 27440,19610319,   24,    0
  4561, 27440,19610320,    2,    0
  4561, 27440,19610321,   17,    0
  4561, 27440,19610322,   24,    0
  4561, 27440,19610323,   69,    0
  4561, 27440,19610324,   82,    0
  4561, 27440,19610325,   90,    0
  4561, 27440,19610326,   85,    0
  4561, 27440,19610327,   24,    0
  4561, 27440,19610328,   39,    0
  4561, 27440,19610329,   67,    0
  4561, 27440,19610330,   61,    0
  4561, 27440,19610331,   33,    0
  4561, 27440,19610401,   38,    0
  4561, 27440,19610402,   28,    0
  4561, 27440,19610403,   38,    0
  4561, 27440,19610404,   63,    0
  4561, 27440,19610405,  134,    0
  4561, 27440,19610406,  160,    0
  4561, 27440,19610407,  159,    0
  4561, 27440,19610408,   65,    0
  4561, 27440,19610409,   55,    0
  4561, 27440,19610410,   64,    0
  4561, 27440,19610411,   90,    0
  4561, 27440,19610412,  118,    0
  4561, 27440,19610413,  157,    0
  4561, 27440,19610414,  156,    0
  4561, 27440,19610415,  120,    0
  4561, 27440,19610416,  102,    0
  4561, 27440,19610417,  115,    0
  4561, 27440,19610418,  113,    0
  4561, 27440,19610419,  104,    0
  4561, 27440,19610420,  106,    0
  4561, 27440,19610421,  116,    0
  4561, 27440,19610422,  150,    0
  4561, 27440,19610423,  155,    0
  4561, 27440,19610424,  154,    0
  4561, 27440,19610425,  108,    0
  4561, 27440,19610426,  126,    0
  4561, 27440,19610427,  124,    0
  4561, 27440,19610428,  120,    0
  4561, 27440,19610429,  114,    0
  4561, 27440,19610430,  128,    0
  4561, 27440,19610501,  124,    0
  4561, 27440,19610502,  133,    0
  4561, 27440,19610503,  130,    0
  4561, 27440,19610504,  140,    0
  4561, 27440,19610505,  155,    0
  4561, 27440,19610506,  138,    0
  4561, 27440,19610507,  105,    0
  4561, 27440,19610508,   86,    0
  4561, 27440,19610509,   86,    0
  4561, 27440,19610510,   92,    0
  4561, 27440,19610511,   78,    0
  4561, 27440,19610512,   91,    0
  4561, 27440,19610513,   98,    0
  4561, 27440,19610514,   88,    0
  4561, 27440,19610515,   91,    0
  4561, 27440,19610516,   86,    0
  4561, 27440,19610517,  110,    0
  4561, 27440,19610518,  122,    0
  4561, 27440,19610519,  111,    0
  4561, 27440,19610520,  106,    0
  4561, 27440,19610521,  126,    0
  4561, 27440,19610522,  136,    0
  4561, 27440,19610523,  122,    0
  4561, 27440,19610524,  116,    0
  4561, 27440,19610525,  139,    0
  4561, 27440,19610526,  157,    0
  4561, 27440,19610527,   71,    0
  4561, 27440,19610528,   82,    0
  4561, 27440,19610529,   87,    0
  4561, 27440,19610530,   94,    0
  4561, 27440,19610531,   99,    0
  4561, 27440,19610601,  175,    0
  4561, 27440,19610602,  182,    0
  4561, 27440,19610603,  193,    0
  4561, 27440,19610604,  206,    0
  4561, 27440,19610605,  208,    0
  4561, 27440,19610606,  214,    0
  4561, 27440,19610607,  203,    0
  4561, 27440,19610608,  180,    0
  4561, 27440,19610609,  203,    0
  4561, 27440,19610610,  146,    0
  4561, 27440,19610611,  170,    0
  4561, 27440,19610612,  138,    0
  4561, 27440,19610613,  138,    0
  4561, 27440,19610614,  131,    0
  4561, 27440,19610615,  120,    0
  4561, 27440,19610616,  150,    0
  4561, 27440,19610617,  191,    0
  4561, 27440,19610618,  199,    0
  4561, 27440,19610619,  152,    0
  4561, 27440,19610620,  145,    0
  4561, 27440,19610621,  149,    0
  4561, 27440,19610622,  188,    0
  4561, 27440,19610623,  177,    0
  4561, 27440,19610624,  191,    0
  4561, 27440,19610625,  225,    0
  4561, 27440,19610626,  236,    0
  4561, 27440,19610627,  189,    0
  4561, 27440,19610628,  147,    0
  4561, 27440,19610629,  182,    0
  4561, 27440,19610630,  218,    0
  4561, 27440,19610701,  234,    0
  4561, 27440,19610702,  257,    0
  4561, 27440,19610703,  226,    0
  4561, 27440,19610704,  164,    0
  4561, 27440,19610705,  117,    0
  4561, 27440,19610706,  126,    0
  4561, 27440,19610707,  144,    0
  4561, 27440,19610708,  176,    0
  4561, 27440,19610709,  147,    0
  4561, 27440,19610710,  147,    0
  4561, 27440,19610711,  179,    0
  4561, 27440,19610712,  216,    0
  4561, 27440,19610713,  174,    0
  4561, 27440,19610714,  154,    0
  4561, 27440,19610715,  174,    0
  4561, 27440,19610716,  153,    0
  4561, 27440,19610717,  133,    0
  4561, 27440,19610718,  148,    0
  4561, 27440,19610719,  158,    0
  4561, 27440,19610720,  150,    0
  4561, 27440,19610721,  144,    0
  4561, 27440,19610722,  145,    0
  4561, 27440,19610723,  144,    0
  4561, 27440,19610724,  137,    0
  4561, 27440,19610725,  159,    0
  4561, 27440,19610726,  194,    0
  4561, 27440,19610727,  165,    0
  4561, 27440,19610728,  133,    0
  4561, 27440,19610729,  130,    0
  4561, 27440,19610730,  135,    0
  4561, 27440,19610731,  142,    0
  4561, 27440,19610801,  156,    0
  4561, 27440,19610802,  152,    0
  4561, 27440,19610803,  134,    0
  4561, 27440,19610804,  149,    0
  4561, 27440,19610805,  204,    0
  4561, 27440,19610806,  201,    0
  4561, 27440,19610807,  164,    0
  4561, 27440,19610808,  178,    0
  4561, 27440,19610809,  198,    0
  4561, 27440,19610810,  175,    0
  4561, 27440,19610811,  177,    0
  4561, 27440,19610812,  156,    0
  4561, 27440,19610813,  144,    0
  4561, 27440,19610814,  150,    0
  4561, 27440,19610815,  132,    0
  4561, 27440,19610816,  123,    0
  4561, 27440,19610817,  123,    0
  4561, 27440,19610818,  142,    0
  4561, 27440,19610819,  141,    0
  4561, 27440,19610820,  154,    0
  4561, 27440,19610821,  173,    0
  4561, 27440,19610822,  140,    0
  4561, 27440,19610823,  128,    0
  4561, 27440,19610824,  151,    0
  4561, 27440,19610825,  153,    0
  4561, 27440,19610826,  187,    0
  4561, 27440,19610827,  181,    0
  4561, 27440,19610828,  161,    0
  4561, 27440,19610829,  177,    0
  4561, 27440,19610830,  198,    0
  4561, 27440,19610831,  211,    0
  4561, 27440,19610901,  222,    0
  4561, 27440,19610902,  219,    0
