EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROTENBURG (WUMME), GERMANY (STAID: 4568)
Blended and updated with sources:27908 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4568, 27908,19460101,  -27,    0
  4568, 27908,19460102,  -26,    0
  4568, 27908,19460103,  -28,    0
  4568, 27908,19460104,  -18,    0
  4568, 27908,19460105,   13,    0
  4568, 27908,19460106,   21,    0
  4568, 27908,19460107,   14,    0
  4568, 27908,19460108,  -19,    0
  4568, 27908,19460109,   35,    0
  4568, 27908,19460110,   68,    0
  4568, 27908,19460111,  104,    0
  4568, 27908,19460112,   57,    0
  4568, 27908,19460113,  -14,    0
  4568, 27908,19460114,  -29,    0
  4568, 27908,19460115,  -14,    0
  4568, 27908,19460116,  -11,    0
  4568, 27908,19460117,  -56,    0
  4568, 27908,19460118,  -46,    0
  4568, 27908,19460119,  -32,    0
  4568, 27908,19460120,  -16,    0
  4568, 27908,19460121,  -58,    0
  4568, 27908,19460122,  -64,    0
  4568, 27908,19460123,  -46,    0
  4568, 27908,19460124,  -44,    0
  4568, 27908,19460125,  -58,    0
  4568, 27908,19460126,  -59,    0
  4568, 27908,19460127,    8,    0
  4568, 27908,19460128,   19,    0
  4568, 27908,19460129,   32,    0
  4568, 27908,19460130,   43,    0
  4568, 27908,19460131,   21,    0
  4568, 27908,19460201,   58,    0
  4568, 27908,19460202,   62,    0
  4568, 27908,19460203,   70,    0
  4568, 27908,19460204,   66,    0
  4568, 27908,19460205,   58,    0
  4568, 27908,19460206,   50,    0
  4568, 27908,19460207,   75,    0
  4568, 27908,19460208,   50,    0
  4568, 27908,19460209,   36,    0
  4568, 27908,19460210,   44,    0
  4568, 27908,19460211,   41,    0
  4568, 27908,19460212,   16,    0
  4568, 27908,19460213,    1,    0
  4568, 27908,19460214,   31,    0
  4568, 27908,19460215,   52,    0
  4568, 27908,19460216,   53,    0
  4568, 27908,19460217,   43,    0
  4568, 27908,19460218,   54,    0
  4568, 27908,19460219,   50,    0
  4568, 27908,19460220,   16,    0
  4568, 27908,19460221,   -8,    0
