EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERLIN-TEGELER FLIESSTAL, GERMANY (STAID: 4581)
Blended and updated with sources:21152 27848 28064 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4581, 27848,19560101,   20,    0
  4581, 27848,19560102,   17,    0
  4581, 27848,19560103,   -7,    0
  4581, 27848,19560104,   15,    0
  4581, 27848,19560105,   34,    0
  4581, 27848,19560106,   14,    0
  4581, 27848,19560107,  -18,    0
  4581, 27848,19560108,  -26,    0
  4581, 27848,19560109,  -12,    0
  4581, 27848,19560110,   -7,    0
  4581, 27848,19560111,   31,    0
  4581, 27848,19560112,   67,    0
  4581, 27848,19560113,   56,    0
  4581, 27848,19560114,   23,    0
  4581, 27848,19560115,   58,    0
  4581, 27848,19560116,   42,    0
  4581, 27848,19560117,   51,    0
  4581, 27848,19560118,   40,    0
  4581, 27848,19560119,   19,    0
  4581, 27848,19560120,   45,    0
  4581, 27848,19560121,   53,    0
  4581, 27848,19560122,   46,    0
  4581, 27848,19560123,   39,    0
  4581, 27848,19560124,   22,    0
  4581, 27848,19560125,    3,    0
  4581, 27848,19560126,   -2,    0
  4581, 27848,19560127,  -14,    0
  4581, 27848,19560128,  -33,    0
  4581, 27848,19560129,  -37,    0
  4581, 27848,19560130, -101,    0
  4581, 27848,19560131, -159,    0
  4581, 27848,19560201, -170,    0
  4581, 27848,19560202,  -86,    0
  4581, 27848,19560203,  -38,    0
  4581, 27848,19560204,  -53,    0
  4581, 27848,19560205,  -41,    0
  4581, 27848,19560206,  -19,    0
  4581, 27848,19560207,  -63,    0
  4581, 27848,19560208,  -87,    0
  4581, 27848,19560209, -155,    0
  4581, 27848,19560210, -123,    0
  4581, 27848,19560211, -168,    0
  4581, 27848,19560212, -104,    0
  4581, 27848,19560213,  -84,    0
  4581, 27848,19560214, -110,    0
  4581, 27848,19560215, -127,    0
  4581, 27848,19560216,  -92,    0
  4581, 27848,19560217,  -73,    0
  4581, 27848,19560218, -105,    0
  4581, 27848,19560219,  -85,    0
  4581, 27848,19560220, -102,    0
  4581, 27848,19560221,  -94,    0
  4581, 27848,19560222, -114,    0
  4581, 27848,19560223, -105,    0
  4581, 27848,19560224,  -89,    0
  4581, 27848,19560225,  -88,    0
  4581, 27848,19560226,  -50,    0
  4581, 27848,19560227,  -10,    0
  4581, 27848,19560228,   19,    0
  4581, 27848,19560229,   36,    0
  4581, 27848,19560301,   40,    0
  4581, 27848,19560302,   69,    0
  4581, 27848,19560303,   49,    0
  4581, 27848,19560304,   21,    0
  4581, 27848,19560305,   24,    0
  4581, 27848,19560306,   19,    0
  4581, 27848,19560307,  -10,    0
  4581, 27848,19560308,  -10,    0
  4581, 27848,19560309,    3,    0
  4581, 27848,19560310,    2,    0
  4581, 27848,19560311,    2,    0
  4581, 27848,19560312,    2,    0
  4581, 27848,19560313,    4,    0
  4581, 27848,19560314,  -12,    0
  4581, 27848,19560315,  -22,    0
  4581, 27848,19560316,    9,    0
  4581, 27848,19560317,    9,    0
  4581, 27848,19560318,   18,    0
  4581, 27848,19560319,   20,    0
  4581, 27848,19560320,   32,    0
  4581, 27848,19560321,   54,    0
  4581, 27848,19560322,   77,    0
  4581, 27848,19560323,   82,    0
  4581, 27848,19560324,   73,    0
  4581, 27848,19560325,   66,    0
  4581, 27848,19560326,   64,    0
  4581, 27848,19560327,   52,    0
  4581, 27848,19560328,   70,    0
  4581, 27848,19560329,  106,    0
  4581, 27848,19560330,  117,    0
  4581, 27848,19560331,   95,    0
  4581, 27848,19560401,   54,    0
  4581, 27848,19560402,   56,    0
  4581, 27848,19560403,   74,    0
  4581, 27848,19560404,   21,    0
  4581, 27848,19560405,   22,    0
  4581, 27848,19560406,   18,    0
  4581, 27848,19560407,   -3,    0
  4581, 27848,19560408,   26,    0
  4581, 27848,19560409,   78,    0
  4581, 27848,19560410,  110,    0
  4581, 27848,19560411,   58,    0
  4581, 27848,19560412,   52,    0
