EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SALDENBURG-ENTSCHENREUTH, GERMANY (STAID: 4587)
Blended and updated with sources:28136 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4587, 28136,19850901,  158,    0
  4587, 28136,19850902,  132,    0
  4587, 28136,19850903,  146,    0
  4587, 28136,19850904,  129,    0
  4587, 28136,19850905,  116,    0
  4587, 28136,19850906,  126,    0
  4587, 28136,19850907,   93,    0
  4587, 28136,19850908,   86,    0
  4587, 28136,19850909,   90,    0
  4587, 28136,19850910,  112,    0
  4587, 28136,19850911,  120,    0
  4587, 28136,19850912,  120,    0
  4587, 28136,19850913,  135,    0
  4587, 28136,19850914,  136,    0
  4587, 28136,19850915,  141,    0
  4587, 28136,19850916,  123,    0
  4587, 28136,19850917,  114,    0
  4587, 28136,19850918,  169,    0
  4587, 28136,19850919,  176,    0
  4587, 28136,19850920,  169,    0
  4587, 28136,19850921,  166,    0
  4587, 28136,19850922,  170,    0
  4587, 28136,19850923,  167,    0
  4587, 28136,19850924,  153,    0
  4587, 28136,19850925,  129,    0
  4587, 28136,19850926,  127,    0
  4587, 28136,19850927,  132,    0
  4587, 28136,19850928,  110,    0
  4587, 28136,19850929,  101,    0
  4587, 28136,19850930,  108,    0
  4587, 28136,19851001,  120,    0
  4587, 28136,19851002,  135,    0
  4587, 28136,19851003,  147,    0
  4587, 28136,19851004,  133,    0
  4587, 28136,19851005,  113,    0
  4587, 28136,19851006,  142,    0
  4587, 28136,19851007,  117,    0
  4587, 28136,19851008,  114,    0
  4587, 28136,19851009,   76,    0
  4587, 28136,19851010,   97,    0
  4587, 28136,19851011,   88,    0
  4587, 28136,19851012,   78,    0
  4587, 28136,19851013,   36,    0
  4587, 28136,19851014,   64,    0
  4587, 28136,19851015,   74,    0
  4587, 28136,19851016,   32,    0
  4587, 28136,19851017,   34,    0
  4587, 28136,19851018,   56,    0
  4587, 28136,19851019,   61,    0
  4587, 28136,19851020,   36,    0
  4587, 28136,19851021,   52,    0
  4587, 28136,19851022,   64,    0
  4587, 28136,19851023,   32,    0
  4587, 28136,19851024,   65,    0
  4587, 28136,19851025,   48,    0
  4587, 28136,19851026,   18,    0
  4587, 28136,19851027,    4,    0
  4587, 28136,19851028,  -10,    0
  4587, 28136,19851029,  -19,    0
  4587, 28136,19851030,   12,    0
  4587, 28136,19851031,   39,    0
  4587, 28136,19851101,-9999,    9
  4587, 28136,19851102,-9999,    9
  4587, 28136,19851103,-9999,    9
  4587, 28136,19851104,-9999,    9
  4587, 28136,19851105,-9999,    9
  4587, 28136,19851106,-9999,    9
  4587, 28136,19851107,-9999,    9
  4587, 28136,19851108,-9999,    9
  4587, 28136,19851109,-9999,    9
  4587, 28136,19851110,-9999,    9
  4587, 28136,19851111,-9999,    9
  4587, 28136,19851112,-9999,    9
  4587, 28136,19851113,-9999,    9
  4587, 28136,19851114,-9999,    9
  4587, 28136,19851115,-9999,    9
  4587, 28136,19851116,-9999,    9
  4587, 28136,19851117,-9999,    9
  4587, 28136,19851118,-9999,    9
  4587, 28136,19851119,-9999,    9
  4587, 28136,19851120,-9999,    9
  4587, 28136,19851121,-9999,    9
  4587, 28136,19851122,-9999,    9
  4587, 28136,19851123,-9999,    9
  4587, 28136,19851124,-9999,    9
  4587, 28136,19851125,-9999,    9
  4587, 28136,19851126,-9999,    9
  4587, 28136,19851127,-9999,    9
  4587, 28136,19851128,-9999,    9
  4587, 28136,19851129,-9999,    9
  4587, 28136,19851130,-9999,    9
  4587, 28136,19851201,    6,    0
  4587, 28136,19851202,    6,    0
  4587, 28136,19851203,   11,    0
  4587, 28136,19851204,    8,    0
  4587, 28136,19851205,   10,    0
  4587, 28136,19851206,   19,    0
  4587, 28136,19851207,    8,    0
  4587, 28136,19851208,    4,    0
  4587, 28136,19851209,   16,    0
  4587, 28136,19851210,   13,    0
  4587, 28136,19851211,    4,    0
  4587, 28136,19851212,    7,    0
  4587, 28136,19851213,    7,    0
  4587, 28136,19851214,    0,    0
  4587, 28136,19851215,   45,    0
  4587, 28136,19851216,   72,    0
  4587, 28136,19851217,   45,    0
  4587, 28136,19851218,   36,    0
  4587, 28136,19851219,   30,    0
  4587, 28136,19851220,   27,    0
  4587, 28136,19851221,   24,    0
  4587, 28136,19851222,   -2,    0
  4587, 28136,19851223,  -35,    0
  4587, 28136,19851224,  -31,    0
  4587, 28136,19851225,  -16,    0
  4587, 28136,19851226,   10,    0
  4587, 28136,19851227,    0,    0
  4587, 28136,19851228,   14,    0
  4587, 28136,19851229,  -16,    0
  4587, 28136,19851230,  -52,    0
  4587, 28136,19851231,  -52,    0
  4587, 28136,19860101,  -55,    0
  4587, 28136,19860102,  -28,    0
  4587, 28136,19860103,  -22,    0
  4587, 28136,19860104,  -29,    0
  4587, 28136,19860105,  -56,    0
  4587, 28136,19860106,  -34,    0
  4587, 28136,19860107,  -30,    0
  4587, 28136,19860108,  -58,    0
  4587, 28136,19860109,  -38,    0
  4587, 28136,19860110,  -61,    0
  4587, 28136,19860111,   -4,    0
  4587, 28136,19860112,    7,    0
  4587, 28136,19860113,    4,    0
  4587, 28136,19860114,   33,    0
  4587, 28136,19860115,   11,    0
  4587, 28136,19860116,  -10,    0
  4587, 28136,19860117,  -63,    0
  4587, 28136,19860118,  -31,    0
  4587, 28136,19860119,   17,    0
  4587, 28136,19860120,   26,    0
  4587, 28136,19860121,  -16,    0
  4587, 28136,19860122,  -26,    0
  4587, 28136,19860123,   22,    0
  4587, 28136,19860124,    6,    0
  4587, 28136,19860125,  -15,    0
  4587, 28136,19860126,  -57,    0
  4587, 28136,19860127,  -90,    0
  4587, 28136,19860128, -106,    0
  4587, 28136,19860129,  -18,    0
  4587, 28136,19860130,   37,    0
  4587, 28136,19860131,   51,    0
  4587, 28136,19860201,   34,    0
  4587, 28136,19860202,   16,    0
  4587, 28136,19860203,   -5,    0
  4587, 28136,19860204,  -24,    0
  4587, 28136,19860205,  -55,    0
  4587, 28136,19860206,  -66,    0
  4587, 28136,19860207,  -93,    0
  4587, 28136,19860208, -115,    0
  4587, 28136,19860209, -117,    0
  4587, 28136,19860210, -118,    0
  4587, 28136,19860211,  -86,    0
  4587, 28136,19860212,  -84,    0
  4587, 28136,19860213, -101,    0
  4587, 28136,19860214,  -62,    0
  4587, 28136,19860215,  -34,    0
  4587, 28136,19860216,  -20,    0
  4587, 28136,19860217,  -30,    0
  4587, 28136,19860218,  -29,    0
  4587, 28136,19860219,  -33,    0
  4587, 28136,19860220,  -89,    0
  4587, 28136,19860221, -100,    0
  4587, 28136,19860222, -136,    0
  4587, 28136,19860223,  -74,    0
  4587, 28136,19860224, -113,    0
  4587, 28136,19860225, -100,    0
  4587, 28136,19860226,  -98,    0
  4587, 28136,19860227,  -81,    0
  4587, 28136,19860228,  -84,    0
  4587, 28136,19860301,  -34,    0
  4587, 28136,19860302,  -31,    0
  4587, 28136,19860303,  -11,    0
  4587, 28136,19860304,  -30,    0
  4587, 28136,19860305,    8,    0
  4587, 28136,19860306,   24,    0
  4587, 28136,19860307,   12,    0
  4587, 28136,19860308,   27,    0
  4587, 28136,19860309,    8,    0
  4587, 28136,19860310,   21,    0
  4587, 28136,19860311,   28,    0
  4587, 28136,19860312,   17,    0
  4587, 28136,19860313,   14,    0
  4587, 28136,19860314,   15,    0
  4587, 28136,19860315,   30,    0
  4587, 28136,19860316,   17,    0
  4587, 28136,19860317,   12,    0
  4587, 28136,19860318,   40,    0
