EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAD SALZUFLEN, GERMANY (STAID: 4591)
Blended and updated with sources:28184 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4591, 28184,19350101,   70,    0
  4591, 28184,19350102,   52,    0
  4591, 28184,19350103,   26,    0
  4591, 28184,19350104,   54,    0
  4591, 28184,19350105,   40,    0
  4591, 28184,19350106,   14,    0
  4591, 28184,19350107,    4,    0
  4591, 28184,19350108,  -22,    0
  4591, 28184,19350109,  -46,    0
  4591, 28184,19350110,  -54,    0
  4591, 28184,19350111,    2,    0
  4591, 28184,19350112,   -5,    0
  4591, 28184,19350113,    9,    0
  4591, 28184,19350114,    8,    0
  4591, 28184,19350115,   14,    0
  4591, 28184,19350116,   39,    0
  4591, 28184,19350117,   38,    0
  4591, 28184,19350118,   -3,    0
  4591, 28184,19350119,  -11,    0
  4591, 28184,19350120,    1,    0
  4591, 28184,19350121,   29,    0
  4591, 28184,19350122,   59,    0
  4591, 28184,19350123,   48,    0
  4591, 28184,19350124,   53,    0
  4591, 28184,19350125,   48,    0
  4591, 28184,19350126,   13,    0
  4591, 28184,19350127,  -29,    0
  4591, 28184,19350128,  -24,    0
  4591, 28184,19350129,  -51,    0
  4591, 28184,19350130,  -34,    0
  4591, 28184,19350131,   20,    0
  4591, 28184,19350201,   28,    0
  4591, 28184,19350202,   55,    0
  4591, 28184,19350203,   23,    0
  4591, 28184,19350204,   34,    0
  4591, 28184,19350205,   26,    0
  4591, 28184,19350206,   -8,    0
  4591, 28184,19350207,  -32,    0
  4591, 28184,19350208,  -50,    0
  4591, 28184,19350209,  -70,    0
  4591, 28184,19350210,  -45,    0
  4591, 28184,19350211,    0,    0
  4591, 28184,19350212,   22,    0
  4591, 28184,19350213,   42,    0
  4591, 28184,19350214,   66,    0
  4591, 28184,19350215,   48,    0
  4591, 28184,19350216,   98,    0
  4591, 28184,19350217,   64,    0
  4591, 28184,19350218,   68,    0
  4591, 28184,19350219,   74,    0
  4591, 28184,19350220,   92,    0
  4591, 28184,19350221,   79,    0
  4591, 28184,19350222,   68,    0
  4591, 28184,19350223,   36,    0
  4591, 28184,19350224,   32,    0
  4591, 28184,19350225,   76,    0
  4591, 28184,19350226,   30,    0
