EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHAUMBERG-THOLEY, GERMANY (STAID: 4600)
Blended and updated with sources:28292 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4600, 28292,19510101,   -7,    0
  4600, 28292,19510102,  -10,    0
  4600, 28292,19510103,  -16,    0
  4600, 28292,19510104,  -16,    0
  4600, 28292,19510105,   22,    0
  4600, 28292,19510106,   28,    0
  4600, 28292,19510107,   21,    0
  4600, 28292,19510108,   17,    0
  4600, 28292,19510109,   14,    0
  4600, 28292,19510110,   18,    0
  4600, 28292,19510111,   48,    0
  4600, 28292,19510112,   16,    0
  4600, 28292,19510113,    8,    0
  4600, 28292,19510114,   21,    0
  4600, 28292,19510115,    4,    0
  4600, 28292,19510116,   -1,    0
  4600, 28292,19510117,   12,    0
  4600, 28292,19510118,   23,    0
  4600, 28292,19510119,   12,    0
  4600, 28292,19510120,   53,    0
  4600, 28292,19510121,   43,    0
  4600, 28292,19510122,   27,    0
  4600, 28292,19510123,   23,    0
  4600, 28292,19510124,   10,    0
  4600, 28292,19510125,  -12,    0
  4600, 28292,19510126,    5,    0
  4600, 28292,19510127,    6,    0
  4600, 28292,19510128,    3,    0
  4600, 28292,19510129,   -8,    0
  4600, 28292,19510130,   -8,    0
  4600, 28292,19510131,   -5,    0
  4600, 28292,19510201,    2,    0
  4600, 28292,19510202,    3,    0
  4600, 28292,19510203,   -2,    0
  4600, 28292,19510204,   21,    0
  4600, 28292,19510205,   18,    0
  4600, 28292,19510206,   14,    0
  4600, 28292,19510207,   11,    0
  4600, 28292,19510208,   36,    0
  4600, 28292,19510209,   38,    0
  4600, 28292,19510210,   16,    0
  4600, 28292,19510211,   23,    0
  4600, 28292,19510212,   42,    0
  4600, 28292,19510213,   26,    0
  4600, 28292,19510214,   21,    0
  4600, 28292,19510215,    8,    0
  4600, 28292,19510216,   18,    0
  4600, 28292,19510217,   35,    0
  4600, 28292,19510218,   17,    0
  4600, 28292,19510219,    2,    0
  4600, 28292,19510220,   38,    0
  4600, 28292,19510221,    8,    0
  4600, 28292,19510222,   -4,    0
  4600, 28292,19510223,   -4,    0
  4600, 28292,19510224,   16,    0
  4600, 28292,19510225,    6,    0
  4600, 28292,19510226,   -8,    0
  4600, 28292,19510227,  -18,    0
  4600, 28292,19510228,  -30,    0
  4600, 28292,19510301,  -20,    0
  4600, 28292,19510302,  -28,    0
  4600, 28292,19510303,  -48,    0
  4600, 28292,19510304,  -42,    0
  4600, 28292,19510305,    5,    0
  4600, 28292,19510306,   28,    0
  4600, 28292,19510307,   21,    0
  4600, 28292,19510308,    4,    0
  4600, 28292,19510309,  -19,    0
  4600, 28292,19510310,    6,    0
  4600, 28292,19510311,   14,    0
  4600, 28292,19510312,   44,    0
  4600, 28292,19510313,   56,    0
  4600, 28292,19510314,   42,    0
  4600, 28292,19510315,   46,    0
  4600, 28292,19510316,   74,    0
  4600, 28292,19510317,  106,    0
  4600, 28292,19510318,   64,    0
  4600, 28292,19510319,   43,    0
  4600, 28292,19510320,   -2,    0
  4600, 28292,19510321,    2,    0
  4600, 28292,19510322,   12,    0
  4600, 28292,19510323,   84,    0
  4600, 28292,19510324,    2,    0
  4600, 28292,19510325,  -16,    0
  4600, 28292,19510326,   -1,    0
  4600, 28292,19510327,   17,    0
  4600, 28292,19510328,   -7,    0
  4600, 28292,19510329,  -14,    0
  4600, 28292,19510330,   24,    0
  4600, 28292,19510331,    7,    0
  4600, 28292,19510401,   18,    0
  4600, 28292,19510402,   30,    0
  4600, 28292,19510403,   25,    0
  4600, 28292,19510404,   54,    0
  4600, 28292,19510405,   73,    0
  4600, 28292,19510406,   84,    0
  4600, 28292,19510407,   55,    0
  4600, 28292,19510408,   16,    0
