EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHULENBERG, GERMANY (STAID: 4624)
Blended and updated with sources:28580 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4624, 28580,19690601,   95,    0
  4624, 28580,19690602,   78,    0
  4624, 28580,19690603,   67,    0
  4624, 28580,19690604,   51,    0
  4624, 28580,19690605,   59,    0
  4624, 28580,19690606,   40,    0
  4624, 28580,19690607,  102,    0
  4624, 28580,19690608,  125,    0
  4624, 28580,19690609,  127,    0
  4624, 28580,19690610,  128,    0
  4624, 28580,19690611,  168,    0
  4624, 28580,19690612,  170,    0
  4624, 28580,19690613,  182,    0
  4624, 28580,19690614,  152,    0
  4624, 28580,19690615,  154,    0
  4624, 28580,19690616,  168,    0
  4624, 28580,19690617,  138,    0
  4624, 28580,19690618,  160,    0
  4624, 28580,19690619,  132,    0
  4624, 28580,19690620,  124,    0
  4624, 28580,19690621,  138,    0
  4624, 28580,19690622,  148,    0
  4624, 28580,19690623,  179,    0
  4624, 28580,19690624,  166,    0
  4624, 28580,19690625,  123,    0
  4624, 28580,19690626,  120,    0
  4624, 28580,19690627,  134,    0
  4624, 28580,19690628,  108,    0
  4624, 28580,19690629,  104,    0
  4624, 28580,19690630,  121,    0
  4624, 28580,19690701,  142,    0
  4624, 28580,19690702,  165,    0
  4624, 28580,19690703,  152,    0
  4624, 28580,19690704,  140,    0
  4624, 28580,19690705,  170,    0
  4624, 28580,19690706,  146,    0
  4624, 28580,19690707,  126,    0
  4624, 28580,19690708,   87,    0
  4624, 28580,19690709,   78,    0
  4624, 28580,19690710,   96,    0
  4624, 28580,19690711,   97,    0
  4624, 28580,19690712,  110,    0
  4624, 28580,19690713,  132,    0
  4624, 28580,19690714,  122,    0
  4624, 28580,19690715,  152,    0
  4624, 28580,19690716,  200,    0
  4624, 28580,19690717,  199,    0
  4624, 28580,19690718,  123,    0
  4624, 28580,19690719,  176,    0
  4624, 28580,19690720,  164,    0
  4624, 28580,19690721,  154,    0
  4624, 28580,19690722,  188,    0
  4624, 28580,19690723,  216,    0
  4624, 28580,19690724,  228,    0
  4624, 28580,19690725,  194,    0
  4624, 28580,19690726,  209,    0
  4624, 28580,19690727,  202,    0
  4624, 28580,19690728,  224,    0
  4624, 28580,19690729,  241,    0
  4624, 28580,19690730,  188,    0
  4624, 28580,19690731,  184,    0
  4624, 28580,19690801,  216,    0
  4624, 28580,19690802,  214,    0
  4624, 28580,19690803,  185,    0
  4624, 28580,19690804,  175,    0
  4624, 28580,19690805,  188,    0
  4624, 28580,19690806,  186,    0
  4624, 28580,19690807,  154,    0
  4624, 28580,19690808,  163,    0
  4624, 28580,19690809,  180,    0
  4624, 28580,19690810,  176,    0
  4624, 28580,19690811,  154,    0
  4624, 28580,19690812,  165,    0
  4624, 28580,19690813,  136,    0
  4624, 28580,19690814,  158,    0
  4624, 28580,19690815,  151,    0
  4624, 28580,19690816,  145,    0
  4624, 28580,19690817,  132,    0
  4624, 28580,19690818,  142,    0
  4624, 28580,19690819,  156,    0
  4624, 28580,19690820,  138,    0
  4624, 28580,19690821,  100,    0
  4624, 28580,19690822,   83,    0
  4624, 28580,19690823,   92,    0
  4624, 28580,19690824,  110,    0
  4624, 28580,19690825,  106,    0
  4624, 28580,19690826,   86,    0
  4624, 28580,19690827,   98,    0
  4624, 28580,19690828,   94,    0
  4624, 28580,19690829,   96,    0
  4624, 28580,19690830,  129,    0
  4624, 28580,19690831,   95,    0
  4624, 28580,19690901,  113,    0
  4624, 28580,19690902,  105,    0
  4624, 28580,19690903,   97,    0
  4624, 28580,19690904,   94,    0
  4624, 28580,19690905,  112,    0
  4624, 28580,19690906,  121,    0
  4624, 28580,19690907,  104,    0
  4624, 28580,19690908,  120,    0
  4624, 28580,19690909,  131,    0
  4624, 28580,19690910,  139,    0
  4624, 28580,19690911,  142,    0
  4624, 28580,19690912,  158,    0
  4624, 28580,19690913,  153,    0
  4624, 28580,19690914,  146,    0
  4624, 28580,19690915,  146,    0
  4624, 28580,19690916,  157,    0
  4624, 28580,19690917,  131,    0
  4624, 28580,19690918,   87,    0
  4624, 28580,19690919,   46,    0
  4624, 28580,19690920,   63,    0
  4624, 28580,19690921,  102,    0
  4624, 28580,19690922,  104,    0
  4624, 28580,19690923,   62,    0
  4624, 28580,19690924,  109,    0
  4624, 28580,19690925,  130,    0
  4624, 28580,19690926,  120,    0
  4624, 28580,19690927,   72,    0
  4624, 28580,19690928,   61,    0
  4624, 28580,19690929,   74,    0
  4624, 28580,19690930,   64,    0
  4624, 28580,19691001,   45,    0
  4624, 28580,19691002,   40,    0
  4624, 28580,19691003,  106,    0
  4624, 28580,19691004,   97,    0
  4624, 28580,19691005,   87,    0
  4624, 28580,19691006,  107,    0
  4624, 28580,19691007,  107,    0
  4624, 28580,19691008,  109,    0
  4624, 28580,19691009,  105,    0
  4624, 28580,19691010,   99,    0
  4624, 28580,19691011,  122,    0
  4624, 28580,19691012,  108,    0
  4624, 28580,19691013,   68,    0
  4624, 28580,19691014,  114,    0
  4624, 28580,19691015,   94,    0
  4624, 28580,19691016,   80,    0
  4624, 28580,19691017,   84,    0
  4624, 28580,19691018,  121,    0
  4624, 28580,19691019,  117,    0
  4624, 28580,19691020,   91,    0
  4624, 28580,19691021,  102,    0
  4624, 28580,19691022,  105,    0
  4624, 28580,19691023,   97,    0
  4624, 28580,19691024,   68,    0
  4624, 28580,19691025,   71,    0
  4624, 28580,19691026,   81,    0
  4624, 28580,19691027,   90,    0
  4624, 28580,19691028,   95,    0
  4624, 28580,19691029,   57,    0
  4624, 28580,19691030,   42,    0
  4624, 28580,19691031,   77,    0
  4624, 28580,19691101,   62,    0
  4624, 28580,19691102,   75,    0
  4624, 28580,19691103,  104,    0
  4624, 28580,19691104,   62,    0
  4624, 28580,19691105,   14,    0
  4624, 28580,19691106,   -1,    0
  4624, 28580,19691107,   21,    0
  4624, 28580,19691108,   39,    0
  4624, 28580,19691109,   48,    0
  4624, 28580,19691110,   46,    0
  4624, 28580,19691111,   94,    0
  4624, 28580,19691112,   68,    0
  4624, 28580,19691113,   41,    0
  4624, 28580,19691114,   28,    0
  4624, 28580,19691115,   40,    0
  4624, 28580,19691116,   37,    0
  4624, 28580,19691117,   44,    0
  4624, 28580,19691118,    7,    0
  4624, 28580,19691119,   51,    0
  4624, 28580,19691120,   38,    0
  4624, 28580,19691121,   27,    0
  4624, 28580,19691122,   60,    0
  4624, 28580,19691123,   61,    0
  4624, 28580,19691124,  -22,    0
  4624, 28580,19691125,  -17,    0
  4624, 28580,19691126,  -28,    0
  4624, 28580,19691127,  -39,    0
  4624, 28580,19691128,   -6,    0
  4624, 28580,19691129,  -12,    0
  4624, 28580,19691130,  -66,    0
  4624, 28580,19691201,  -77,    0
  4624, 28580,19691202,  -29,    0
  4624, 28580,19691203,  -12,    0
  4624, 28580,19691204,  -82,    0
  4624, 28580,19691205,  -68,    0
  4624, 28580,19691206,  -49,    0
  4624, 28580,19691207,  -75,    0
  4624, 28580,19691208,  -72,    0
  4624, 28580,19691209,  -70,    0
  4624, 28580,19691210,  -38,    0
  4624, 28580,19691211,  -32,    0
  4624, 28580,19691212,  -12,    0
  4624, 28580,19691213,  -27,    0
  4624, 28580,19691214,  -45,    0
  4624, 28580,19691215,  -24,    0
  4624, 28580,19691216,  -78,    0
  4624, 28580,19691217,  -78,    0
  4624, 28580,19691218,  -94,    0
  4624, 28580,19691219, -112,    0
  4624, 28580,19691220, -128,    0
  4624, 28580,19691221, -104,    0
  4624, 28580,19691222,  -27,    0
  4624, 28580,19691223,  -29,    0
  4624, 28580,19691224,   -6,    0
  4624, 28580,19691225,   -2,    0
  4624, 28580,19691226,  -31,    0
  4624, 28580,19691227,  -76,    0
  4624, 28580,19691228,  -62,    0
  4624, 28580,19691229,  -24,    0
  4624, 28580,19691230,  -74,    0
  4624, 28580,19691231, -138,    0
  4624, 28580,19700101, -121,    0
  4624, 28580,19700102,  -64,    0
  4624, 28580,19700103,  -32,    0
  4624, 28580,19700104,  -70,    0
  4624, 28580,19700105,  -47,    0
  4624, 28580,19700106,  -46,    0
  4624, 28580,19700107,  -41,    0
  4624, 28580,19700108,  -54,    0
  4624, 28580,19700109,  -11,    0
  4624, 28580,19700110,   20,    0
  4624, 28580,19700111,   58,    0
  4624, 28580,19700112,    7,    0
  4624, 28580,19700113,   13,    0
  4624, 28580,19700114,   -2,    0
  4624, 28580,19700115,   25,    0
  4624, 28580,19700116,  -24,    0
  4624, 28580,19700117,  -77,    0
  4624, 28580,19700118,  -66,    0
  4624, 28580,19700119, -104,    0
  4624, 28580,19700120, -108,    0
  4624, 28580,19700121,  -56,    0
  4624, 28580,19700122,  -58,    0
  4624, 28580,19700123,  -17,    0
  4624, 28580,19700124,    5,    0
  4624, 28580,19700125,   25,    0
  4624, 28580,19700126,   24,    0
  4624, 28580,19700127,    4,    0
  4624, 28580,19700128,  -18,    0
  4624, 28580,19700129,  -28,    0
  4624, 28580,19700130,  -59,    0
  4624, 28580,19700131, -110,    0
  4624, 28580,19700201,  -92,    0
  4624, 28580,19700202,  -40,    0
  4624, 28580,19700203,    1,    0
  4624, 28580,19700204,    9,    0
  4624, 28580,19700205,  -11,    0
  4624, 28580,19700206,  -46,    0
  4624, 28580,19700207,  -22,    0
  4624, 28580,19700208,   -2,    0
  4624, 28580,19700209,   -2,    0
  4624, 28580,19700210,  -14,    0
  4624, 28580,19700211,  -33,    0
  4624, 28580,19700212,  -32,    0
  4624, 28580,19700213,  -45,    0
  4624, 28580,19700214,  -84,    0
  4624, 28580,19700215,  -74,    0
  4624, 28580,19700216,  -69,    0
  4624, 28580,19700217,  -65,    0
  4624, 28580,19700218,  -52,    0
  4624, 28580,19700219,  -42,    0
  4624, 28580,19700220,    1,    0
  4624, 28580,19700221,   -6,    0
  4624, 28580,19700222,   18,    0
  4624, 28580,19700223,    1,    0
  4624, 28580,19700224,    1,    0
  4624, 28580,19700225,   -3,    0
  4624, 28580,19700226,  -26,    0
  4624, 28580,19700227,  -66,    0
  4624, 28580,19700228,  -70,    0
  4624, 28580,19700301,  -46,    0
  4624, 28580,19700302,  -44,    0
  4624, 28580,19700303,  -44,    0
  4624, 28580,19700304,  -38,    0
  4624, 28580,19700305,  -39,    0
  4624, 28580,19700306,  -27,    0
  4624, 28580,19700307,  -37,    0
  4624, 28580,19700308,  -37,    0
  4624, 28580,19700309,  -50,    0
  4624, 28580,19700310,  -18,    0
  4624, 28580,19700311,  -19,    0
  4624, 28580,19700312,  -35,    0
  4624, 28580,19700313,   -9,    0
  4624, 28580,19700314,  -39,    0
  4624, 28580,19700315,  -24,    0
  4624, 28580,19700316,    1,    0
  4624, 28580,19700317,   10,    0
  4624, 28580,19700318,    9,    0
  4624, 28580,19700319,    2,    0
  4624, 28580,19700320,   14,    0
  4624, 28580,19700321,   34,    0
  4624, 28580,19700322,   16,    0
