EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAD BLANKENBURG, GERMANY (STAID: 4718)
Blended and updated with sources:28088 28688 29708 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4718, 28088,19470501,   68,    0
  4718, 28088,19470502,   82,    0
  4718, 28088,19470503,   79,    0
  4718, 28088,19470504,   70,    0
  4718, 28088,19470505,   91,    0
  4718, 28088,19470506,  123,    0
  4718, 28088,19470507,  131,    0
  4718, 28088,19470508,  150,    0
  4718, 28088,19470509,  157,    0
  4718, 28088,19470510,  158,    0
  4718, 28088,19470511,  151,    0
  4718, 28088,19470512,  173,    0
  4718, 28088,19470513,  178,    0
  4718, 28088,19470514,  172,    0
  4718, 28088,19470515,  158,    0
  4718, 28088,19470516,  109,    0
  4718, 28088,19470517,  111,    0
  4718, 28088,19470518,  110,    0
  4718, 28088,19470519,   86,    0
  4718, 28088,19470520,  108,    0
  4718, 28088,19470521,  129,    0
  4718, 28088,19470522,  142,    0
  4718, 28088,19470523,  160,    0
  4718, 28088,19470524,  142,    0
  4718, 28088,19470525,  158,    0
  4718, 28088,19470526,  173,    0
  4718, 28088,19470527,  172,    0
  4718, 28088,19470528,  149,    0
  4718, 28088,19470529,  154,    0
  4718, 28088,19470530,  191,    0
  4718, 28088,19470531,  207,    0
  4718, 28088,19470601,  222,    0
  4718, 28088,19470602,  175,    0
  4718, 28088,19470603,  226,    0
  4718, 28088,19470604,  231,    0
  4718, 28088,19470605,  167,    0
  4718, 28088,19470606,  119,    0
  4718, 28088,19470607,  125,    0
  4718, 28088,19470608,  150,    0
  4718, 28088,19470609,  114,    0
  4718, 28088,19470610,  113,    0
  4718, 28088,19470611,   99,    0
  4718, 28088,19470612,  105,    0
  4718, 28088,19470613,  142,    0
  4718, 28088,19470614,  155,    0
  4718, 28088,19470615,  156,    0
  4718, 28088,19470616,  119,    0
  4718, 28088,19470617,  136,    0
  4718, 28088,19470618,  177,    0
  4718, 28088,19470619,  181,    0
  4718, 28088,19470620,  193,    0
  4718, 28088,19470621,  198,    0
  4718, 28088,19470622,  145,    0
  4718, 28088,19470623,  148,    0
  4718, 28088,19470624,  180,    0
  4718, 28088,19470625,  208,    0
  4718, 28088,19470626,  237,    0
  4718, 28088,19470627,  251,    0
  4718, 28088,19470628,  249,    0
  4718, 28088,19470629,  252,    0
  4718, 28088,19470630,  209,    0
  4718, 28088,19470701,  179,    0
  4718, 28088,19470702,  166,    0
  4718, 28088,19470703,  188,    0
  4718, 28088,19470704,  214,    0
  4718, 28088,19470705,  197,    0
  4718, 28088,19470706,  149,    0
  4718, 28088,19470707,  196,    0
  4718, 28088,19470708,  174,    0
  4718, 28088,19470709,  146,    0
  4718, 28088,19470710,  128,    0
  4718, 28088,19470711,  134,    0
  4718, 28088,19470712,  133,    0
  4718, 28088,19470713,  155,    0
  4718, 28088,19470714,  168,    0
  4718, 28088,19470715,  176,    0
  4718, 28088,19470716,  183,    0
  4718, 28088,19470717,  206,    0
  4718, 28088,19470718,  171,    0
  4718, 28088,19470719,  165,    0
  4718, 28088,19470720,  157,    0
  4718, 28088,19470721,  173,    0
  4718, 28088,19470722,  191,    0
  4718, 28088,19470723,  228,    0
  4718, 28088,19470724,  218,    0
  4718, 28088,19470725,  216,    0
  4718, 28088,19470726,  239,    0
  4718, 28088,19470727,  227,    0
  4718, 28088,19470728,  217,    0
  4718, 28088,19470729,  277,    0
  4718, 28088,19470730,  207,    0
  4718, 28088,19470731,  198,    0
  4718, 28088,19470801,  189,    0
  4718, 28088,19470802,  188,    0
  4718, 28088,19470803,  244,    0
  4718, 28088,19470804,  247,    0
  4718, 28088,19470805,  211,    0
  4718, 28088,19470806,  173,    0
  4718, 28088,19470807,  169,    0
  4718, 28088,19470808,  151,    0
