EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KR.ANSBACH WEIDENBACH, GERMANY (STAID: 4739)
Blended and updated with sources:23024 29960 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4739, 29960,19480101,   -7,    0
  4739, 29960,19480102,   54,    0
  4739, 29960,19480103,   98,    0
  4739, 29960,19480104,   70,    0
  4739, 29960,19480105,   64,    0
  4739, 29960,19480106,   16,    0
  4739, 29960,19480107,   70,    0
  4739, 29960,19480108,   32,    0
  4739, 29960,19480109,    7,    0
  4739, 29960,19480110,   30,    0
  4739, 29960,19480111,   32,    0
  4739, 29960,19480112,   62,    0
  4739, 29960,19480113,   93,    0
  4739, 29960,19480114,   18,    0
  4739, 29960,19480115,    9,    0
  4739, 29960,19480116,   10,    0
  4739, 29960,19480117,    5,    0
  4739, 29960,19480118,    0,    0
  4739, 29960,19480119,    6,    0
  4739, 29960,19480120,    0,    0
  4739, 29960,19480121,  -32,    0
  4739, 29960,19480122,  -13,    0
  4739, 29960,19480123,  -10,    0
  4739, 29960,19480124,   17,    0
  4739, 29960,19480125,   11,    0
  4739, 29960,19480126,   -5,    0
  4739, 29960,19480127,   22,    0
  4739, 29960,19480128,   17,    0
  4739, 29960,19480129,   36,    0
  4739, 29960,19480130,   60,    0
  4739, 29960,19480131,   99,    0
  4739, 29960,19480201,   50,    0
  4739, 29960,19480202,   69,    0
  4739, 29960,19480203,   87,    0
  4739, 29960,19480204,   35,    0
  4739, 29960,19480205,   34,    0
  4739, 29960,19480206,   36,    0
  4739, 29960,19480207,   32,    0
  4739, 29960,19480208,   75,    0
  4739, 29960,19480209,   58,    0
  4739, 29960,19480210,   40,    0
  4739, 29960,19480211,   50,    0
  4739, 29960,19480212,   41,    0
  4739, 29960,19480213,   18,    0
  4739, 29960,19480214,   40,    0
  4739, 29960,19480215,   54,    0
  4739, 29960,19480216,  -16,    0
  4739, 29960,19480217,  -46,    0
  4739, 29960,19480218,  -57,    0
  4739, 29960,19480219, -100,    0
  4739, 29960,19480220,  -91,    0
  4739, 29960,19480221,  -52,    0
  4739, 29960,19480222,  -27,    0
  4739, 29960,19480223,  -80,    0
  4739, 29960,19480224,  -67,    0
  4739, 29960,19480225,  -76,    0
  4739, 29960,19480226,  -41,    0
  4739, 29960,19480227,    2,    0
  4739, 29960,19480228,    6,    0
  4739, 29960,19480229,   35,    0
  4739, 29960,19480301,   37,    0
  4739, 29960,19480302,   52,    0
  4739, 29960,19480303,   34,    0
  4739, 29960,19480304,   52,    0
  4739, 29960,19480305,   50,    0
  4739, 29960,19480306,   53,    0
  4739, 29960,19480307,   54,    0
  4739, 29960,19480308,   72,    0
  4739, 29960,19480309,   87,    0
  4739, 29960,19480310,   98,    0
  4739, 29960,19480311,   46,    0
  4739, 29960,19480312,   64,    0
  4739, 29960,19480313,   58,    0
  4739, 29960,19480314,   36,    0
  4739, 29960,19480315,   75,    0
  4739, 29960,19480316,   64,    0
  4739, 29960,19480317,   24,    0
  4739, 29960,19480318,   62,    0
  4739, 29960,19480319,   44,    0
  4739, 29960,19480320,   70,    0
  4739, 29960,19480321,  103,    0
  4739, 29960,19480322,   96,    0
  4739, 29960,19480323,   32,    0
  4739, 29960,19480324,   26,    0
  4739, 29960,19480325,   68,    0
  4739, 29960,19480326,   70,    0
  4739, 29960,19480327,   52,    0
  4739, 29960,19480328,   71,    0
  4739, 29960,19480329,   90,    0
  4739, 29960,19480330,  122,    0
  4739, 29960,19480331,   92,    0
  4739, 29960,19480401,   64,    0
  4739, 29960,19480402,   72,    0
  4739, 29960,19480403,   64,    0
  4739, 29960,19480404,   65,    0
  4739, 29960,19480405,   90,    0
  4739, 29960,19480406,   32,    0
  4739, 29960,19480407,   53,    0
  4739, 29960,19480408,   72,    0
  4739, 29960,19480409,   54,    0
  4739, 29960,19480410,   61,    0
  4739, 29960,19480411,   68,    0
  4739, 29960,19480412,   41,    0
  4739, 29960,19480413,   58,    0
  4739, 29960,19480414,   95,    0
  4739, 29960,19480415,   74,    0
  4739, 29960,19480416,  116,    0
  4739, 29960,19480417,  160,    0
  4739, 29960,19480418,  154,    0
  4739, 29960,19480419,  152,    0
  4739, 29960,19480420,  127,    0
  4739, 29960,19480421,  146,    0
  4739, 29960,19480422,  155,    0
  4739, 29960,19480423,  119,    0
  4739, 29960,19480424,  122,    0
  4739, 29960,19480425,  111,    0
  4739, 29960,19480426,   95,    0
  4739, 29960,19480427,  108,    0
  4739, 29960,19480428,  132,    0
  4739, 29960,19480429,  155,    0
  4739, 29960,19480430,   89,    0
  4739, 29960,19480501,   74,    0
  4739, 29960,19480502,  131,    0
  4739, 29960,19480503,   98,    0
  4739, 29960,19480504,  112,    0
  4739, 29960,19480505,  129,    0
  4739, 29960,19480506,  157,    0
  4739, 29960,19480507,  166,    0
  4739, 29960,19480508,  158,    0
  4739, 29960,19480509,  168,    0
  4739, 29960,19480510,  188,    0
  4739, 29960,19480511,  164,    0
  4739, 29960,19480512,  175,    0
  4739, 29960,19480513,  157,    0
  4739, 29960,19480514,  187,    0
  4739, 29960,19480515,  175,    0
  4739, 29960,19480516,  185,    0
  4739, 29960,19480517,  175,    0
