EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WEIGENHEIM-REUSCH, GERMANY (STAID: 4740)
Blended and updated with sources:29576 29972 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4740, 29576,19510301,   -4,    0
  4740, 29576,19510302,  -21,    0
  4740, 29576,19510303,  -41,    0
  4740, 29576,19510304,  -26,    0
  4740, 29576,19510305,  -10,    0
  4740, 29576,19510306,   -4,    0
  4740, 29576,19510307,   11,    0
  4740, 29576,19510308,   47,    0
  4740, 29576,19510309,   -4,    0
  4740, 29576,19510310,   -4,    0
  4740, 29576,19510311,   30,    0
  4740, 29576,19510312,   44,    0
  4740, 29576,19510313,   87,    0
  4740, 29576,19510314,   64,    0
  4740, 29576,19510315,   52,    0
  4740, 29576,19510316,   74,    0
  4740, 29576,19510317,  125,    0
  4740, 29576,19510318,   95,    0
  4740, 29576,19510319,   73,    0
  4740, 29576,19510320,   18,    0
  4740, 29576,19510321,    0,    0
  4740, 29576,19510322,   33,    0
  4740, 29576,19510323,   93,    0
  4740, 29576,19510324,   35,    0
  4740, 29576,19510325,   -2,    0
  4740, 29576,19510326,   12,    0
  4740, 29576,19510327,   42,    0
  4740, 29576,19510328,   10,    0
  4740, 29576,19510329,    2,    0
  4740, 29576,19510330,   24,    0
  4740, 29576,19510331,   36,    0
  4740, 29576,19510401,   70,    0
  4740, 29576,19510402,   68,    0
  4740, 29576,19510403,   40,    0
  4740, 29576,19510404,   66,    0
  4740, 29576,19510405,   72,    0
  4740, 29576,19510406,  102,    0
  4740, 29576,19510407,  108,    0
  4740, 29576,19510408,   52,    0
  4740, 29576,19510409,   57,    0
  4740, 29576,19510410,   62,    0
  4740, 29576,19510411,   39,    0
  4740, 29576,19510412,   43,    0
  4740, 29576,19510413,   82,    0
  4740, 29576,19510414,   47,    0
  4740, 29576,19510415,   37,    0
  4740, 29576,19510416,  114,    0
  4740, 29576,19510417,   96,    0
  4740, 29576,19510418,   90,    0
  4740, 29576,19510419,  100,    0
  4740, 29576,19510420,   80,    0
  4740, 29576,19510421,   67,    0
  4740, 29576,19510422,   54,    0
  4740, 29576,19510423,   80,    0
  4740, 29576,19510424,  108,    0
  4740, 29576,19510425,  157,    0
  4740, 29576,19510426,  158,    0
  4740, 29576,19510427,  128,    0
  4740, 29576,19510428,   72,    0
  4740, 29576,19510429,   48,    0
  4740, 29576,19510430,   50,    0
  4740, 29576,19510501,   90,    0
  4740, 29576,19510502,  114,    0
  4740, 29576,19510503,  125,    0
  4740, 29576,19510504,  114,    0
  4740, 29576,19510505,  106,    0
  4740, 29576,19510506,  108,    0
  4740, 29576,19510507,  126,    0
  4740, 29576,19510508,  128,    0
  4740, 29576,19510509,  121,    0
  4740, 29576,19510510,   98,    0
  4740, 29576,19510511,   68,    0
  4740, 29576,19510512,   84,    0
  4740, 29576,19510513,  114,    0
  4740, 29576,19510514,   79,    0
  4740, 29576,19510515,   76,    0
  4740, 29576,19510516,   70,    0
  4740, 29576,19510517,  108,    0
  4740, 29576,19510518,  120,    0
  4740, 29576,19510519,  140,    0
  4740, 29576,19510520,  148,    0
  4740, 29576,19510521,  122,    0
  4740, 29576,19510522,  133,    0
  4740, 29576,19510523,  150,    0
  4740, 29576,19510524,  196,    0
  4740, 29576,19510525,  176,    0
  4740, 29576,19510526,  173,    0
  4740, 29576,19510527,  124,    0
  4740, 29576,19510528,  122,    0
  4740, 29576,19510529,  123,    0
  4740, 29576,19510530,  100,    0
  4740, 29576,19510531,  130,    0
  4740, 29576,19510601,  108,    0
  4740, 29576,19510602,  138,    0
  4740, 29576,19510603,  139,    0
  4740, 29576,19510604,  138,    0
  4740, 29576,19510605,  138,    0
  4740, 29576,19510606,  148,    0
  4740, 29576,19510607,  154,    0
  4740, 29576,19510608,  160,    0
  4740, 29576,19510609,  139,    0
  4740, 29576,19510610,  127,    0
  4740, 29576,19510611,  150,    0
  4740, 29576,19510612,  179,    0
  4740, 29576,19510613,  155,    0
  4740, 29576,19510614,  180,    0
  4740, 29576,19510615,  218,    0
