EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WEISMAIN, GERMANY (STAID: 4748)
Blended and updated with sources:30068 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4748, 30068,19510101,  -12,    0
  4748, 30068,19510102,  -16,    0
  4748, 30068,19510103,   -7,    0
  4748, 30068,19510104,    2,    0
  4748, 30068,19510105,   38,    0
  4748, 30068,19510106,   24,    0
  4748, 30068,19510107,   28,    0
  4748, 30068,19510108,   30,    0
  4748, 30068,19510109,   17,    0
  4748, 30068,19510110,  -30,    0
  4748, 30068,19510111,   42,    0
  4748, 30068,19510112,   29,    0
  4748, 30068,19510113,   29,    0
  4748, 30068,19510114,   38,    0
  4748, 30068,19510115,   22,    0
  4748, 30068,19510116,   20,    0
  4748, 30068,19510117,    9,    0
  4748, 30068,19510118,   42,    0
  4748, 30068,19510119,   27,    0
  4748, 30068,19510120,   32,    0
  4748, 30068,19510121,   -1,    0
  4748, 30068,19510122,   -4,    0
  4748, 30068,19510123,   10,    0
  4748, 30068,19510124,   24,    0
  4748, 30068,19510125,    2,    0
  4748, 30068,19510126,    8,    0
  4748, 30068,19510127,   16,    0
  4748, 30068,19510128,   14,    0
  4748, 30068,19510129,   15,    0
  4748, 30068,19510130,   18,    0
  4748, 30068,19510131,   17,    0
  4748, 30068,19510201,   24,    0
  4748, 30068,19510202,   17,    0
  4748, 30068,19510203,  -20,    0
  4748, 30068,19510204,   10,    0
  4748, 30068,19510205,    9,    0
  4748, 30068,19510206,   18,    0
  4748, 30068,19510207,   20,    0
  4748, 30068,19510208,   20,    0
  4748, 30068,19510209,   37,    0
  4748, 30068,19510210,   28,    0
  4748, 30068,19510211,   28,    0
  4748, 30068,19510212,   23,    0
  4748, 30068,19510213,   36,    0
  4748, 30068,19510214,   44,    0
  4748, 30068,19510215,   37,    0
  4748, 30068,19510216,   10,    0
  4748, 30068,19510217,   33,    0
  4748, 30068,19510218,   30,    0
  4748, 30068,19510219,   26,    0
  4748, 30068,19510220,   38,    0
  4748, 30068,19510221,   34,    0
  4748, 30068,19510222,   29,    0
  4748, 30068,19510223,   20,    0
  4748, 30068,19510224,    8,    0
  4748, 30068,19510225,    7,    0
  4748, 30068,19510226,   23,    0
  4748, 30068,19510227,   -4,    0
  4748, 30068,19510228,  -10,    0
  4748, 30068,19510301,  -23,    0
  4748, 30068,19510302,  -30,    0
  4748, 30068,19510303,  -35,    0
  4748, 30068,19510304,  -34,    0
  4748, 30068,19510305,  -23,    0
  4748, 30068,19510306,  -24,    0
  4748, 30068,19510307,   16,    0
  4748, 30068,19510308,   32,    0
  4748, 30068,19510309,  -13,    0
  4748, 30068,19510310,    2,    0
  4748, 30068,19510311,   22,    0
  4748, 30068,19510312,   39,    0
  4748, 30068,19510313,   72,    0
  4748, 30068,19510314,   74,    0
  4748, 30068,19510315,   68,    0
  4748, 30068,19510316,   74,    0
  4748, 30068,19510317,  118,    0
  4748, 30068,19510318,   97,    0
  4748, 30068,19510319,   80,    0
  4748, 30068,19510320,   26,    0
  4748, 30068,19510321,   17,    0
  4748, 30068,19510322,   22,    0
  4748, 30068,19510323,   54,    0
  4748, 30068,19510324,   38,    0
  4748, 30068,19510325,   -1,    0
  4748, 30068,19510326,   14,    0
  4748, 30068,19510327,   42,    0
  4748, 30068,19510328,   12,    0
  4748, 30068,19510329,   10,    0
  4748, 30068,19510330,   16,    0
  4748, 30068,19510331,   38,    0
  4748, 30068,19510401,   52,    0
  4748, 30068,19510402,   74,    0
  4748, 30068,19510403,   40,    0
  4748, 30068,19510404,   46,    0
  4748, 30068,19510405,   59,    0
  4748, 30068,19510406,   78,    0
  4748, 30068,19510407,  114,    0
  4748, 30068,19510408,   52,    0
  4748, 30068,19510409,   62,    0
  4748, 30068,19510410,   61,    0
  4748, 30068,19510411,   31,    0
  4748, 30068,19510412,   24,    0
  4748, 30068,19510413,   81,    0
  4748, 30068,19510414,   49,    0
  4748, 30068,19510415,   29,    0
  4748, 30068,19510416,   63,    0
  4748, 30068,19510417,   72,    0
  4748, 30068,19510418,   86,    0
  4748, 30068,19510419,   94,    0
  4748, 30068,19510420,   68,    0
  4748, 30068,19510421,   56,    0
