EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WUTOSCHINGEN-OFTERINGEN, GERMANY (STAID: 4794)
Blended and updated with sources:30620 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4794, 30620,19610101,    4,    0
  4794, 30620,19610102,   18,    0
  4794, 30620,19610103,   23,    0
  4794, 30620,19610104,    3,    0
  4794, 30620,19610105,    9,    0
  4794, 30620,19610106,    5,    0
  4794, 30620,19610107,   16,    0
  4794, 30620,19610108,   10,    0
  4794, 30620,19610109,   18,    0
  4794, 30620,19610110,    4,    0
  4794, 30620,19610111,   24,    0
  4794, 30620,19610112,    9,    0
  4794, 30620,19610113,  -26,    0
  4794, 30620,19610114,  -14,    0
  4794, 30620,19610115,  -28,    0
  4794, 30620,19610116,  -30,    0
  4794, 30620,19610117,  -43,    0
  4794, 30620,19610118,  -39,    0
  4794, 30620,19610119,  -36,    0
  4794, 30620,19610120,  -12,    0
  4794, 30620,19610121,   10,    0
  4794, 30620,19610122,    4,    0
  4794, 30620,19610123,    6,    0
  4794, 30620,19610124,    8,    0
  4794, 30620,19610125,   16,    0
  4794, 30620,19610126,   -4,    0
  4794, 30620,19610127,  -20,    0
  4794, 30620,19610128,   -9,    0
  4794, 30620,19610129,   24,    0
  4794, 30620,19610130,   34,    0
  4794, 30620,19610131,   51,    0
  4794, 30620,19610201,   30,    0
  4794, 30620,19610202,   32,    0
  4794, 30620,19610203,   14,    0
  4794, 30620,19610204,   20,    0
  4794, 30620,19610205,   24,    0
  4794, 30620,19610206,   43,    0
  4794, 30620,19610207,   32,    0
