EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ZEHDENICK, GERMANY (STAID: 4796)
Blended and updated with sources:30644 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4796, 30644,19480701,  132,    0
  4796, 30644,19480702,  161,    0
  4796, 30644,19480703,  123,    0
  4796, 30644,19480704,  158,    0
  4796, 30644,19480705,  172,    0
  4796, 30644,19480706,  176,    0
  4796, 30644,19480707,  144,    0
  4796, 30644,19480708,  110,    0
  4796, 30644,19480709,  128,    0
  4796, 30644,19480710,  145,    0
  4796, 30644,19480711,  175,    0
  4796, 30644,19480712,  148,    0
  4796, 30644,19480713,  142,    0
  4796, 30644,19480714,  146,    0
  4796, 30644,19480715,  144,    0
  4796, 30644,19480716,  143,    0
  4796, 30644,19480717,  158,    0
  4796, 30644,19480718,  164,    0
  4796, 30644,19480719,  192,    0
  4796, 30644,19480720,  216,    0
  4796, 30644,19480721,  254,    0
  4796, 30644,19480722,  174,    0
  4796, 30644,19480723,  164,    0
  4796, 30644,19480724,  186,    0
  4796, 30644,19480725,  204,    0
  4796, 30644,19480726,  226,    0
  4796, 30644,19480727,  232,    0
  4796, 30644,19480728,  230,    0
  4796, 30644,19480729,  233,    0
  4796, 30644,19480730,  243,    0
  4796, 30644,19480731,  238,    0
  4796, 30644,19480801,  246,    0
  4796, 30644,19480802,  249,    0
  4796, 30644,19480803,  197,    0
  4796, 30644,19480804,  180,    0
  4796, 30644,19480805,  149,    0
  4796, 30644,19480806,  174,    0
  4796, 30644,19480807,  208,    0
  4796, 30644,19480808,  183,    0
  4796, 30644,19480809,  198,    0
  4796, 30644,19480810,  193,    0
  4796, 30644,19480811,  182,    0
  4796, 30644,19480812,  177,    0
  4796, 30644,19480813,  162,    0
  4796, 30644,19480814,  175,    0
  4796, 30644,19480815,  159,    0
  4796, 30644,19480816,  182,    0
  4796, 30644,19480817,  208,    0
  4796, 30644,19480818,  156,    0
  4796, 30644,19480819,  144,    0
  4796, 30644,19480820,  130,    0
  4796, 30644,19480821,  154,    0
  4796, 30644,19480822,  166,    0
  4796, 30644,19480823,  169,    0
  4796, 30644,19480824,  160,    0
  4796, 30644,19480825,  164,    0
  4796, 30644,19480826,  150,    0
  4796, 30644,19480827,  148,    0
  4796, 30644,19480828,  133,    0
  4796, 30644,19480829,  136,    0
  4796, 30644,19480830,  160,    0
  4796, 30644,19480831,  168,    0
  4796, 30644,19480901,  188,    0
  4796, 30644,19480902,  143,    0
  4796, 30644,19480903,  164,    0
  4796, 30644,19480904,  178,    0
  4796, 30644,19480905,  208,    0
  4796, 30644,19480906,  178,    0
  4796, 30644,19480907,  127,    0
  4796, 30644,19480908,  129,    0
  4796, 30644,19480909,  149,    0
  4796, 30644,19480910,  196,    0
  4796, 30644,19480911,  208,    0
  4796, 30644,19480912,  183,    0
  4796, 30644,19480913,  174,    0
  4796, 30644,19480914,  166,    0
  4796, 30644,19480915,  155,    0
  4796, 30644,19480916,  133,    0
  4796, 30644,19480917,  141,    0
  4796, 30644,19480918,  139,    0
  4796, 30644,19480919,  143,    0
  4796, 30644,19480920,  106,    0
  4796, 30644,19480921,   74,    0
  4796, 30644,19480922,   66,    0
  4796, 30644,19480923,   82,    0
  4796, 30644,19480924,  101,    0
  4796, 30644,19480925,  130,    0
  4796, 30644,19480926,  113,    0
  4796, 30644,19480927,  140,    0
  4796, 30644,19480928,  174,    0
  4796, 30644,19480929,  162,    0
  4796, 30644,19480930,  132,    0
  4796, 30644,19481001,  102,    0
  4796, 30644,19481002,  152,    0
  4796, 30644,19481003,  130,    0
  4796, 30644,19481004,   89,    0
  4796, 30644,19481005,   79,    0
  4796, 30644,19481006,   92,    0
  4796, 30644,19481007,   66,    0
  4796, 30644,19481008,   56,    0
  4796, 30644,19481009,   62,    0
  4796, 30644,19481010,   38,    0
  4796, 30644,19481011,   74,    0
  4796, 30644,19481012,   92,    0
  4796, 30644,19481013,  116,    0
  4796, 30644,19481014,  108,    0
  4796, 30644,19481015,  104,    0
  4796, 30644,19481016,   90,    0
  4796, 30644,19481017,  123,    0
  4796, 30644,19481018,  112,    0
  4796, 30644,19481019,   86,    0
  4796, 30644,19481020,   92,    0
  4796, 30644,19481021,  119,    0
  4796, 30644,19481022,  134,    0
  4796, 30644,19481023,   87,    0
  4796, 30644,19481024,  105,    0
  4796, 30644,19481025,  108,    0
  4796, 30644,19481026,   82,    0
  4796, 30644,19481027,   34,    0
  4796, 30644,19481028,   40,    0
  4796, 30644,19481029,   39,    0
  4796, 30644,19481030,   33,    0
  4796, 30644,19481031,   19,    0
  4796, 30644,19481101,   30,    0
  4796, 30644,19481102,   57,    0
  4796, 30644,19481103,   90,    0
  4796, 30644,19481104,  112,    0
  4796, 30644,19481105,   89,    0
  4796, 30644,19481106,   66,    0
  4796, 30644,19481107,   22,    0
  4796, 30644,19481108,   10,    0
  4796, 30644,19481109,    4,    0
  4796, 30644,19481110,   47,    0
  4796, 30644,19481111,   44,    0
  4796, 30644,19481112,   -7,    0
  4796, 30644,19481113,   10,    0
  4796, 30644,19481114,   81,    0
  4796, 30644,19481115,   85,    0
  4796, 30644,19481116,   78,    0
  4796, 30644,19481117,   26,    0
  4796, 30644,19481118,   85,    0
  4796, 30644,19481119,   91,    0
  4796, 30644,19481120,   91,    0
  4796, 30644,19481121,   70,    0
  4796, 30644,19481122,   47,    0
  4796, 30644,19481123,   27,    0
  4796, 30644,19481124,  -17,    0
  4796, 30644,19481125,  -26,    0
  4796, 30644,19481126,   11,    0
  4796, 30644,19481127,   32,    0
  4796, 30644,19481128,   30,    0
  4796, 30644,19481129,    8,    0
  4796, 30644,19481130,   21,    0
  4796, 30644,19481201,    4,    0
  4796, 30644,19481202,   -7,    0
  4796, 30644,19481203,    1,    0
  4796, 30644,19481204,   50,    0
  4796, 30644,19481205,   42,    0
  4796, 30644,19481206,   32,    0
  4796, 30644,19481207,   43,    0
  4796, 30644,19481208,   12,    0
  4796, 30644,19481209,  -16,    0
  4796, 30644,19481210,   22,    0
  4796, 30644,19481211,   -3,    0
  4796, 30644,19481212,    8,    0
  4796, 30644,19481213,   31,    0
  4796, 30644,19481214,   55,    0
  4796, 30644,19481215,   68,    0
  4796, 30644,19481216,   40,    0
  4796, 30644,19481217,   32,    0
  4796, 30644,19481218,   18,    0
  4796, 30644,19481219,   -4,    0
  4796, 30644,19481220,  -24,    0
  4796, 30644,19481221,   -9,    0
  4796, 30644,19481222,  -26,    0
  4796, 30644,19481223,   16,    0
  4796, 30644,19481224,   -2,    0
  4796, 30644,19481225,    2,    0
  4796, 30644,19481226,  -24,    0
  4796, 30644,19481227,  -24,    0
  4796, 30644,19481228,  -52,    0
  4796, 30644,19481229,   33,    0
  4796, 30644,19481230,   10,    0
  4796, 30644,19481231,   18,    0
  4796, 30644,19490101,   29,    0
  4796, 30644,19490102,   27,    0
  4796, 30644,19490103,   30,    0
  4796, 30644,19490104,   -1,    0
  4796, 30644,19490105,    4,    0
  4796, 30644,19490106,    6,    0
  4796, 30644,19490107,   16,    0
  4796, 30644,19490108,    5,    0
  4796, 30644,19490109,    4,    0
  4796, 30644,19490110,  -25,    0
  4796, 30644,19490111,  -16,    0
  4796, 30644,19490112,   18,    0
  4796, 30644,19490113,    6,    0
  4796, 30644,19490114,   31,    0
  4796, 30644,19490115,   18,    0
  4796, 30644,19490116,   15,    0
  4796, 30644,19490117,   31,    0
  4796, 30644,19490118,   51,    0
  4796, 30644,19490119,   83,    0
  4796, 30644,19490120,   50,    0
  4796, 30644,19490121,   24,    0
  4796, 30644,19490122,  -20,    0
  4796, 30644,19490123,  -18,    0
  4796, 30644,19490124,    5,    0
  4796, 30644,19490125,   -2,    0
  4796, 30644,19490126,  -24,    0
  4796, 30644,19490127,   -2,    0
  4796, 30644,19490128,    9,    0
  4796, 30644,19490129,   17,    0
  4796, 30644,19490130,   34,    0
  4796, 30644,19490131,    6,    0
  4796, 30644,19490201,  -17,    0
  4796, 30644,19490202,  -30,    0
  4796, 30644,19490203,    0,    0
  4796, 30644,19490204,   10,    0
  4796, 30644,19490205,   10,    0
  4796, 30644,19490206,  -31,    0
  4796, 30644,19490207,  -44,    0
  4796, 30644,19490208,   10,    0
  4796, 30644,19490209,   32,    0
  4796, 30644,19490210,   26,    0
  4796, 30644,19490211,   10,    0
  4796, 30644,19490212,   -7,    0
  4796, 30644,19490213,    2,    0
  4796, 30644,19490214,   30,    0
  4796, 30644,19490215,   68,    0
  4796, 30644,19490216,   77,    0
  4796, 30644,19490217,   54,    0
  4796, 30644,19490218,   36,    0
  4796, 30644,19490219,    9,    0
  4796, 30644,19490220,   54,    0
  4796, 30644,19490221,   66,    0
  4796, 30644,19490222,   38,    0
  4796, 30644,19490223,   71,    0
  4796, 30644,19490224,   38,    0
  4796, 30644,19490225,   37,    0
  4796, 30644,19490226,   43,    0
  4796, 30644,19490227,   30,    0
  4796, 30644,19490228,   13,    0
  4796, 30644,19490301,    3,    0
  4796, 30644,19490302,  -38,    0
  4796, 30644,19490303,  -53,    0
  4796, 30644,19490304,  -39,    0
  4796, 30644,19490305,  -44,    0
  4796, 30644,19490306,  -56,    0
  4796, 30644,19490307,  -94,    0
  4796, 30644,19490308,  -34,    0
  4796, 30644,19490309,  -22,    0
  4796, 30644,19490310,  -22,    0
  4796, 30644,19490311,  -18,    0
  4796, 30644,19490312,   16,    0
  4796, 30644,19490313,   48,    0
  4796, 30644,19490314,   46,    0
  4796, 30644,19490315,   28,    0
  4796, 30644,19490316,    8,    0
  4796, 30644,19490317,   20,    0
  4796, 30644,19490318,    4,    0
  4796, 30644,19490319,    1,    0
  4796, 30644,19490320,   10,    0
  4796, 30644,19490321,   12,    0
  4796, 30644,19490322,   46,    0
  4796, 30644,19490323,   58,    0
  4796, 30644,19490324,   60,    0
  4796, 30644,19490325,   73,    0
  4796, 30644,19490326,   79,    0
  4796, 30644,19490327,   44,    0
  4796, 30644,19490328,   66,    0
  4796, 30644,19490329,   66,    0
  4796, 30644,19490330,  104,    0
  4796, 30644,19490331,   96,    0
  4796, 30644,19490401,   68,    0
  4796, 30644,19490402,   36,    0
  4796, 30644,19490403,  110,    0
  4796, 30644,19490404,  146,    0
  4796, 30644,19490405,   81,    0
  4796, 30644,19490406,  124,    0
  4796, 30644,19490407,   92,    0
  4796, 30644,19490408,   28,    0
  4796, 30644,19490409,   24,    0
  4796, 30644,19490410,   57,    0
  4796, 30644,19490411,  113,    0
  4796, 30644,19490412,  104,    0
  4796, 30644,19490413,  109,    0
  4796, 30644,19490414,  121,    0
  4796, 30644,19490415,   82,    0
  4796, 30644,19490416,  106,    0
  4796, 30644,19490417,  131,    0
  4796, 30644,19490418,  154,    0
  4796, 30644,19490419,  117,    0
  4796, 30644,19490420,   86,    0
  4796, 30644,19490421,   92,    0
  4796, 30644,19490422,   83,    0
  4796, 30644,19490423,  102,    0
  4796, 30644,19490424,  128,    0
  4796, 30644,19490425,  176,    0
  4796, 30644,19490426,   97,    0
  4796, 30644,19490427,   86,    0
  4796, 30644,19490428,  130,    0
  4796, 30644,19490429,  137,    0
  4796, 30644,19490430,   78,    0
  4796, 30644,19490501,   93,    0
  4796, 30644,19490502,  110,    0
  4796, 30644,19490503,  120,    0
  4796, 30644,19490504,  169,    0
  4796, 30644,19490505,  200,    0
  4796, 30644,19490506,  119,    0
  4796, 30644,19490507,  104,    0
  4796, 30644,19490508,   88,    0
  4796, 30644,19490509,   55,    0
  4796, 30644,19490510,   67,    0
  4796, 30644,19490511,   98,    0
  4796, 30644,19490512,  116,    0
  4796, 30644,19490513,  143,    0
  4796, 30644,19490514,  129,    0
  4796, 30644,19490515,  120,    0
  4796, 30644,19490516,  145,    0
  4796, 30644,19490517,  178,    0
  4796, 30644,19490518,  189,    0
  4796, 30644,19490519,  157,    0
  4796, 30644,19490520,  166,    0
  4796, 30644,19490521,  159,    0
  4796, 30644,19490522,  154,    0
  4796, 30644,19490523,  156,    0
  4796, 30644,19490524,  165,    0
  4796, 30644,19490525,  117,    0
  4796, 30644,19490526,  136,    0
  4796, 30644,19490527,  113,    0
  4796, 30644,19490528,  162,    0
  4796, 30644,19490529,  195,    0
  4796, 30644,19490530,  150,    0
  4796, 30644,19490531,  156,    0
  4796, 30644,19490601,  168,    0
  4796, 30644,19490602,  162,    0
  4796, 30644,19490603,  149,    0
  4796, 30644,19490604,  147,    0
  4796, 30644,19490605,  126,    0
  4796, 30644,19490606,  144,    0
  4796, 30644,19490607,  201,    0
  4796, 30644,19490608,  207,    0
  4796, 30644,19490609,  182,    0
  4796, 30644,19490610,  132,    0
  4796, 30644,19490611,  124,    0
  4796, 30644,19490612,  146,    0
  4796, 30644,19490613,  140,    0
  4796, 30644,19490614,  131,    0
  4796, 30644,19490615,  112,    0
  4796, 30644,19490616,  106,    0
  4796, 30644,19490617,  114,    0
  4796, 30644,19490618,  126,    0
  4796, 30644,19490619,  136,    0
  4796, 30644,19490620,  176,    0
  4796, 30644,19490621,  135,    0
  4796, 30644,19490622,  126,    0
  4796, 30644,19490623,  109,    0
  4796, 30644,19490624,  125,    0
  4796, 30644,19490625,  151,    0
  4796, 30644,19490626,  139,    0
  4796, 30644,19490627,  146,    0
  4796, 30644,19490628,  170,    0
  4796, 30644,19490629,  176,    0
  4796, 30644,19490630,  168,    0
  4796, 30644,19490701,  170,    0
  4796, 30644,19490702,  156,    0
  4796, 30644,19490703,  184,    0
  4796, 30644,19490704,  202,    0
  4796, 30644,19490705,  196,    0
  4796, 30644,19490706,  134,    0
  4796, 30644,19490707,  140,    0
  4796, 30644,19490708,  170,    0
  4796, 30644,19490709,  166,    0
  4796, 30644,19490710,  191,    0
  4796, 30644,19490711,  190,    0
  4796, 30644,19490712,  202,    0
  4796, 30644,19490713,  222,    0
  4796, 30644,19490714,  217,    0
  4796, 30644,19490715,  187,    0
