EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ZEITZ, GERMANY (STAID: 4797)
Blended and updated with sources:30656 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4797, 30656,19520901,  186,    0
  4797, 30656,19520902,  153,    0
  4797, 30656,19520903,  144,    0
  4797, 30656,19520904,  125,    0
  4797, 30656,19520905,  118,    0
  4797, 30656,19520906,  109,    0
  4797, 30656,19520907,  110,    0
  4797, 30656,19520908,  111,    0
  4797, 30656,19520909,  104,    0
  4797, 30656,19520910,  101,    0
  4797, 30656,19520911,  106,    0
  4797, 30656,19520912,   87,    0
  4797, 30656,19520913,  103,    0
  4797, 30656,19520914,   93,    0
  4797, 30656,19520915,   94,    0
  4797, 30656,19520916,   88,    0
  4797, 30656,19520917,  133,    0
  4797, 30656,19520918,   96,    0
  4797, 30656,19520919,   79,    0
  4797, 30656,19520920,   77,    0
  4797, 30656,19520921,  116,    0
  4797, 30656,19520922,   95,    0
  4797, 30656,19520923,  123,    0
  4797, 30656,19520924,  136,    0
  4797, 30656,19520925,  136,    0
  4797, 30656,19520926,  114,    0
  4797, 30656,19520927,  111,    0
  4797, 30656,19520928,   81,    0
  4797, 30656,19520929,   85,    0
  4797, 30656,19520930,  105,    0
  4797, 30656,19521001,  129,    0
  4797, 30656,19521002,   91,    0
  4797, 30656,19521003,   84,    0
  4797, 30656,19521004,   76,    0
  4797, 30656,19521005,   87,    0
  4797, 30656,19521006,   91,    0
  4797, 30656,19521007,   98,    0
  4797, 30656,19521008,   73,    0
  4797, 30656,19521009,   90,    0
  4797, 30656,19521010,   81,    0
  4797, 30656,19521011,   53,    0
  4797, 30656,19521012,   34,    0
  4797, 30656,19521013,   44,    0
  4797, 30656,19521014,   85,    0
  4797, 30656,19521015,   59,    0
  4797, 30656,19521016,   55,    0
  4797, 30656,19521017,   61,    0
  4797, 30656,19521018,   33,    0
  4797, 30656,19521019,   31,    0
  4797, 30656,19521020,   45,    0
  4797, 30656,19521021,   58,    0
  4797, 30656,19521022,   60,    0
  4797, 30656,19521023,   95,    0
  4797, 30656,19521024,  114,    0
  4797, 30656,19521025,  107,    0
  4797, 30656,19521026,  108,    0
  4797, 30656,19521027,   91,    0
  4797, 30656,19521028,  114,    0
  4797, 30656,19521029,  119,    0
  4797, 30656,19521030,   85,    0
  4797, 30656,19521031,   66,    0
  4797, 30656,19521101,   58,    0
  4797, 30656,19521102,   73,    0
  4797, 30656,19521103,   58,    0
  4797, 30656,19521104,   52,    0
  4797, 30656,19521105,   81,    0
  4797, 30656,19521106,   66,    0
  4797, 30656,19521107,   32,    0
  4797, 30656,19521108,   15,    0
  4797, 30656,19521109,   27,    0
  4797, 30656,19521110,   40,    0
  4797, 30656,19521111,   29,    0
  4797, 30656,19521112,   15,    0
  4797, 30656,19521113,   11,    0
  4797, 30656,19521114,   -5,    0
  4797, 30656,19521115,   -2,    0
  4797, 30656,19521116,  -25,    0
  4797, 30656,19521117,  -50,    0
  4797, 30656,19521118,   -6,    0
  4797, 30656,19521119,    7,    0
  4797, 30656,19521120,   21,    0
  4797, 30656,19521121,   21,    0
  4797, 30656,19521122,   23,    0
