EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LICHTENTANNE, GERMANY (STAID: 4803)
Blended and updated with sources:30728 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4803, 30728,18631201,-9999,    9
  4803, 30728,18631202,-9999,    9
  4803, 30728,18631203,-9999,    9
  4803, 30728,18631204,   35,    0
  4803, 30728,18631205,   26,    0
  4803, 30728,18631206,   34,    0
  4803, 30728,18631207,   39,    0
  4803, 30728,18631208,   44,    0
  4803, 30728,18631209,   29,    0
  4803, 30728,18631210,   36,    0
  4803, 30728,18631211,   52,    0
  4803, 30728,18631212,   82,    0
  4803, 30728,18631213,   42,    0
  4803, 30728,18631214,   56,    0
  4803, 30728,18631215,   62,    0
  4803, 30728,18631216,   44,    0
  4803, 30728,18631217,   31,    0
  4803, 30728,18631218,   10,    0
  4803, 30728,18631219,   -1,    0
  4803, 30728,18631220,   41,    0
  4803, 30728,18631221,   38,    0
  4803, 30728,18631222,   21,    0
  4803, 30728,18631223,   -1,    0
  4803, 30728,18631224,   28,    0
  4803, 30728,18631225,   44,    0
  4803, 30728,18631226,   36,    0
  4803, 30728,18631227,   28,    0
  4803, 30728,18631228,  -14,    0
  4803, 30728,18631229,   -5,    0
  4803, 30728,18631230,  -11,    0
  4803, 30728,18631231,  -76,    0
  4803, 30728,18640101, -123,    0
  4803, 30728,18640102, -110,    0
  4803, 30728,18640103, -130,    0
  4803, 30728,18640104, -141,    0
  4803, 30728,18640105, -139,    0
  4803, 30728,18640106, -126,    0
  4803, 30728,18640107, -134,    0
