EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NEUWIED, GERMANY (STAID: 4816)
Blended and updated with sources:30884 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4816, 30884,19500101,  -18,    0
  4816, 30884,19500102,   15,    0
  4816, 30884,19500103,   52,    0
  4816, 30884,19500104,   41,    0
  4816, 30884,19500105,   42,    0
  4816, 30884,19500106,   55,    0
  4816, 30884,19500107,   54,    0
  4816, 30884,19500108,   27,    0
  4816, 30884,19500109,   11,    0
  4816, 30884,19500110,   30,    0
  4816, 30884,19500111,   71,    0
  4816, 30884,19500112,   60,    0
  4816, 30884,19500113,   24,    0
  4816, 30884,19500114,   29,    0
  4816, 30884,19500115,   63,    0
  4816, 30884,19500116,   44,    0
  4816, 30884,19500117,   25,    0
  4816, 30884,19500118,   -4,    0
  4816, 30884,19500119,  -38,    0
  4816, 30884,19500120,  -40,    0
  4816, 30884,19500121,  -54,    0
  4816, 30884,19500122,  -27,    0
  4816, 30884,19500123,  -44,    0
  4816, 30884,19500124,  -66,    0
  4816, 30884,19500125,  -51,    0
  4816, 30884,19500126,  -16,    0
  4816, 30884,19500127,  -17,    0
  4816, 30884,19500128,  -32,    0
  4816, 30884,19500129,  -80,    0
  4816, 30884,19500130,  -56,    0
  4816, 30884,19500131,   -7,    0
  4816, 30884,19500201,   29,    0
  4816, 30884,19500202,   37,    0
  4816, 30884,19500203,   33,    0
  4816, 30884,19500204,   52,    0
  4816, 30884,19500205,   74,    0
  4816, 30884,19500206,   68,    0
  4816, 30884,19500207,   45,    0
  4816, 30884,19500208,   40,    0
  4816, 30884,19500209,   18,    0
  4816, 30884,19500210,   97,    0
  4816, 30884,19500211,   62,    0
  4816, 30884,19500212,   62,    0
  4816, 30884,19500213,   78,    0
  4816, 30884,19500214,   13,    0
  4816, 30884,19500215,   82,    0
  4816, 30884,19500216,   92,    0
  4816, 30884,19500217,   57,    0
  4816, 30884,19500218,   52,    0
  4816, 30884,19500219,   64,    0
  4816, 30884,19500220,   89,    0
  4816, 30884,19500221,   52,    0
  4816, 30884,19500222,   19,    0
  4816, 30884,19500223,   13,    0
  4816, 30884,19500224,   80,    0
  4816, 30884,19500225,   77,    0
  4816, 30884,19500226,   -3,    0
  4816, 30884,19500227,  -16,    0
  4816, 30884,19500228,   -9,    0
  4816, 30884,19500301,    4,    0
  4816, 30884,19500302,  -16,    0
  4816, 30884,19500303,   14,    0
  4816, 30884,19500304,   36,    0
