EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MUHLHAUSEN-GORMAR, GERMANY (STAID: 4864)
Blended and updated with sources:31460 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4864, 31460,20041201,   33,    0
  4864, 31460,20041202,   27,    0
  4864, 31460,20041203,   13,    0
  4864, 31460,20041204,   14,    0
  4864, 31460,20041205,    4,    0
  4864, 31460,20041206,   38,    0
  4864, 31460,20041207,   40,    0
  4864, 31460,20041208,   25,    0
  4864, 31460,20041209,   -8,    0
  4864, 31460,20041210,  -25,    0
  4864, 31460,20041211,  -38,    0
  4864, 31460,20041212,   -7,    0
  4864, 31460,20041213,  -11,    0
  4864, 31460,20041214,  -29,    0
  4864, 31460,20041215,  -23,    0
  4864, 31460,20041216,   -3,    0
  4864, 31460,20041217,   39,    0
  4864, 31460,20041218,   26,    0
  4864, 31460,20041219,    6,    0
  4864, 31460,20041220,  -43,    0
  4864, 31460,20041221,  -71,    0
  4864, 31460,20041222,  -26,    0
  4864, 31460,20041223,   40,    0
  4864, 31460,20041224,   66,    0
  4864, 31460,20041225,   54,    0
  4864, 31460,20041226,   12,    0
  4864, 31460,20041227,    8,    0
  4864, 31460,20041228,    6,    0
  4864, 31460,20041229,   21,    0
  4864, 31460,20041230,   13,    0
  4864, 31460,20041231,   43,    0
  4864, 31460,20050101,   61,    0
  4864, 31460,20050102,   52,    0
  4864, 31460,20050103,   47,    0
  4864, 31460,20050104,   67,    0
  4864, 31460,20050105,   43,    0
  4864, 31460,20050106,   61,    0
  4864, 31460,20050107,   83,    0
  4864, 31460,20050108,   86,    0
  4864, 31460,20050109,   60,    0
  4864, 31460,20050110,   90,    0
  4864, 31460,20050111,   76,    0
  4864, 31460,20050112,   79,    0
  4864, 31460,20050113,   35,    0
  4864, 31460,20050114,   22,    0
  4864, 31460,20050115,   -2,    0
  4864, 31460,20050116,  -38,    0
  4864, 31460,20050117,    7,    0
  4864, 31460,20050118,   40,    0
  4864, 31460,20050119,   26,    0
  4864, 31460,20050120,   60,    0
  4864, 31460,20050121,   36,    0
  4864, 31460,20050122,   26,    0
  4864, 31460,20050123,    8,    0
  4864, 31460,20050124,  -17,    0
  4864, 31460,20050125,  -24,    0
  4864, 31460,20050126,  -33,    0
  4864, 31460,20050127,  -46,    0
  4864, 31460,20050128,  -47,    0
  4864, 31460,20050129,  -51,    0
  4864, 31460,20050130,  -24,    0
  4864, 31460,20050131,   19,    0
  4864, 31460,20050201,   21,    0
  4864, 31460,20050202,   31,    0
  4864, 31460,20050203,   31,    0
  4864, 31460,20050204,    4,    0
  4864, 31460,20050205,  -28,    0
  4864, 31460,20050206,  -43,    0
  4864, 31460,20050207,  -52,    0
  4864, 31460,20050208,  -52,    0
  4864, 31460,20050209,  -31,    0
  4864, 31460,20050210,   43,    0
  4864, 31460,20050211,   36,    0
  4864, 31460,20050212,   63,    0
  4864, 31460,20050213,   25,    0
  4864, 31460,20050214,   -1,    0
  4864, 31460,20050215,  -10,    0
  4864, 31460,20050216,   -9,    0
  4864, 31460,20050217,  -19,    0
  4864, 31460,20050218,  -27,    0
  4864, 31460,20050219,   -7,    0
  4864, 31460,20050220,    7,    0
  4864, 31460,20050221,   -1,    0
  4864, 31460,20050222,  -25,    0
  4864, 31460,20050223,  -17,    0
  4864, 31460,20050224,  -49,    0
  4864, 31460,20050225,  -34,    0
  4864, 31460,20050226,   -6,    0
  4864, 31460,20050227,  -61,    0
  4864, 31460,20050228,  -68,    0
  4864, 31460,20050301,  -45,    0
  4864, 31460,20050302,  -39,    0
  4864, 31460,20050303,  -22,    0
  4864, 31460,20050304,  -24,    0
  4864, 31460,20050305,  -27,    0
  4864, 31460,20050306,  -35,    0
  4864, 31460,20050307,  -21,    0
  4864, 31460,20050308,   26,    0
  4864, 31460,20050309,   19,    0
  4864, 31460,20050310,   -9,    0
  4864, 31460,20050311,   15,    0
  4864, 31460,20050312,   19,    0
  4864, 31460,20050313,   20,    0
  4864, 31460,20050314,   34,    0
  4864, 31460,20050315,   63,    0
  4864, 31460,20050316,  128,    0
  4864, 31460,20050317,  133,    0
  4864, 31460,20050318,  130,    0
  4864, 31460,20050319,   61,    0
  4864, 31460,20050320,   19,    0
  4864, 31460,20050321,   23,    0
  4864, 31460,20050322,   57,    0
  4864, 31460,20050323,  105,    0
  4864, 31460,20050324,   79,    0
  4864, 31460,20050325,   75,    0
  4864, 31460,20050326,   81,    0
  4864, 31460,20050327,   96,    0
  4864, 31460,20050328,   85,    0
  4864, 31460,20050329,   83,    0
  4864, 31460,20050330,   78,    0
  4864, 31460,20050331,   54,    0
  4864, 31460,20050401,   52,    0
  4864, 31460,20050402,   65,    0
  4864, 31460,20050403,   81,    0
  4864, 31460,20050404,   96,    0
  4864, 31460,20050405,   75,    0
  4864, 31460,20050406,   94,    0
  4864, 31460,20050407,  112,    0
  4864, 31460,20050408,   81,    0
  4864, 31460,20050409,   39,    0
  4864, 31460,20050410,   48,    0
  4864, 31460,20050411,   74,    0
  4864, 31460,20050412,   83,    0
  4864, 31460,20050413,   92,    0
  4864, 31460,20050414,  105,    0
  4864, 31460,20050415,  126,    0
  4864, 31460,20050416,  140,    0
  4864, 31460,20050417,  135,    0
  4864, 31460,20050418,  130,    0
  4864, 31460,20050419,  127,    0
  4864, 31460,20050420,   78,    0
  4864, 31460,20050421,   42,    0
  4864, 31460,20050422,   66,    0
  4864, 31460,20050423,   85,    0
  4864, 31460,20050424,  101,    0
  4864, 31460,20050425,   82,    0
  4864, 31460,20050426,   91,    0
  4864, 31460,20050427,  104,    0
  4864, 31460,20050428,  102,    0
  4864, 31460,20050429,  107,    0
  4864, 31460,20050430,  138,    0
  4864, 31460,20050501,  174,    0
  4864, 31460,20050502,  195,    0
  4864, 31460,20050503,  160,    0
  4864, 31460,20050504,  130,    0
  4864, 31460,20050505,  108,    0
  4864, 31460,20050506,   88,    0
  4864, 31460,20050507,   70,    0
  4864, 31460,20050508,   65,    0
  4864, 31460,20050509,   61,    0
  4864, 31460,20050510,   61,    0
  4864, 31460,20050511,   77,    0
  4864, 31460,20050512,   74,    0
  4864, 31460,20050513,   99,    0
  4864, 31460,20050514,  101,    0
  4864, 31460,20050515,  103,    0
  4864, 31460,20050516,  107,    0
  4864, 31460,20050517,   71,    0
  4864, 31460,20050518,   69,    0
  4864, 31460,20050519,   85,    0
  4864, 31460,20050520,  124,    0
  4864, 31460,20050521,  155,    0
  4864, 31460,20050522,  160,    0
  4864, 31460,20050523,  137,    0
  4864, 31460,20050524,  132,    0
  4864, 31460,20050525,  163,    0
  4864, 31460,20050526,  183,    0
  4864, 31460,20050527,  209,    0
  4864, 31460,20050528,  231,    0
  4864, 31460,20050529,  212,    0
  4864, 31460,20050530,  144,    0
  4864, 31460,20050531,  111,    0
  4864, 31460,20050601,  106,    0
  4864, 31460,20050602,  129,    0
  4864, 31460,20050603,  181,    0
  4864, 31460,20050604,  158,    0
  4864, 31460,20050605,  131,    0
  4864, 31460,20050606,  110,    0
  4864, 31460,20050607,   90,    0
  4864, 31460,20050608,  111,    0
  4864, 31460,20050609,  127,    0
  4864, 31460,20050610,  130,    0
  4864, 31460,20050611,  101,    0
  4864, 31460,20050612,   96,    0
  4864, 31460,20050613,  125,    0
  4864, 31460,20050614,  148,    0
  4864, 31460,20050615,  188,    0
  4864, 31460,20050616,  182,    0
  4864, 31460,20050617,  187,    0
  4864, 31460,20050618,  179,    0
  4864, 31460,20050619,  178,    0
  4864, 31460,20050620,  200,    0
  4864, 31460,20050621,  217,    0
  4864, 31460,20050622,  187,    0
  4864, 31460,20050623,  193,    0
  4864, 31460,20050624,  217,    0
  4864, 31460,20050625,  210,    0
  4864, 31460,20050626,  182,    0
  4864, 31460,20050627,  189,    0
  4864, 31460,20050628,  187,    0
  4864, 31460,20050629,  157,    0
  4864, 31460,20050630,  166,    0
  4864, 31460,20050701,  163,    0
  4864, 31460,20050702,  181,    0
  4864, 31460,20050703,  205,    0
  4864, 31460,20050704,  204,    0
  4864, 31460,20050705,  144,    0
  4864, 31460,20050706,  146,    0
  4864, 31460,20050707,  138,    0
  4864, 31460,20050708,  133,    0
  4864, 31460,20050709,  152,    0
  4864, 31460,20050710,  208,    0
  4864, 31460,20050711,  203,    0
  4864, 31460,20050712,  212,    0
  4864, 31460,20050713,  219,    0
  4864, 31460,20050714,  211,    0
  4864, 31460,20050715,  211,    0
  4864, 31460,20050716,  198,    0
  4864, 31460,20050717,  178,    0
  4864, 31460,20050718,  202,    0
  4864, 31460,20050719,  191,    0
  4864, 31460,20050720,  166,    0
  4864, 31460,20050721,  148,    0
  4864, 31460,20050722,  139,    0
  4864, 31460,20050723,  141,    0
  4864, 31460,20050724,  177,    0
  4864, 31460,20050725,  196,    0
  4864, 31460,20050726,  179,    0
  4864, 31460,20050727,  209,    0
  4864, 31460,20050728,  238,    0
  4864, 31460,20050729,  230,    0
  4864, 31460,20050730,  204,    0
  4864, 31460,20050731,  179,    0
  4864, 31460,20050801,  171,    0
  4864, 31460,20050802,  161,    0
  4864, 31460,20050803,  166,    0
  4864, 31460,20050804,  156,    0
  4864, 31460,20050805,  156,    0
  4864, 31460,20050806,  137,    0
  4864, 31460,20050807,  117,    0
  4864, 31460,20050808,  131,    0
  4864, 31460,20050809,  143,    0
  4864, 31460,20050810,  126,    0
  4864, 31460,20050811,  152,    0
  4864, 31460,20050812,  162,    0
  4864, 31460,20050813,  142,    0
  4864, 31460,20050814,  138,    0
  4864, 31460,20050815,  154,    0
  4864, 31460,20050816,  166,    0
  4864, 31460,20050817,  161,    0
  4864, 31460,20050818,  186,    0
  4864, 31460,20050819,  204,    0
  4864, 31460,20050820,  181,    0
  4864, 31460,20050821,  192,    0
  4864, 31460,20050822,  202,    0
  4864, 31460,20050823,  163,    0
  4864, 31460,20050824,  162,    0
  4864, 31460,20050825,  153,    0
  4864, 31460,20050826,  138,    0
  4864, 31460,20050827,  144,    0
  4864, 31460,20050828,  156,    0
  4864, 31460,20050829,  178,    0
  4864, 31460,20050830,  187,    0
  4864, 31460,20050831,  204,    0
  4864, 31460,20050901,  220,    0
  4864, 31460,20050902,  200,    0
  4864, 31460,20050903,  180,    0
  4864, 31460,20050904,  188,    0
  4864, 31460,20050905,  172,    0
  4864, 31460,20050906,  176,    0
  4864, 31460,20050907,  193,    0
  4864, 31460,20050908,  200,    0
  4864, 31460,20050909,  202,    0
  4864, 31460,20050910,  208,    0
  4864, 31460,20050911,  175,    0
