EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MARKT ERLBACH-MOSBACH, GERMANY (STAID: 4866)
Blended and updated with sources:31484 31628 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4866, 31628,19490101,   23,    0
  4866, 31628,19490102,   21,    0
  4866, 31628,19490103,   12,    0
  4866, 31628,19490104,   10,    0
  4866, 31628,19490105,   20,    0
  4866, 31628,19490106,    0,    0
  4866, 31628,19490107,  -24,    0
  4866, 31628,19490108,  -18,    0
  4866, 31628,19490109,   -6,    0
  4866, 31628,19490110,  -18,    0
  4866, 31628,19490111,  -39,    0
  4866, 31628,19490112,   -2,    0
  4866, 31628,19490113,   -8,    0
  4866, 31628,19490114,    9,    0
  4866, 31628,19490115,   18,    0
  4866, 31628,19490116,   29,    0
  4866, 31628,19490117,   40,    0
  4866, 31628,19490118,   58,    0
  4866, 31628,19490119,   70,    0
  4866, 31628,19490120,   56,    0
  4866, 31628,19490121,   29,    0
  4866, 31628,19490122,   12,    0
  4866, 31628,19490123,  -26,    0
  4866, 31628,19490124,    9,    0
  4866, 31628,19490125,    2,    0
  4866, 31628,19490126,    0,    0
  4866, 31628,19490127,    1,    0
  4866, 31628,19490128,   -5,    0
  4866, 31628,19490129,   11,    0
  4866, 31628,19490130,    5,    0
  4866, 31628,19490131,    9,    0
  4866, 31628,19490201,  -28,    0
  4866, 31628,19490202,  -62,    0
  4866, 31628,19490203,  -50,    0
  4866, 31628,19490204,  -37,    0
  4866, 31628,19490205,  -12,    0
  4866, 31628,19490206,   -8,    0
  4866, 31628,19490207,  -48,    0
  4866, 31628,19490208,   36,    0
  4866, 31628,19490209,   76,    0
  4866, 31628,19490210,   29,    0
  4866, 31628,19490211,   16,    0
