EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUDINGHAUSEN-BROCHTRUP, GERMANY (STAID: 4869)
Blended and updated with sources:25616 31520 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4869, 25616,19500101,   -3,    0
  4869, 25616,19500102,   38,    0
  4869, 25616,19500103,   54,    0
  4869, 25616,19500104,   34,    0
  4869, 25616,19500105,   52,    0
  4869, 25616,19500106,   57,    0
  4869, 25616,19500107,   72,    0
  4869, 25616,19500108,   62,    0
  4869, 25616,19500109,   19,    0
  4869, 25616,19500110,   52,    0
  4869, 25616,19500111,   89,    0
  4869, 25616,19500112,   68,    0
  4869, 25616,19500113,   42,    0
  4869, 25616,19500114,   64,    0
  4869, 25616,19500115,   78,    0
  4869, 25616,19500116,   47,    0
  4869, 25616,19500117,   31,    0
  4869, 25616,19500118,   -8,    0
  4869, 25616,19500119,  -48,    0
  4869, 25616,19500120,  -45,    0
  4869, 25616,19500121,  -12,    0
  4869, 25616,19500122,    2,    0
  4869, 25616,19500123,  -31,    0
  4869, 25616,19500124,  -56,    0
  4869, 25616,19500125,  -42,    0
  4869, 25616,19500126,  -13,    0
  4869, 25616,19500127,    2,    0
  4869, 25616,19500128,  -48,    0
  4869, 25616,19500129,  -63,    0
  4869, 25616,19500130,  -75,    0
  4869, 25616,19500131,  -12,    0
  4869, 25616,19500201,   29,    0
  4869, 25616,19500202,   35,    0
  4869, 25616,19500203,   67,    0
  4869, 25616,19500204,   66,    0
  4869, 25616,19500205,   62,    0
  4869, 25616,19500206,   68,    0
  4869, 25616,19500207,   54,    0
  4869, 25616,19500208,   44,    0
  4869, 25616,19500209,   30,    0
  4869, 25616,19500210,   88,    0
  4869, 25616,19500211,   60,    0
  4869, 25616,19500212,   56,    0
  4869, 25616,19500213,   74,    0
  4869, 25616,19500214,   34,    0
  4869, 25616,19500215,   85,    0
  4869, 25616,19500216,  102,    0
  4869, 25616,19500217,   99,    0
  4869, 25616,19500218,   81,    0
  4869, 25616,19500219,   71,    0
  4869, 25616,19500220,   80,    0
  4869, 25616,19500221,   41,    0
  4869, 25616,19500222,   36,    0
  4869, 25616,19500223,   38,    0
  4869, 25616,19500224,   80,    0
  4869, 25616,19500225,   78,    0
  4869, 25616,19500226,    2,    0
  4869, 25616,19500227,    8,    0
  4869, 25616,19500228,   14,    0
  4869, 25616,19500301,    8,    0
