EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SIEGSDORF-HOLL, GERMANY (STAID: 4894)
Blended and updated with sources:31820 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4894, 31820,20050601,  124,    0
  4894, 31820,20050602,  143,    0
  4894, 31820,20050603,  182,    0
  4894, 31820,20050604,  141,    0
  4894, 31820,20050605,  124,    0
  4894, 31820,20050606,  113,    0
  4894, 31820,20050607,   73,    0
  4894, 31820,20050608,   68,    0
  4894, 31820,20050609,   66,    0
  4894, 31820,20050610,   92,    0
  4894, 31820,20050611,  113,    0
  4894, 31820,20050612,  116,    0
  4894, 31820,20050613,  145,    0
  4894, 31820,20050614,  159,    0
  4894, 31820,20050615,  155,    0
  4894, 31820,20050616,  175,    0
  4894, 31820,20050617,  174,    0
  4894, 31820,20050618,  168,    0
  4894, 31820,20050619,  172,    0
  4894, 31820,20050620,  186,    0
  4894, 31820,20050621,  203,    0
  4894, 31820,20050622,  219,    0
  4894, 31820,20050623,  205,    0
  4894, 31820,20050624,  224,    0
  4894, 31820,20050625,  217,    0
  4894, 31820,20050626,  192,    0
  4894, 31820,20050627,  211,    0
  4894, 31820,20050628,  205,    0
  4894, 31820,20050629,  189,    0
  4894, 31820,20050630,  173,    0
  4894, 31820,20050701,  126,    0
  4894, 31820,20050702,  139,    0
  4894, 31820,20050703,  177,    0
  4894, 31820,20050704,  186,    0
  4894, 31820,20050705,   95,    0
  4894, 31820,20050706,  133,    0
  4894, 31820,20050707,  120,    0
  4894, 31820,20050708,  114,    0
  4894, 31820,20050709,  142,    0
  4894, 31820,20050710,  126,    0
  4894, 31820,20050711,  140,    0
  4894, 31820,20050712,  146,    0
  4894, 31820,20050713,  174,    0
  4894, 31820,20050714,  192,    0
  4894, 31820,20050715,  211,    0
  4894, 31820,20050716,  203,    0
  4894, 31820,20050717,  206,    0
  4894, 31820,20050718,  199,    0
  4894, 31820,20050719,  155,    0
  4894, 31820,20050720,  168,    0
  4894, 31820,20050721,  146,    0
  4894, 31820,20050722,  156,    0
  4894, 31820,20050723,  148,    0
  4894, 31820,20050724,  167,    0
  4894, 31820,20050725,  173,    0
  4894, 31820,20050726,  182,    0
  4894, 31820,20050727,  223,    0
  4894, 31820,20050728,  250,    0
  4894, 31820,20050729,  247,    0
  4894, 31820,20050730,  183,    0
  4894, 31820,20050731,  143,    0
  4894, 31820,20050801,  177,    0
  4894, 31820,20050802,  169,    0
  4894, 31820,20050803,  137,    0
