EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HATTSTEDT, GERMANY (STAID: 4901)
Blended and updated with sources:24116 31904 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4901, 24116,18910101,  -87,    0
  4901, 24116,18910102,  -79,    0
  4901, 24116,18910103,  -72,    0
  4901, 24116,18910104,    0,    0
  4901, 24116,18910105,  -58,    0
  4901, 24116,18910106,  -77,    0
  4901, 24116,18910107,  -46,    0
  4901, 24116,18910108,  -89,    0
  4901, 24116,18910109, -106,    0
  4901, 24116,18910110,  -67,    0
  4901, 24116,18910111,  -14,    0
  4901, 24116,18910112,   13,    0
  4901, 24116,18910113,    0,    0
  4901, 24116,18910114,    2,    0
  4901, 24116,18910115,  -58,    0
  4901, 24116,18910116,  -87,    0
  4901, 24116,18910117,  -94,    0
  4901, 24116,18910118,  -96,    0
  4901, 24116,18910119,  -56,    0
  4901, 24116,18910120,  -32,    0
  4901, 24116,18910121,  -24,    0
  4901, 24116,18910122,  -39,    0
  4901, 24116,18910123,  -13,    0
  4901, 24116,18910124,   18,    0
  4901, 24116,18910125,   18,    0
  4901, 24116,18910126,   13,    0
  4901, 24116,18910127,   12,    0
  4901, 24116,18910128,   19,    0
  4901, 24116,18910129,   36,    0
  4901, 24116,18910130,   17,    0
  4901, 24116,18910131,   23,    0
  4901, 24116,18910201,   20,    0
  4901, 24116,18910202,   12,    0
  4901, 24116,18910203,   27,    0
  4901, 24116,18910204,   -9,    0
  4901, 24116,18910205,   -2,    0
  4901, 24116,18910206,   12,    0
  4901, 24116,18910207,   15,    0
  4901, 24116,18910208,    0,    0
  4901, 24116,18910209,   -6,    0
  4901, 24116,18910210,  -20,    0
  4901, 24116,18910211,   13,    0
  4901, 24116,18910212,    6,    0
  4901, 24116,18910213,  -36,    0
  4901, 24116,18910214,  -20,    0
  4901, 24116,18910215,   24,    0
  4901, 24116,18910216,   22,    0
  4901, 24116,18910217,   30,    0
  4901, 24116,18910218,    8,    0
  4901, 24116,18910219,   13,    0
  4901, 24116,18910220,   -1,    0
  4901, 24116,18910221,   -8,    0
  4901, 24116,18910222,  -13,    0
  4901, 24116,18910223,  -24,    0
  4901, 24116,18910224,  -13,    0
  4901, 24116,18910225,   10,    0
  4901, 24116,18910226,   34,    0
  4901, 24116,18910227,   29,    0
  4901, 24116,18910228,   24,    0
  4901, 24116,18910301,   45,    0
  4901, 24116,18910302,   35,    0
  4901, 24116,18910303,   20,    0
  4901, 24116,18910304,   29,    0
  4901, 24116,18910305,   39,    0
  4901, 24116,18910306,   38,    0
  4901, 24116,18910307,   22,    0
  4901, 24116,18910308,   -3,    0
