EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PRACKENBACH-NEUHAUSEL, GERMANY (STAID: 4910)
Blended and updated with sources:32012 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4910, 32012,20060801,  177,    0
  4910, 32012,20060802,  152,    0
  4910, 32012,20060803,  127,    0
  4910, 32012,20060804,  124,    0
  4910, 32012,20060805,  137,    0
  4910, 32012,20060806,  140,    0
  4910, 32012,20060807,  160,    0
  4910, 32012,20060808,  143,    0
  4910, 32012,20060809,  141,    0
  4910, 32012,20060810,  134,    0
  4910, 32012,20060811,  110,    0
  4910, 32012,20060812,  106,    0
  4910, 32012,20060813,  116,    0
  4910, 32012,20060814,  121,    0
  4910, 32012,20060815,  121,    0
  4910, 32012,20060816,  144,    0
  4910, 32012,20060817,  189,    0
  4910, 32012,20060818,  178,    0
  4910, 32012,20060819,  184,    0
  4910, 32012,20060820,  157,    0
  4910, 32012,20060821,  148,    0
  4910, 32012,20060822,  130,    0
  4910, 32012,20060823,  138,    0
  4910, 32012,20060824,  141,    0
  4910, 32012,20060825,  132,    0
  4910, 32012,20060826,  131,    0
  4910, 32012,20060827,  127,    0
  4910, 32012,20060828,  116,    0
  4910, 32012,20060829,  101,    0
  4910, 32012,20060830,  101,    0
  4910, 32012,20060831,  112,    0
  4910, 32012,20060901,  128,    0
  4910, 32012,20060902,  159,    0
  4910, 32012,20060903,  182,    0
  4910, 32012,20060904,  200,    0
  4910, 32012,20060905,  170,    0
  4910, 32012,20060906,  168,    0
  4910, 32012,20060907,  194,    0
  4910, 32012,20060908,  126,    0
  4910, 32012,20060909,  121,    0
  4910, 32012,20060910,  139,    0
  4910, 32012,20060911,  151,    0
  4910, 32012,20060912,  151,    0
  4910, 32012,20060913,  161,    0
  4910, 32012,20060914,  164,    0
  4910, 32012,20060915,  175,    0
  4910, 32012,20060916,  183,    0
  4910, 32012,20060917,  170,    0
  4910, 32012,20060918,  152,    0
  4910, 32012,20060919,  136,    0
  4910, 32012,20060920,  130,    0
  4910, 32012,20060921,  138,    0
