EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALFELD, GERMANY (STAID: 4913)
Blended and updated with sources:32048 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4913, 32048,20071201,   79,    0
  4913, 32048,20071202,   80,    0
  4913, 32048,20071203,   66,    0
  4913, 32048,20071204,   57,    0
  4913, 32048,20071205,   85,    0
  4913, 32048,20071206,   93,    0
  4913, 32048,20071207,   94,    0
  4913, 32048,20071208,   55,    0
  4913, 32048,20071209,   61,    0
  4913, 32048,20071210,   52,    0
  4913, 32048,20071211,   40,    0
  4913, 32048,20071212,   38,    0
  4913, 32048,20071213,   32,    0
  4913, 32048,20071214,   15,    0
  4913, 32048,20071215,    1,    0
  4913, 32048,20071216,  -28,    0
  4913, 32048,20071217,   -3,    0
  4913, 32048,20071218,  -14,    0
  4913, 32048,20071219,  -33,    0
  4913, 32048,20071220,  -43,    0
  4913, 32048,20071221,  -45,    1
  4913, 32048,20071222,  -44,    1
  4913, 32048,20071223,  -24,    0
  4913, 32048,20071224,    8,    0
  4913, 32048,20071225,   -1,    0
  4913, 32048,20071226,    2,    0
  4913, 32048,20071227,   16,    0
  4913, 32048,20071228,   36,    0
  4913, 32048,20071229,   26,    0
  4913, 32048,20071230,   39,    0
  4913, 32048,20071231,   23,    0
  4913, 32048,20080101,    0,    0
  4913, 32048,20080102,  -11,    0
  4913, 32048,20080103,  -22,    0
  4913, 32048,20080104,  -22,    0
  4913, 32048,20080105,   27,    0
  4913, 32048,20080106,   36,    0
  4913, 32048,20080107,   43,    0
  4913, 32048,20080108,   51,    0
  4913, 32048,20080109,   41,    0
  4913, 32048,20080110,   55,    0
  4913, 32048,20080111,   95,    0
  4913, 32048,20080112,   70,    0
  4913, 32048,20080113,   28,    0
  4913, 32048,20080114,   39,    0
  4913, 32048,20080115,   80,    0
  4913, 32048,20080116,   72,    0
  4913, 32048,20080117,   62,    0
  4913, 32048,20080118,   79,    0
  4913, 32048,20080119,  105,    0
  4913, 32048,20080120,  108,    0
  4913, 32048,20080121,   95,    0
  4913, 32048,20080122,   40,    0
  4913, 32048,20080123,   37,    0
  4913, 32048,20080124,   75,    0
  4913, 32048,20080125,   55,    0
  4913, 32048,20080126,   79,    0
  4913, 32048,20080127,   74,    0
  4913, 32048,20080128,   73,    0
  4913, 32048,20080129,   57,    0
  4913, 32048,20080130,   34,    0
  4913, 32048,20080131,   22,    0
  4913, 32048,20080201,   48,    0
  4913, 32048,20080202,   26,    0
  4913, 32048,20080203,   14,    0
  4913, 32048,20080204,   37,    0
  4913, 32048,20080205,   51,    0
  4913, 32048,20080206,   73,    0
  4913, 32048,20080207,   48,    0
  4913, 32048,20080208,   56,    0
  4913, 32048,20080209,   43,    0
  4913, 32048,20080210,   38,    0
  4913, 32048,20080211,   29,    0
  4913, 32048,20080212,   18,    0
  4913, 32048,20080213,   30,    0
  4913, 32048,20080214,   14,    0
  4913, 32048,20080215,   -2,    0
  4913, 32048,20080216,  -31,    0
  4913, 32048,20080217,   -4,    0
  4913, 32048,20080218,   10,    0
  4913, 32048,20080219,   24,    0
  4913, 32048,20080220,   24,    0
  4913, 32048,20080221,   64,    0
  4913, 32048,20080222,   93,    0
  4913, 32048,20080223,   89,    0
  4913, 32048,20080224,   84,    0
  4913, 32048,20080225,   66,    0
  4913, 32048,20080226,   98,    0
  4913, 32048,20080227,   72,    0
  4913, 32048,20080228,   59,    0
  4913, 32048,20080229,   66,    0
  4913, 32048,20080301,   70,    0
  4913, 32048,20080302,   82,    0
  4913, 32048,20080303,   58,    0
  4913, 32048,20080304,   26,    0
  4913, 32048,20080305,   14,    0
  4913, 32048,20080306,   41,    0
  4913, 32048,20080307,   67,    0
  4913, 32048,20080308,   73,    0
  4913, 32048,20080309,   75,    0
  4913, 32048,20080310,   90,    0
  4913, 32048,20080311,   82,    0
  4913, 32048,20080312,   70,    0
  4913, 32048,20080313,   67,    0
