EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KR. NECKAR-ODENWALD BUCHEN, GERMANY (STAID: 4937)
Blended and updated with sources:32336 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4937, 32336,19350101,   53,    0
  4937, 32336,19350102,   38,    0
  4937, 32336,19350103,   20,    0
  4937, 32336,19350104,   36,    0
  4937, 32336,19350105,   19,    0
  4937, 32336,19350106,    5,    0
  4937, 32336,19350107,  -12,    0
  4937, 32336,19350108,  -40,    0
  4937, 32336,19350109,  -48,    0
  4937, 32336,19350110,  -59,    0
  4937, 32336,19350111,  -47,    0
  4937, 32336,19350112,  -52,    0
  4937, 32336,19350113,  -14,    0
  4937, 32336,19350114,  -10,    0
  4937, 32336,19350115,  -63,    0
  4937, 32336,19350116,   -3,    0
  4937, 32336,19350117,    8,    0
  4937, 32336,19350118,  -42,    0
  4937, 32336,19350119,  -26,    0
  4937, 32336,19350120,  -64,    0
  4937, 32336,19350121,  -30,    0
  4937, 32336,19350122,   -5,    0
  4937, 32336,19350123,   10,    0
  4937, 32336,19350124,   15,    0
  4937, 32336,19350125,   34,    0
  4937, 32336,19350126,    0,    0
  4937, 32336,19350127,  -14,    0
  4937, 32336,19350128,  -30,    0
  4937, 32336,19350129,  -42,    0
  4937, 32336,19350130,  -58,    0
  4937, 32336,19350131,  -30,    0
  4937, 32336,19350201,    6,    0
  4937, 32336,19350202,   39,    0
  4937, 32336,19350203,   40,    0
  4937, 32336,19350204,   32,    0
  4937, 32336,19350205,   20,    0
  4937, 32336,19350206,   17,    0
  4937, 32336,19350207,  -53,    0
  4937, 32336,19350208,  -62,    0
  4937, 32336,19350209,  -95,    0
  4937, 32336,19350210,  -62,    0
  4937, 32336,19350211,  -51,    0
  4937, 32336,19350212,  -19,    0
  4937, 32336,19350213,   22,    0
  4937, 32336,19350214,   59,    0
  4937, 32336,19350215,   38,    0
  4937, 32336,19350216,   88,    0
  4937, 32336,19350217,   63,    0
  4937, 32336,19350218,   45,    0
  4937, 32336,19350219,   26,    0
  4937, 32336,19350220,   54,    0
  4937, 32336,19350221,   58,    0
  4937, 32336,19350222,   49,    0
  4937, 32336,19350223,   24,    0
  4937, 32336,19350224,   20,    0
  4937, 32336,19350225,   45,    0
  4937, 32336,19350226,   29,    0
  4937, 32336,19350227,   10,    0
  4937, 32336,19350228,   44,    0
