EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DARMSTADT (A), GERMANY (STAID: 4964)
Blended and updated with sources:32660 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4964, 32660,19871001,   92,    0
  4964, 32660,19871002,   93,    0
  4964, 32660,19871003,  102,    0
  4964, 32660,19871004,  121,    0
  4964, 32660,19871005,  149,    0
  4964, 32660,19871006,  156,    0
  4964, 32660,19871007,  138,    0
  4964, 32660,19871008,  117,    0
  4964, 32660,19871009,  108,    0
  4964, 32660,19871010,  149,    0
  4964, 32660,19871011,  130,    0
  4964, 32660,19871012,   74,    0
  4964, 32660,19871013,  102,    0
  4964, 32660,19871014,  119,    0
  4964, 32660,19871015,  159,    0
  4964, 32660,19871016,  129,    0
  4964, 32660,19871017,  106,    0
  4964, 32660,19871018,   88,    0
  4964, 32660,19871019,   96,    0
  4964, 32660,19871020,   97,    0
  4964, 32660,19871021,  110,    0
  4964, 32660,19871022,   86,    0
  4964, 32660,19871023,   84,    0
  4964, 32660,19871024,   90,    0
  4964, 32660,19871025,   64,    0
  4964, 32660,19871026,   88,    0
  4964, 32660,19871027,  112,    0
  4964, 32660,19871028,  102,    0
  4964, 32660,19871029,   96,    0
  4964, 32660,19871030,   79,    0
  4964, 32660,19871031,   80,    0
  4964, 32660,19871101,  106,    0
  4964, 32660,19871102,   96,    0
  4964, 32660,19871103,   73,    0
  4964, 32660,19871104,   37,    0
  4964, 32660,19871105,   34,    0
  4964, 32660,19871106,   32,    0
  4964, 32660,19871107,   16,    0
  4964, 32660,19871108,   28,    0
  4964, 32660,19871109,   60,    0
  4964, 32660,19871110,   63,    0
  4964, 32660,19871111,   89,    0
  4964, 32660,19871112,   87,    0
  4964, 32660,19871113,   80,    0
  4964, 32660,19871114,   60,    0
  4964, 32660,19871115,   67,    0
  4964, 32660,19871116,  109,    0
  4964, 32660,19871117,   90,    0
  4964, 32660,19871118,   94,    0
  4964, 32660,19871119,   81,    0
  4964, 32660,19871120,   63,    0
  4964, 32660,19871121,   62,    0
  4964, 32660,19871122,   46,    0
  4964, 32660,19871123,   54,    0
  4964, 32660,19871124,   28,    0
  4964, 32660,19871125,   20,    0
  4964, 32660,19871126,   24,    0
  4964, 32660,19871127,   28,    0
  4964, 32660,19871128,   27,    0
  4964, 32660,19871129,   31,    0
  4964, 32660,19871130,   22,    0
  4964, 32660,19871201,   21,    0
  4964, 32660,19871202,   12,    0
  4964, 32660,19871203,   11,    0
  4964, 32660,19871204,    6,    0
  4964, 32660,19871205,   20,    0
  4964, 32660,19871206,   29,    0
  4964, 32660,19871207,   -9,    0
  4964, 32660,19871208,  -38,    0
  4964, 32660,19871209,  -53,    0
  4964, 32660,19871210,  -38,    0
  4964, 32660,19871211,   -2,    0
  4964, 32660,19871212,    7,    0
  4964, 32660,19871213,  -14,    0
  4964, 32660,19871214,  -18,    0
  4964, 32660,19871215,    4,    0
  4964, 32660,19871216,   61,    0
  4964, 32660,19871217,  106,    0
  4964, 32660,19871218,  128,    0
  4964, 32660,19871219,   84,    0
  4964, 32660,19871220,   80,    0
  4964, 32660,19871221,   74,    0
  4964, 32660,19871222,   57,    0
  4964, 32660,19871223,   18,    0
  4964, 32660,19871224,  -14,    0
  4964, 32660,19871225,   21,    0
  4964, 32660,19871226,   56,    0
  4964, 32660,19871227,   81,    0
  4964, 32660,19871228,   84,    0
  4964, 32660,19871229,   81,    0
  4964, 32660,19871230,   83,    0
  4964, 32660,19871231,   68,    0
  4964, 32660,19880101,   70,    0
  4964, 32660,19880102,  100,    0
  4964, 32660,19880103,   72,    0
  4964, 32660,19880104,   88,    0
  4964, 32660,19880105,  117,    0
  4964, 32660,19880106,   85,    0
  4964, 32660,19880107,   55,    0
  4964, 32660,19880108,   23,    0
  4964, 32660,19880109,   16,    0
  4964, 32660,19880110,   48,    0
  4964, 32660,19880111,   38,    0
  4964, 32660,19880112,    9,    0
  4964, 32660,19880113,    4,    0
  4964, 32660,19880114,    7,    0
  4964, 32660,19880115,   14,    0
  4964, 32660,19880116,   21,    0
  4964, 32660,19880117,   43,    0
  4964, 32660,19880118,   44,    0
  4964, 32660,19880119,   26,    0
  4964, 32660,19880120,   16,    0
  4964, 32660,19880121,   38,    0
  4964, 32660,19880122,   22,    0
  4964, 32660,19880123,   22,    0
  4964, 32660,19880124,   66,    0
  4964, 32660,19880125,   88,    0
  4964, 32660,19880126,   74,    0
  4964, 32660,19880127,   55,    0
  4964, 32660,19880128,   80,    0
  4964, 32660,19880129,   72,    0
  4964, 32660,19880130,   52,    0
