EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALSFELD-EIFA, GERMANY (STAID: 4966)
Blended and updated with sources:32684 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4966, 32684,19781101,   36,    0
  4966, 32684,19781102,   30,    0
  4966, 32684,19781103,   44,    0
  4966, 32684,19781104,   59,    0
  4966, 32684,19781105,   64,    0
  4966, 32684,19781106,   59,    0
  4966, 32684,19781107,   23,    0
  4966, 32684,19781108,   10,    0
  4966, 32684,19781109,   -8,    0
  4966, 32684,19781110,   -7,    0
  4966, 32684,19781111,   -8,    0
  4966, 32684,19781112,   -4,    0
  4966, 32684,19781113,   25,    0
  4966, 32684,19781114,   47,    0
  4966, 32684,19781115,   46,    0
  4966, 32684,19781116,   54,    0
  4966, 32684,19781117,   63,    0
  4966, 32684,19781118,   71,    0
  4966, 32684,19781119,   70,    0
  4966, 32684,19781120,   54,    0
  4966, 32684,19781121,   58,    0
  4966, 32684,19781122,   76,    0
  4966, 32684,19781123,   85,    0
  4966, 32684,19781124,   60,    0
  4966, 32684,19781125,   31,    0
  4966, 32684,19781126,    0,    0
  4966, 32684,19781127,    4,    0
  4966, 32684,19781128,  -61,    0
  4966, 32684,19781129,  -31,    0
  4966, 32684,19781130,  -18,    0
  4966, 32684,19781201,   -4,    0
  4966, 32684,19781202,    9,    0
  4966, 32684,19781203,    6,    0
  4966, 32684,19781204,  -15,    0
  4966, 32684,19781205,  -63,    0
  4966, 32684,19781206,  -87,    0
  4966, 32684,19781207, -100,    0
  4966, 32684,19781208,  -34,    0
  4966, 32684,19781209,   66,    0
  4966, 32684,19781210,   63,    0
  4966, 32684,19781211,   46,    0
  4966, 32684,19781212,   89,    0
  4966, 32684,19781213,   61,    0
  4966, 32684,19781214,   53,    0
  4966, 32684,19781215,   54,    0
  4966, 32684,19781216,   32,    0
  4966, 32684,19781217,  -26,    0
  4966, 32684,19781218,  -58,    0
  4966, 32684,19781219,  -65,    0
  4966, 32684,19781220,  -35,    0
  4966, 32684,19781221,  -30,    0
  4966, 32684,19781222,  -20,    0
  4966, 32684,19781223,  -28,    0
  4966, 32684,19781224,    6,    0
  4966, 32684,19781225,   64,    0
  4966, 32684,19781226,   73,    0
  4966, 32684,19781227,   54,    0
  4966, 32684,19781228,   87,    0
  4966, 32684,19781229,   81,    0
  4966, 32684,19781230,   34,    0
  4966, 32684,19781231, -132,    0
  4966, 32684,19790101, -155,    0
  4966, 32684,19790102, -130,    0
  4966, 32684,19790103,  -92,    0
  4966, 32684,19790104, -156,    0
  4966, 32684,19790105, -160,    0
  4966, 32684,19790106, -153,    0
  4966, 32684,19790107, -102,    0
  4966, 32684,19790108,  -30,    0
  4966, 32684,19790109,   -2,    0
  4966, 32684,19790110,  -11,    0
  4966, 32684,19790111,   -2,    0
  4966, 32684,19790112,   -4,    0
  4966, 32684,19790113,  -21,    0
  4966, 32684,19790114,  -30,    0
  4966, 32684,19790115,  -68,    0
  4966, 32684,19790116,  -65,    0
  4966, 32684,19790117,  -48,    0
  4966, 32684,19790118,  -68,    0
  4966, 32684,19790119,  -77,    0
  4966, 32684,19790120,  -66,    0
  4966, 32684,19790121,  -57,    0
  4966, 32684,19790122,  -40,    0
  4966, 32684,19790123,   11,    0
  4966, 32684,19790124,  -18,    0
  4966, 32684,19790125,  -48,    0
  4966, 32684,19790126,  -30,    0
  4966, 32684,19790127,  -18,    0
  4966, 32684,19790128,  -11,    0
  4966, 32684,19790129,    1,    0
  4966, 32684,19790130,   15,    0
  4966, 32684,19790131,    2,    0
  4966, 32684,19790201,    8,    0
  4966, 32684,19790202,    9,    0
