EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DEUSELBACH, GERMANY (STAID: 4970)
Blended and updated with sources:32732 910615 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4970, 32732,19500801,  158,    0
  4970, 32732,19500802,  138,    0
  4970, 32732,19500803,  112,    0
  4970, 32732,19500804,  138,    0
  4970, 32732,19500805,  159,    0
  4970, 32732,19500806,  176,    0
  4970, 32732,19500807,  172,    0
  4970, 32732,19500808,  190,    0
  4970, 32732,19500809,  210,    0
  4970, 32732,19500810,  202,    0
  4970, 32732,19500811,  139,    0
  4970, 32732,19500812,  158,    0
  4970, 32732,19500813,  162,    0
  4970, 32732,19500814,  156,    0
  4970, 32732,19500815,  160,    0
  4970, 32732,19500816,  149,    0
  4970, 32732,19500817,  140,    0
  4970, 32732,19500818,  112,    0
  4970, 32732,19500819,  122,    0
  4970, 32732,19500820,  176,    0
  4970, 32732,19500821,  212,    0
  4970, 32732,19500822,  214,    0
  4970, 32732,19500823,  213,    0
  4970, 32732,19500824,  178,    0
  4970, 32732,19500825,  156,    0
  4970, 32732,19500826,  172,    0
  4970, 32732,19500827,  178,    0
  4970, 32732,19500828,  180,    0
  4970, 32732,19500829,  138,    0
  4970, 32732,19500830,  136,    0
  4970, 32732,19500831,  171,    0
  4970, 32732,19500901,  150,    0
  4970, 32732,19500902,  128,    0
  4970, 32732,19500903,  101,    0
  4970, 32732,19500904,  127,    0
  4970, 32732,19500905,  154,    0
  4970, 32732,19500906,  162,    0
  4970, 32732,19500907,  124,    0
  4970, 32732,19500908,  116,    0
  4970, 32732,19500909,  127,    0
  4970, 32732,19500910,  158,    0
  4970, 32732,19500911,  178,    0
  4970, 32732,19500912,  124,    0
  4970, 32732,19500913,  151,    0
  4970, 32732,19500914,  174,    0
  4970, 32732,19500915,  130,    0
  4970, 32732,19500916,   99,    0
  4970, 32732,19500917,  113,    0
  4970, 32732,19500918,   94,    0
  4970, 32732,19500919,   93,    0
  4970, 32732,19500920,  102,    0
  4970, 32732,19500921,   78,    0
  4970, 32732,19500922,   86,    0
  4970, 32732,19500923,   94,    0
  4970, 32732,19500924,  108,    0
  4970, 32732,19500925,  111,    0
  4970, 32732,19500926,   96,    0
  4970, 32732,19500927,   91,    0
  4970, 32732,19500928,   87,    0
  4970, 32732,19500929,  110,    0
  4970, 32732,19500930,  126,    0
  4970, 32732,19501001,  108,    0
  4970, 32732,19501002,   99,    0
  4970, 32732,19501003,   91,    0
  4970, 32732,19501004,  101,    0
  4970, 32732,19501005,  124,    0
  4970, 32732,19501006,  145,    0
  4970, 32732,19501007,  139,    0
  4970, 32732,19501008,  117,    0
  4970, 32732,19501009,  102,    0
  4970, 32732,19501010,  104,    0
  4970, 32732,19501011,   73,    0
  4970, 32732,19501012,   58,    0
  4970, 32732,19501013,  102,    0
  4970, 32732,19501014,  110,    0
  4970, 32732,19501015,  117,    0
  4970, 32732,19501016,  134,    0
  4970, 32732,19501017,  110,    0
  4970, 32732,19501018,  108,    0
  4970, 32732,19501019,  114,    0
  4970, 32732,19501020,  107,    0
  4970, 32732,19501021,   72,    0
  4970, 32732,19501022,   68,    0
  4970, 32732,19501023,   59,    0
  4970, 32732,19501024,   38,    0
  4970, 32732,19501025,   26,    0
  4970, 32732,19501026,   -6,    0
  4970, 32732,19501027,  -15,    0
  4970, 32732,19501028,   -5,    0
  4970, 32732,19501029,   15,    0
  4970, 32732,19501030,   22,    0
  4970, 32732,19501031,   24,    0
  4970, 32732,19501101,   32,    0
  4970, 32732,19501102,   57,    0
  4970, 32732,19501103,   30,    0
  4970, 32732,19501104,   21,    0
  4970, 32732,19501105,   24,    0
  4970, 32732,19501106,   22,    0
  4970, 32732,19501107,   24,    0
  4970, 32732,19501108,   31,    0
  4970, 32732,19501109,   43,    0
  4970, 32732,19501110,  111,    0
  4970, 32732,19501111,   73,    0
  4970, 32732,19501112,   58,    0
  4970, 32732,19501113,   57,    0
  4970, 32732,19501114,   32,    0
  4970, 32732,19501115,   20,    0
  4970, 32732,19501116,   67,    0
  4970, 32732,19501117,   46,    0
  4970, 32732,19501118,   38,    0
  4970, 32732,19501119,   58,    0
  4970, 32732,19501120,   46,    0
  4970, 32732,19501121,   46,    0
  4970, 32732,19501122,   46,    0
  4970, 32732,19501123,   35,    0
  4970, 32732,19501124,   35,    0
  4970, 32732,19501125,    7,    0
  4970, 32732,19501126,   10,    0
  4970, 32732,19501127,   11,    0
  4970, 32732,19501128,   91,    0
  4970, 32732,19501129,   46,    0
  4970, 32732,19501130,   39,    0
  4970, 32732,19501201,   53,    0
  4970, 32732,19501202,   33,    0
  4970, 32732,19501203,    5,    0
  4970, 32732,19501204,  -23,    0
  4970, 32732,19501205,  -30,    0
  4970, 32732,19501206,  -30,    0
  4970, 32732,19501207,  -46,    0
  4970, 32732,19501208,  -33,    0
  4970, 32732,19501209,  -51,    0
  4970, 32732,19501210,  -39,    0
  4970, 32732,19501211,    8,    0
  4970, 32732,19501212,   -1,    0
  4970, 32732,19501213,  -13,    0
  4970, 32732,19501214,   16,    0
  4970, 32732,19501215,   -4,    0
  4970, 32732,19501216,  -27,    0
  4970, 32732,19501217,  -28,    0
  4970, 32732,19501218,  -21,    0
  4970, 32732,19501219,  -39,    0
  4970, 32732,19501220,  -48,    0
  4970, 32732,19501221,  -59,    0
  4970, 32732,19501222,  -69,    0
  4970, 32732,19501223,  -54,    0
  4970, 32732,19501224,  -69,    0
  4970, 32732,19501225,  -32,    0
  4970, 32732,19501226,  -34,    0
  4970, 32732,19501227,  -30,    0
  4970, 32732,19501228,  -66,    0
  4970, 32732,19501229, -116,    0
  4970, 32732,19501230, -110,    0
  4970, 32732,19501231,  -54,    0
  4970, 32732,19510101,    4,    0
  4970, 32732,19510102,    3,    0
  4970, 32732,19510103,   -7,    0
  4970, 32732,19510104,   -4,    0
  4970, 32732,19510105,   42,    0
  4970, 32732,19510106,   48,    0
  4970, 32732,19510107,   34,    0
  4970, 32732,19510108,   31,    0
  4970, 32732,19510109,   22,    0
  4970, 32732,19510110,   43,    0
  4970, 32732,19510111,   62,    0
  4970, 32732,19510112,   28,    0
  4970, 32732,19510113,   16,    0
  4970, 32732,19510114,   32,    0
  4970, 32732,19510115,   10,    0
  4970, 32732,19510116,   10,    0
  4970, 32732,19510117,   26,    0
  4970, 32732,19510118,   32,    0
  4970, 32732,19510119,   20,    0
  4970, 32732,19510120,   62,    0
  4970, 32732,19510121,   49,    0
  4970, 32732,19510122,   36,    0
  4970, 32732,19510123,   33,    0
  4970, 32732,19510124,   18,    0
  4970, 32732,19510125,   -6,    0
  4970, 32732,19510126,   11,    0
  4970, 32732,19510127,   16,    0
  4970, 32732,19510128,   10,    0
  4970, 32732,19510129,   -2,    0
  4970, 32732,19510130,   -4,    0
  4970, 32732,19510131,    3,    0
  4970, 32732,19510201,    6,    0
  4970, 32732,19510202,    7,    0
  4970, 32732,19510203,    5,    0
  4970, 32732,19510204,   34,    0
  4970, 32732,19510205,   28,    0
  4970, 32732,19510206,   26,    0
  4970, 32732,19510207,   17,    0
  4970, 32732,19510208,   46,    0
  4970, 32732,19510209,   46,    0
  4970, 32732,19510210,   19,    0
  4970, 32732,19510211,   40,    0
  4970, 32732,19510212,   42,    0
  4970, 32732,19510213,   38,    0
  4970, 32732,19510214,   30,    0
  4970, 32732,19510215,   16,    0
  4970, 32732,19510216,   26,    0
  4970, 32732,19510217,   45,    0
  4970, 32732,19510218,   22,    0
  4970, 32732,19510219,   15,    0
  4970, 32732,19510220,   44,    0
  4970, 32732,19510221,   14,    0
  4970, 32732,19510222,    6,    0
  4970, 32732,19510223,    8,    0
  4970, 32732,19510224,   22,    0
  4970, 32732,19510225,    0,    0
  4970, 32732,19510226,  -14,    0
  4970, 32732,19510227,  -10,    0
  4970, 32732,19510228,  -16,    0
  4970, 32732,19510301,  -12,    0
  4970, 32732,19510302,  -16,    0
  4970, 32732,19510303,  -49,    0
  4970, 32732,19510304,  -41,    0
  4970, 32732,19510305,  -25,    0
  4970, 32732,19510306,   14,    0
  4970, 32732,19510307,   29,    0
  4970, 32732,19510308,   15,    0
  4970, 32732,19510309,   -9,    0
  4970, 32732,19510310,   14,    0
  4970, 32732,19510311,   28,    0
  4970, 32732,19510312,   48,    0
  4970, 32732,19510313,   64,    0
  4970, 32732,19510314,   48,    0
  4970, 32732,19510315,   46,    0
  4970, 32732,19510316,   80,    0
  4970, 32732,19510317,  116,    0
  4970, 32732,19510318,   66,    0
  4970, 32732,19510319,   46,    0
  4970, 32732,19510320,    1,    0
  4970, 32732,19510321,    4,    0
  4970, 32732,19510322,   25,    0
  4970, 32732,19510323,   96,    0
  4970, 32732,19510324,    8,    0
  4970, 32732,19510325,   -5,    0
  4970, 32732,19510326,    8,    0
  4970, 32732,19510327,   28,    0
  4970, 32732,19510328,   -8,    0
  4970, 32732,19510329,    2,    0
  4970, 32732,19510330,   21,    0
  4970, 32732,19510331,   11,    0
  4970, 32732,19510401,   20,    0
  4970, 32732,19510402,   44,    0
  4970, 32732,19510403,   34,    0
  4970, 32732,19510404,   66,    0
  4970, 32732,19510405,   54,    0
  4970, 32732,19510406,   88,    0
  4970, 32732,19510407,   69,    0
  4970, 32732,19510408,   27,    0
  4970, 32732,19510409,   34,    0
  4970, 32732,19510410,   33,    0
  4970, 32732,19510411,   13,    0
  4970, 32732,19510412,   50,    0
  4970, 32732,19510413,   49,    0
  4970, 32732,19510414,   21,    0
  4970, 32732,19510415,   29,    0
  4970, 32732,19510416,  103,    0
  4970, 32732,19510417,   61,    0
  4970, 32732,19510418,  100,    0
  4970, 32732,19510419,  112,    0
  4970, 32732,19510420,   47,    0
  4970, 32732,19510421,   50,    0
  4970, 32732,19510422,   48,    0
  4970, 32732,19510423,  100,    0
  4970, 32732,19510424,   99,    0
  4970, 32732,19510425,  164,    0
  4970, 32732,19510426,  145,    0
  4970, 32732,19510427,   81,    0
  4970, 32732,19510428,   27,    0
  4970, 32732,19510429,   18,    0
  4970, 32732,19510430,   43,    0
  4970, 32732,19510501,  106,    0
  4970, 32732,19510502,  129,    0
  4970, 32732,19510503,  142,    0
  4970, 32732,19510504,  104,    0
  4970, 32732,19510505,   97,    0
  4970, 32732,19510506,  141,    0
  4970, 32732,19510507,  105,    0
  4970, 32732,19510508,   96,    0
  4970, 32732,19510509,   80,    0
  4970, 32732,19510510,   88,    0
  4970, 32732,19510511,   82,    0
  4970, 32732,19510512,   79,    0
  4970, 32732,19510513,  110,    0
  4970, 32732,19510514,   58,    0
  4970, 32732,19510515,   52,    0
  4970, 32732,19510516,   55,    0
  4970, 32732,19510517,   81,    0
  4970, 32732,19510518,  108,    0
  4970, 32732,19510519,  139,    0
  4970, 32732,19510520,  132,    0
  4970, 32732,19510521,  114,    0
  4970, 32732,19510522,  127,    0
  4970, 32732,19510523,  141,    0
  4970, 32732,19510524,  188,    0
  4970, 32732,19510525,  152,    0
  4970, 32732,19510526,  155,    0
  4970, 32732,19510527,  106,    0
  4970, 32732,19510528,  108,    0
  4970, 32732,19510529,  110,    0
  4970, 32732,19510530,  103,    0
  4970, 32732,19510531,  119,    0
  4970, 32732,19510601,  112,    0
  4970, 32732,19510602,  110,    0
  4970, 32732,19510603,  130,    0
  4970, 32732,19510604,  125,    0
  4970, 32732,19510605,  138,    0
  4970, 32732,19510606,  144,    0
  4970, 32732,19510607,  139,    0
  4970, 32732,19510608,  158,    0
  4970, 32732,19510609,  152,    0
  4970, 32732,19510610,  112,    0
  4970, 32732,19510611,  138,    0
  4970, 32732,19510612,  160,    0
  4970, 32732,19510613,  132,    0
  4970, 32732,19510614,  190,    0
  4970, 32732,19510615,  186,    0
  4970, 32732,19510616,  178,    0
  4970, 32732,19510617,  185,    0
  4970, 32732,19510618,  122,    0
  4970, 32732,19510619,  106,    0
  4970, 32732,19510620,  136,    0
  4970, 32732,19510621,  192,    0
  4970, 32732,19510622,  172,    0
  4970, 32732,19510623,  146,    0
  4970, 32732,19510624,  123,    0
  4970, 32732,19510625,  126,    0
  4970, 32732,19510626,  104,    0
  4970, 32732,19510627,  114,    0
  4970, 32732,19510628,  116,    0
  4970, 32732,19510629,  126,    0
  4970, 32732,19510630,  114,    0
  4970, 32732,19510701,  130,    0
  4970, 32732,19510702,  152,    0
  4970, 32732,19510703,  185,    0
  4970, 32732,19510704,  182,    0
  4970, 32732,19510705,  112,    0
  4970, 32732,19510706,  157,    0
  4970, 32732,19510707,  175,    0
  4970, 32732,19510708,  189,    0
  4970, 32732,19510709,  162,    0
  4970, 32732,19510710,  207,    0
  4970, 32732,19510711,  196,    0
  4970, 32732,19510712,  154,    0
  4970, 32732,19510713,  152,    0
  4970, 32732,19510714,  176,    0
  4970, 32732,19510715,  120,    0
  4970, 32732,19510716,  100,    0
  4970, 32732,19510717,  148,    0
  4970, 32732,19510718,  179,    0
  4970, 32732,19510719,  142,    0
  4970, 32732,19510720,  169,    0
  4970, 32732,19510721,  145,    0
  4970, 32732,19510722,  181,    0
  4970, 32732,19510723,  152,    0
  4970, 32732,19510724,  118,    0
  4970, 32732,19510725,  122,    0
  4970, 32732,19510726,  127,    0
  4970, 32732,19510727,  147,    0
  4970, 32732,19510728,  186,    0
  4970, 32732,19510729,  200,    0
  4970, 32732,19510730,  208,    0
  4970, 32732,19510731,  232,    0
  4970, 32732,19510801,  216,    0
  4970, 32732,19510802,  188,    0
  4970, 32732,19510803,  194,    0
  4970, 32732,19510804,  166,    0
  4970, 32732,19510805,  143,    0
  4970, 32732,19510806,  189,    0
  4970, 32732,19510807,  174,    0
  4970, 32732,19510808,  147,    0
  4970, 32732,19510809,  125,    0
  4970, 32732,19510810,  134,    0
  4970, 32732,19510811,  142,    0
  4970, 32732,19510812,  146,    0
  4970, 32732,19510813,  133,    0
  4970, 32732,19510814,  110,    0
  4970, 32732,19510815,  123,    0
  4970, 32732,19510816,  131,    0
  4970, 32732,19510817,  144,    0
  4970, 32732,19510818,  150,    0
  4970, 32732,19510819,  201,    0
  4970, 32732,19510820,  141,    0
  4970, 32732,19510821,  142,    0
  4970, 32732,19510822,  137,    0
  4970, 32732,19510823,  150,    0
  4970, 32732,19510824,  178,    0
  4970, 32732,19510825,  150,    0
  4970, 32732,19510826,  150,    0
  4970, 32732,19510827,  146,    0
  4970, 32732,19510828,  183,    0
  4970, 32732,19510829,  192,    0
  4970, 32732,19510830,  185,    0
  4970, 32732,19510831,  131,    0
  4970, 32732,19510901,  131,    0
  4970, 32732,19510902,  128,    0
  4970, 32732,19510903,  117,    0
  4970, 32732,19510904,  149,    0
  4970, 32732,19510905,  168,    0
  4970, 32732,19510906,  182,    0
  4970, 32732,19510907,  177,    0
  4970, 32732,19510908,  180,    0
  4970, 32732,19510909,  177,    0
  4970, 32732,19510910,  200,    0
  4970, 32732,19510911,  195,    0
  4970, 32732,19510912,  208,    0
  4970, 32732,19510913,  204,    0
  4970, 32732,19510914,  114,    0
  4970, 32732,19510915,  149,    0
  4970, 32732,19510916,  132,    0
