EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DIESBAR-SEUSSLITZ, GERMANY (STAID: 4973)
Blended and updated with sources:32768 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4973, 32768,19480601,  154,    0
  4973, 32768,19480602,  162,    0
  4973, 32768,19480603,  128,    0
  4973, 32768,19480604,  136,    0
  4973, 32768,19480605,  138,    0
  4973, 32768,19480606,  167,    0
  4973, 32768,19480607,  194,    0
  4973, 32768,19480608,  194,    0
  4973, 32768,19480609,  208,    0
  4973, 32768,19480610,  222,    0
  4973, 32768,19480611,  223,    0
  4973, 32768,19480612,  222,    0
  4973, 32768,19480613,  186,    0
  4973, 32768,19480614,  186,    0
  4973, 32768,19480615,  228,    0
  4973, 32768,19480616,  196,    0
  4973, 32768,19480617,  191,    0
  4973, 32768,19480618,  193,    0
  4973, 32768,19480619,  173,    0
  4973, 32768,19480620,  168,    0
  4973, 32768,19480621,  130,    0
  4973, 32768,19480622,  146,    0
  4973, 32768,19480623,  138,    0
  4973, 32768,19480624,  146,    0
  4973, 32768,19480625,  130,    0
  4973, 32768,19480626,  152,    0
  4973, 32768,19480627,  204,    0
  4973, 32768,19480628,  134,    0
  4973, 32768,19480629,  121,    0
  4973, 32768,19480630,  136,    0
