EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALTASTENBERG, GERMANY (STAID: 4978)
Blended and updated with sources:11460 32828 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4978, 32828,18870201,-9999,    9
  4978, 32828,18870202,-9999,    9
  4978, 32828,18870203,-9999,    9
  4978, 32828,18870204,-9999,    9
  4978, 32828,18870205,-9999,    9
  4978, 32828,18870206,-9999,    9
  4978, 32828,18870207,-9999,    9
  4978, 32828,18870208,-9999,    9
  4978, 32828,18870209,-9999,    9
  4978, 32828,18870210,-9999,    9
  4978, 32828,18870211,-9999,    9
  4978, 32828,18870212,-9999,    9
  4978, 32828,18870213,-9999,    9
  4978, 32828,18870214,-9999,    9
  4978, 32828,18870215,  -74,    0
  4978, 32828,18870216,  -70,    0
  4978, 32828,18870217,  -81,    0
  4978, 32828,18870218,  -50,    0
  4978, 32828,18870219,  -40,    0
  4978, 32828,18870220,  -30,    0
  4978, 32828,18870221,  -40,    0
  4978, 32828,18870222,  -15,    0
  4978, 32828,18870223,  -10,    0
  4978, 32828,18870224,   23,    0
  4978, 32828,18870225,   16,    0
  4978, 32828,18870226,  -19,    0
  4978, 32828,18870227,  -29,    0
  4978, 32828,18870228,   36,    0
  4978, 32828,18870301,   51,    0
  4978, 32828,18870302,   33,    0
  4978, 32828,18870303,   26,    0
  4978, 32828,18870304,   53,    0
  4978, 32828,18870305,   23,    0
  4978, 32828,18870306,  -16,    0
  4978, 32828,18870307,  -23,    0
  4978, 32828,18870308,   -6,    0
  4978, 32828,18870309,   46,    0
  4978, 32828,18870310,  -31,    0
  4978, 32828,18870311,  -25,    0
  4978, 32828,18870312,  -67,    0
  4978, 32828,18870313,  -86,    0
  4978, 32828,18870314,  -73,    0
  4978, 32828,18870315,  -71,    0
  4978, 32828,18870316,  -95,    0
  4978, 32828,18870317, -102,    0
  4978, 32828,18870318,  -78,    0
  4978, 32828,18870319,  -79,    0
  4978, 32828,18870320,  -51,    0
  4978, 32828,18870321,  -13,    0
  4978, 32828,18870322,   -6,    0
  4978, 32828,18870323,   15,    0
  4978, 32828,18870324,   11,    0
  4978, 32828,18870325,   -5,    0
  4978, 32828,18870326,   -9,    0
  4978, 32828,18870327,    8,    0
  4978, 32828,18870328,   -5,    0
  4978, 32828,18870329,  -11,    0
  4978, 32828,18870330,  -23,    0
  4978, 32828,18870331,  -16,    0
  4978, 32828,18870401,   -3,    0
  4978, 32828,18870402,  -14,    0
  4978, 32828,18870403,   11,    0
  4978, 32828,18870404,   49,    0
  4978, 32828,18870405,   61,    0
  4978, 32828,18870406,   38,    0
  4978, 32828,18870407,    6,    0
  4978, 32828,18870408,   -1,    0
  4978, 32828,18870409,    8,    0
  4978, 32828,18870410,   25,    0
  4978, 32828,18870411,   55,    0
  4978, 32828,18870412,   79,    0
  4978, 32828,18870413,   40,    0
  4978, 32828,18870414,  -43,    0
  4978, 32828,18870415,  -34,    0
  4978, 32828,18870416,  -41,    0
  4978, 32828,18870417,  -13,    0
  4978, 32828,18870418,   34,    0
  4978, 32828,18870419,   48,    0
  4978, 32828,18870420,   51,    0
  4978, 32828,18870421,   35,    0
  4978, 32828,18870422,   66,    0
  4978, 32828,18870423,   93,    0
  4978, 32828,18870424,   83,    0
  4978, 32828,18870425,   57,    0
  4978, 32828,18870426,   35,    0
  4978, 32828,18870427,   32,    0
  4978, 32828,18870428,   61,    0
  4978, 32828,18870429,   86,    0
  4978, 32828,18870430,   29,    0
  4978, 32828,18870501,   29,    0
  4978, 32828,18870502,   83,    0
  4978, 32828,18870503,  111,    0
  4978, 32828,18870504,   63,    0
  4978, 32828,18870505,   91,    0
  4978, 32828,18870506,   98,    0
  4978, 32828,18870507,   63,    0
  4978, 32828,18870508,   39,    0
  4978, 32828,18870509,   97,    0
  4978, 32828,18870510,   56,    0
  4978, 32828,18870511,   22,    0
  4978, 32828,18870512,   27,    0
  4978, 32828,18870513,    4,    0
  4978, 32828,18870514,   37,    0
  4978, 32828,18870515,   45,    0
  4978, 32828,18870516,   82,    0
  4978, 32828,18870517,   55,    0
  4978, 32828,18870518,   54,    0
  4978, 32828,18870519,   49,    0
  4978, 32828,18870520,   35,    0
  4978, 32828,18870521,    8,    0
  4978, 32828,18870522,   19,    0
  4978, 32828,18870523,   26,    0
  4978, 32828,18870524,    9,    0
  4978, 32828,18870525,   44,    0
  4978, 32828,18870526,   43,    0
  4978, 32828,18870527,   76,    0
  4978, 32828,18870528,   78,    0
  4978, 32828,18870529,   76,    0
  4978, 32828,18870530,   79,    0
  4978, 32828,18870531,   83,    0
  4978, 32828,18870601,  116,    0
  4978, 32828,18870602,  138,    0
  4978, 32828,18870603,   96,    0
  4978, 32828,18870604,   84,    0
  4978, 32828,18870605,  112,    0
  4978, 32828,18870606,  121,    0
  4978, 32828,18870607,  126,    0
  4978, 32828,18870608,  138,    0
  4978, 32828,18870609,  114,    0
  4978, 32828,18870610,   71,    0
