EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KRISTIANSUND LUFTHAVN, NORWAY (STAID: 5049)
Blended and updated with sources:33688 100876 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5049,100876,19570101,    7,    0
  5049,100876,19570102,  -17,    0
  5049,100876,19570103,  -37,    0
  5049,100876,19570104,   38,    0
  5049,100876,19570105,   59,    0
  5049,100876,19570106,   35,    0
  5049,100876,19570107,   60,    0
  5049,100876,19570108,   87,    0
  5049,100876,19570109,   46,    0
  5049,100876,19570110,   29,    0
  5049,100876,19570111,   16,    0
  5049,100876,19570112,   26,    0
  5049,100876,19570113,  -29,    0
  5049,100876,19570114,   -5,    0
  5049,100876,19570115,   31,    0
  5049,100876,19570116,   51,    0
  5049,100876,19570117,   53,    0
  5049,100876,19570118,   58,    0
  5049,100876,19570119,   63,    0
  5049,100876,19570120,   60,    0
  5049,100876,19570121,   36,    0
  5049,100876,19570122,   21,    0
  5049,100876,19570123,   22,    0
  5049,100876,19570124,   41,    0
  5049,100876,19570125,   21,    0
  5049,100876,19570126,   27,    0
  5049,100876,19570127,   26,    0
  5049,100876,19570128,   47,    0
  5049,100876,19570129,   45,    0
  5049,100876,19570130,   41,    0
  5049,100876,19570131,   68,    0
  5049,100876,19570201,   44,    0
  5049,100876,19570202,   37,    0
  5049,100876,19570203,   43,    0
  5049,100876,19570204,   65,    0
  5049,100876,19570205,   62,    0
  5049,100876,19570206,   50,    0
  5049,100876,19570207,   39,    0
  5049,100876,19570208,    8,    0
  5049,100876,19570209,  -18,    0
  5049,100876,19570210,  -18,    0
  5049,100876,19570211,  -21,    0
  5049,100876,19570212,  -26,    0
  5049,100876,19570213,   -7,    0
  5049,100876,19570214,  -16,    0
  5049,100876,19570215,   -6,    0
