EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRONNOYSUND LUFTHAVN, NORWAY (STAID: 5056)
Blended and updated with sources:33772 100606 100887 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5056,100887,19000101,   -7,    0
  5056,100887,19000102,  -17,    0
  5056,100887,19000103,  -37,    1
  5056,100887,19000104,  -71,    0
  5056,100887,19000105,  -57,    0
  5056,100887,19000106,  -40,    0
  5056,100887,19000107,  -53,    1
  5056,100887,19000108,    0,    0
  5056,100887,19000109,  -13,    0
  5056,100887,19000110,    3,    1
  5056,100887,19000111,   10,    1
  5056,100887,19000112,  -11,    1
  5056,100887,19000113,   16,    1
  5056,100887,19000114,    6,    1
  5056,100887,19000115,  -51,    0
  5056,100887,19000116,  -35,    0
  5056,100887,19000117,   -2,    0
  5056,100887,19000118,  -13,    1
  5056,100887,19000119,  -31,    1
  5056,100887,19000120,   -4,    0
  5056,100887,19000121,   25,    1
  5056,100887,19000122,   17,    1
  5056,100887,19000123,    8,    1
  5056,100887,19000124,   22,    1
  5056,100887,19000125,    3,    1
  5056,100887,19000126,    4,    1
  5056,100887,19000127,   31,    1
  5056,100887,19000128,    9,    1
  5056,100887,19000129,    1,    1
  5056,100887,19000130,  -37,    0
  5056,100887,19000131,  -51,    0
  5056,100887,19000201,  -69,    0
  5056,100887,19000202,  -61,    0
  5056,100887,19000203,  -50,    0
  5056,100887,19000204,  -54,    0
  5056,100887,19000205,  -70,    0
  5056,100887,19000206,  -86,    0
  5056,100887,19000207, -117,    0
  5056,100887,19000208, -101,    0
  5056,100887,19000209,  -70,    0
  5056,100887,19000210,  -54,    0
  5056,100887,19000211,  -64,    0
  5056,100887,19000212,  -48,    0
  5056,100887,19000213,  -66,    0
  5056,100887,19000214,  -82,    0
  5056,100887,19000215,  -38,    0
  5056,100887,19000216,  -40,    0
  5056,100887,19000217,  -64,    1
  5056,100887,19000218, -112,    0
  5056,100887,19000219,  -82,    0
  5056,100887,19000220,  -90,    0
  5056,100887,19000221,  -39,    0
  5056,100887,19000222,  -26,    0
  5056,100887,19000223,  -15,    0
  5056,100887,19000224,  -42,    0
  5056,100887,19000225,  -41,    0
  5056,100887,19000226,  -64,    0
  5056,100887,19000227,  -56,    0
  5056,100887,19000228,  -29,    0
  5056,100887,19000301,  -26,    0
  5056,100887,19000302,   -1,    0
  5056,100887,19000303,    9,    1
  5056,100887,19000304,   13,    1
  5056,100887,19000305,  -26,    0
  5056,100887,19000306,  -39,    0
  5056,100887,19000307,  -39,    0
  5056,100887,19000308,   12,    1
  5056,100887,19000309,   31,    1
  5056,100887,19000310,   20,    1
  5056,100887,19000311,   29,    1
  5056,100887,19000312,    1,    1
  5056,100887,19000313,  -14,    0
  5056,100887,19000314,  -17,    0
  5056,100887,19000315,    0,    0
  5056,100887,19000316,  -14,    0
  5056,100887,19000317,    1,    1
  5056,100887,19000318,   -1,    0
  5056,100887,19000319,   34,    1
  5056,100887,19000320,   29,    1
  5056,100887,19000321,    2,    1
  5056,100887,19000322,  -13,    0
  5056,100887,19000323,   -1,    0
  5056,100887,19000324,   18,    1
  5056,100887,19000325,  -25,    1
  5056,100887,19000326,  -68,    0
  5056,100887,19000327,  -65,    0
  5056,100887,19000328,  -37,    0
  5056,100887,19000329,   -9,    0
  5056,100887,19000330,    0,    0
  5056,100887,19000331,    7,    1
  5056,100887,19000401,   15,    1
  5056,100887,19000402,  -21,    0
  5056,100887,19000403,    0,    0
  5056,100887,19000404,   16,    1
  5056,100887,19000405,   31,    1
  5056,100887,19000406,   32,    1
  5056,100887,19000407,   39,    1
  5056,100887,19000408,   36,    1
  5056,100887,19000409,   47,    1
  5056,100887,19000410,   56,    1
  5056,100887,19000411,   52,    1
  5056,100887,19000412,   28,    1
  5056,100887,19000413,   53,    1
  5056,100887,19000414,   33,    1
  5056,100887,19000415,   40,    1
  5056,100887,19000416,   22,    1
  5056,100887,19000417,   26,    1
  5056,100887,19000418,   29,    1
  5056,100887,19000419,   32,    1
  5056,100887,19000420,   39,    1
  5056,100887,19000421,   10,    1
  5056,100887,19000422,   17,    1
  5056,100887,19000423,   19,    1
  5056,100887,19000424,   17,    1
  5056,100887,19000425,    5,    1
  5056,100887,19000426,   10,    1
  5056,100887,19000427,   -8,    0
  5056,100887,19000428,   14,    1
  5056,100887,19000429,  -13,    1
  5056,100887,19000430,  -13,    0
  5056,100887,19000501,   18,    1
  5056,100887,19000502,   42,    1
  5056,100887,19000503,   64,    1
  5056,100887,19000504,  100,    1
  5056,100887,19000505,   83,    1
  5056,100887,19000506,   78,    1
  5056,100887,19000507,   36,    1
  5056,100887,19000508,    0,    0
  5056,100887,19000509,    6,    1
  5056,100887,19000510,   15,    1
  5056,100887,19000511,   29,    1
  5056,100887,19000512,   27,    1
  5056,100887,19000513,   27,    1
  5056,100887,19000514,   38,    1
  5056,100887,19000515,   32,    1
  5056,100887,19000516,   35,    1
  5056,100887,19000517,   31,    1
  5056,100887,19000518,   36,    1
  5056,100887,19000519,   48,    1
  5056,100887,19000520,   50,    1
  5056,100887,19000521,   38,    1
  5056,100887,19000522,   61,    1
  5056,100887,19000523,   81,    1
  5056,100887,19000524,   67,    1
  5056,100887,19000525,   62,    1
  5056,100887,19000526,   42,    1
  5056,100887,19000527,   60,    1
  5056,100887,19000528,  108,    1
  5056,100887,19000529,  121,    1
  5056,100887,19000530,   71,    1
  5056,100887,19000531,   64,    1
  5056,100887,19000601,   80,    1
  5056,100887,19000602,   70,    1
  5056,100887,19000603,   53,    1
  5056,100887,19000604,   64,    1
  5056,100887,19000605,   72,    1
  5056,100887,19000606,   78,    1
  5056,100887,19000607,   89,    1
  5056,100887,19000608,  102,    1
  5056,100887,19000609,   98,    1
  5056,100887,19000610,  117,    1
  5056,100887,19000611,  125,    1
  5056,100887,19000612,  112,    1
  5056,100887,19000613,   87,    1
  5056,100887,19000614,   87,    1
  5056,100887,19000615,   78,    1
  5056,100887,19000616,   96,    1
  5056,100887,19000617,   87,    1
  5056,100887,19000618,   75,    1
  5056,100887,19000619,   94,    1
  5056,100887,19000620,  176,    1
  5056,100887,19000621,  177,    1
  5056,100887,19000622,  171,    1
  5056,100887,19000623,  183,    1
  5056,100887,19000624,  170,    1
  5056,100887,19000625,  155,    1
  5056,100887,19000626,  129,    1
  5056,100887,19000627,  118,    1
  5056,100887,19000628,  103,    1
  5056,100887,19000629,  108,    1
  5056,100887,19000630,  103,    1
  5056,100887,19000701,  121,    1
  5056,100887,19000702,  117,    1
  5056,100887,19000703,   91,    1
  5056,100887,19000704,   79,    1
  5056,100887,19000705,   73,    1
  5056,100887,19000706,   71,    1
  5056,100887,19000707,   77,    1
  5056,100887,19000708,   84,    1
  5056,100887,19000709,   74,    1
  5056,100887,19000710,   77,    1
  5056,100887,19000711,   87,    1
  5056,100887,19000712,   87,    1
  5056,100887,19000713,  156,    1
  5056,100887,19000714,  157,    1
  5056,100887,19000715,  116,    1
  5056,100887,19000716,  101,    1
  5056,100887,19000717,  104,    1
  5056,100887,19000718,  126,    1
  5056,100887,19000719,  112,    1
  5056,100887,19000720,   89,    1
  5056,100887,19000721,   92,    1
  5056,100887,19000722,   96,    1
  5056,100887,19000723,   94,    1
  5056,100887,19000724,   97,    1
  5056,100887,19000725,   96,    1
  5056,100887,19000726,   94,    1
  5056,100887,19000727,   93,    1
  5056,100887,19000728,  103,    1
  5056,100887,19000729,  101,    1
  5056,100887,19000730,  110,    1
  5056,100887,19000731,   90,    1
  5056,100887,19000801,   90,    1
  5056,100887,19000802,  116,    1
  5056,100887,19000803,  101,    1
  5056,100887,19000804,  105,    1
  5056,100887,19000805,  109,    1
  5056,100887,19000806,  119,    1
  5056,100887,19000807,  108,    1
  5056,100887,19000808,  135,    1
  5056,100887,19000809,  108,    1
  5056,100887,19000810,   97,    1
  5056,100887,19000811,  109,    1
  5056,100887,19000812,  119,    1
  5056,100887,19000813,  111,    1
  5056,100887,19000814,  114,    1
  5056,100887,19000815,  113,    1
  5056,100887,19000816,  158,    1
  5056,100887,19000817,  121,    1
  5056,100887,19000818,  134,    1
  5056,100887,19000819,  114,    1
  5056,100887,19000820,  118,    1
  5056,100887,19000821,  177,    1
  5056,100887,19000822,  163,    1
  5056,100887,19000823,   86,    1
  5056,100887,19000824,   96,    1
  5056,100887,19000825,   87,    1
  5056,100887,19000826,   86,    1
  5056,100887,19000827,   86,    1
  5056,100887,19000828,   94,    1
  5056,100887,19000829,  100,    1
  5056,100887,19000830,  106,    1
  5056,100887,19000831,  114,    1
  5056,100887,19000901,  111,    1
  5056,100887,19000902,   70,    1
  5056,100887,19000903,   79,    1
  5056,100887,19000904,   71,    1
  5056,100887,19000905,   70,    1
  5056,100887,19000906,   64,    1
  5056,100887,19000907,   65,    1
  5056,100887,19000908,   58,    1
  5056,100887,19000909,   80,    1
  5056,100887,19000910,   84,    1
  5056,100887,19000911,   94,    1
  5056,100887,19000912,   96,    1
  5056,100887,19000913,  101,    1
  5056,100887,19000914,  100,    1
  5056,100887,19000915,   80,    1
  5056,100887,19000916,   96,    1
  5056,100887,19000917,  100,    1
  5056,100887,19000918,  131,    1
  5056,100887,19000919,  133,    1
  5056,100887,19000920,  107,    1
  5056,100887,19000921,  100,    1
  5056,100887,19000922,   85,    1
  5056,100887,19000923,   97,    1
  5056,100887,19000924,   91,    1
  5056,100887,19000925,   63,    1
  5056,100887,19000926,   51,    1
  5056,100887,19000927,   39,    1
  5056,100887,19000928,   46,    1
  5056,100887,19000929,   43,    1
  5056,100887,19000930,   90,    1
  5056,100887,19001001,   88,    1
  5056,100887,19001002,   82,    1
  5056,100887,19001003,   74,    1
  5056,100887,19001004,   55,    1
  5056,100887,19001005,   50,    1
  5056,100887,19001006,   82,    1
  5056,100887,19001007,   60,    1
  5056,100887,19001008,   50,    1
  5056,100887,19001009,   73,    1
  5056,100887,19001010,   64,    1
  5056,100887,19001011,   61,    1
  5056,100887,19001012,   43,    1
  5056,100887,19001013,   39,    1
  5056,100887,19001014,   80,    1
