EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MO I RANA LUFTHAVN, NORWAY (STAID: 5074)
Blended and updated with sources:33988 100934 901151 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5074,100934,19820901,   96,    0
  5074,100934,19820902,   83,    0
  5074,100934,19820903,   76,    0
  5074,100934,19820904,   62,    0
  5074,100934,19820905,   61,    0
  5074,100934,19820906,   68,    0
  5074,100934,19820907,   71,    0
  5074,100934,19820908,   95,    0
  5074,100934,19820909,   55,    0
  5074,100934,19820910,   49,    0
  5074,100934,19820911,   84,    0
  5074,100934,19820912,   64,    0
  5074,100934,19820913,   56,    0
  5074,100934,19820914,   39,    0
  5074,100934,19820915,   68,    0
  5074,100934,19820916,   76,    0
  5074,100934,19820917,   81,    0
  5074,100934,19820918,   68,    0
  5074,100934,19820919,   56,    0
  5074,100934,19820920,   58,    0
  5074,100934,19820921,   94,    0
  5074,100934,19820922,   40,    0
  5074,100934,19820923,   47,    0
  5074,100934,19820924,   35,    0
  5074,100934,19820925,   41,    0
  5074,100934,19820926,   94,    0
  5074,100934,19820927,  122,    0
  5074,100934,19820928,  102,    0
  5074,100934,19820929,  111,    0
  5074,100934,19820930,  118,    0
  5074,100934,19821001,  105,    0
  5074,100934,19821002,  114,    0
  5074,100934,19821003,   78,    0
  5074,100934,19821004,   70,    0
  5074,100934,19821005,   71,    0
  5074,100934,19821006,   63,    0
  5074,100934,19821007,   44,    0
  5074,100934,19821008,   30,    0
  5074,100934,19821009,   35,    0
  5074,100934,19821010,  -21,    0
  5074,100934,19821011,  -15,    0
  5074,100934,19821012,   32,    0
  5074,100934,19821013,   34,    0
  5074,100934,19821014,   27,    0
  5074,100934,19821015,  -11,    0
  5074,100934,19821016,  -47,    0
  5074,100934,19821017,  -24,    0
  5074,100934,19821018,    0,    0
  5074,100934,19821019,   26,    0
  5074,100934,19821020,   12,    0
  5074,100934,19821021,    9,    0
  5074,100934,19821022,   14,    0
  5074,100934,19821023,   51,    0
  5074,100934,19821024,   18,    0
  5074,100934,19821025,   19,    0
  5074,100934,19821026,   33,    0
  5074,100934,19821027,    9,    0
  5074,100934,19821028,   58,    0
  5074,100934,19821029,   47,    0
  5074,100934,19821030,   62,    0
  5074,100934,19821031,   38,    0
  5074,100934,19821101,   17,    0
  5074,100934,19821102,   23,    0
  5074,100934,19821103,    3,    0
  5074,100934,19821104,  -24,    0
  5074,100934,19821105,  -54,    0
  5074,100934,19821106,  -29,    0
  5074,100934,19821107,  -50,    0
  5074,100934,19821108,   12,    0
  5074,100934,19821109,    1,    0
  5074,100934,19821110,   26,    0
  5074,100934,19821111,    8,    0
  5074,100934,19821112,    5,    0
  5074,100934,19821113,   27,    0
  5074,100934,19821114,  -15,    0
  5074,100934,19821115,  -76,    0
  5074,100934,19821116,  -25,    0
  5074,100934,19821117,  -19,    0
  5074,100934,19821118, -111,    0
  5074,100934,19821119,  -94,    0
  5074,100934,19821120,  -99,    0
  5074,100934,19821121,   -5,    0
  5074,100934,19821122,    6,    0
  5074,100934,19821123,  -14,    0
  5074,100934,19821124,  -20,    0
  5074,100934,19821125,  -59,    0
  5074,100934,19821126, -157,    0
  5074,100934,19821127, -156,    0
  5074,100934,19821128, -149,    0
  5074,100934,19821129, -232,    0
  5074,100934,19821130,  -83,    0
  5074,100934,19821201,   -1,    0
  5074,100934,19821202,   25,    0
  5074,100934,19821203,   51,    0
  5074,100934,19821204,   36,    0
  5074,100934,19821205,    5,    0
  5074,100934,19821206,  -13,    0
  5074,100934,19821207,  -22,    0
  5074,100934,19821208,  -92,    0
  5074,100934,19821209, -229,    0
  5074,100934,19821210, -114,    0
  5074,100934,19821211, -102,    0
  5074,100934,19821212, -166,    0
  5074,100934,19821213, -200,    0
  5074,100934,19821214, -105,    0
  5074,100934,19821215,  -22,    0
  5074,100934,19821216,  -34,    0
  5074,100934,19821217,  -71,    0
  5074,100934,19821218, -185,    0
  5074,100934,19821219, -186,    0
  5074,100934,19821220,    9,    0
  5074,100934,19821221,   41,    0
  5074,100934,19821222,    9,    0
  5074,100934,19821223,  -10,    0
  5074,100934,19821224,  -24,    0
  5074,100934,19821225,   -5,    0
  5074,100934,19821226,    9,    0
  5074,100934,19821227,   10,    0
  5074,100934,19821228,    6,    0
  5074,100934,19821229,  -77,    0
  5074,100934,19821230,  -23,    0
  5074,100934,19821231,  -10,    0
  5074,100934,19830101,   21,    0
  5074,100934,19830102,   -3,    0
  5074,100934,19830103,  -28,    0
  5074,100934,19830104,   28,    0
  5074,100934,19830105,  -32,    0
  5074,100934,19830106,   -4,    0
