EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SVELGEN II, NORWAY (STAID: 5125)
Blended and updated with sources:34600 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5125, 34600,20120401,-9999,    9
  5125, 34600,20120402,-9999,    9
  5125, 34600,20120403,-9999,    9
  5125, 34600,20120404,-9999,    9
  5125, 34600,20120405,-9999,    9
  5125, 34600,20120406,-9999,    9
  5125, 34600,20120407,-9999,    9
  5125, 34600,20120408,-9999,    9
  5125, 34600,20120409,-9999,    9
  5125, 34600,20120410,-9999,    9
  5125, 34600,20120411,-9999,    9
  5125, 34600,20120412,-9999,    9
  5125, 34600,20120413,-9999,    9
  5125, 34600,20120414,-9999,    9
  5125, 34600,20120415,-9999,    9
  5125, 34600,20120416,-9999,    9
  5125, 34600,20120417,-9999,    9
  5125, 34600,20120418,-9999,    9
  5125, 34600,20120419,-9999,    9
  5125, 34600,20120420,-9999,    9
  5125, 34600,20120421,-9999,    9
  5125, 34600,20120422,-9999,    9
  5125, 34600,20120423,-9999,    9
  5125, 34600,20120424,-9999,    9
  5125, 34600,20120425,-9999,    9
  5125, 34600,20120426,-9999,    9
  5125, 34600,20120427,-9999,    9
  5125, 34600,20120428,-9999,    9
  5125, 34600,20120429,-9999,    9
  5125, 34600,20120430,-9999,    9
  5125, 34600,20120501,-9999,    9
  5125, 34600,20120502,-9999,    9
  5125, 34600,20120503,-9999,    9
  5125, 34600,20120504,-9999,    9
  5125, 34600,20120505,-9999,    9
  5125, 34600,20120506,-9999,    9
  5125, 34600,20120507,-9999,    9
