EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERGELIGREND, NORWAY (STAID: 5141)
Blended and updated with sources:34792 100812 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5141,100812,20151101,-9999,    9
  5141,100812,20151102,-9999,    9
  5141,100812,20151103,-9999,    9
  5141,100812,20151104,-9999,    9
  5141,100812,20151105,-9999,    9
  5141,100812,20151106,-9999,    9
  5141,100812,20151107,-9999,    9
  5141,100812,20151108,-9999,    9
  5141,100812,20151109,-9999,    9
  5141,100812,20151110,   38,    0
  5141,100812,20151111,   11,    0
  5141,100812,20151112,    9,    0
  5141,100812,20151113,   25,    0
  5141,100812,20151114,   -4,    0
  5141,100812,20151115,    0,    0
  5141,100812,20151116,   -9,    1
  5141,100812,20151117,  -10,    0
  5141,100812,20151118,   -4,    0
  5141,100812,20151119,  -16,    0
  5141,100812,20151120,  -66,    0
  5141,100812,20151121,  -73,    0
  5141,100812,20151122,  -86,    0
  5141,100812,20151123,  -47,    0
  5141,100812,20151124,   -4,    0
  5141,100812,20151125,  -33,    0
  5141,100812,20151126,  -44,    0
  5141,100812,20151127,   50,    0
  5141,100812,20151128,    7,    0
  5141,100812,20151129,   -2,    0
  5141,100812,20151130,   -1,    0
  5141,100812,20151201,    3,    0
  5141,100812,20151202,   -7,    0
  5141,100812,20151203,  -32,    0
  5141,100812,20151204,   12,    0
  5141,100812,20151205,   43,    0
  5141,100812,20151206,   47,    0
  5141,100812,20151207,   13,    0
  5141,100812,20151208,   26,    0
  5141,100812,20151209,   29,    0
  5141,100812,20151210,   39,    0
  5141,100812,20151211,  -21,    0
  5141,100812,20151212,  -22,    0
  5141,100812,20151213,  -39,    0
  5141,100812,20151214,  -81,    0
  5141,100812,20151215,  -82,    0
  5141,100812,20151216,  -50,    0
  5141,100812,20151217,   -7,    0
  5141,100812,20151218,    4,    0
  5141,100812,20151219,   33,    0
  5141,100812,20151220,   68,    0
  5141,100812,20151221,   56,    0
  5141,100812,20151222,   26,    0
  5141,100812,20151223,   -4,    0
  5141,100812,20151224,   31,    0
  5141,100812,20151225,    6,    0
  5141,100812,20151226,  -50,    0
  5141,100812,20151227,  -63,    0
  5141,100812,20151228,  -73,    0
  5141,100812,20151229,  -30,    0
  5141,100812,20151230,    7,    0
  5141,100812,20151231,   -2,    0
  5141,100812,20160101,   13,    0
