EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANKT_OLOF, SWEDEN (STAID: 5178)
Blended and updated with sources:35174 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5178, 35174,19610101,    8,    0
  5178, 35174,19610102,   15,    0
  5178, 35174,19610103,   22,    0
  5178, 35174,19610104,   14,    0
  5178, 35174,19610105,    9,    0
  5178, 35174,19610106,   12,    0
  5178, 35174,19610107,   13,    0
  5178, 35174,19610108,   -5,    0
  5178, 35174,19610109,   14,    0
  5178, 35174,19610110,   20,    0
  5178, 35174,19610111,  -14,    0
  5178, 35174,19610112,  -36,    0
  5178, 35174,19610113,   13,    0
  5178, 35174,19610114,   13,    0
  5178, 35174,19610115,   14,    0
  5178, 35174,19610116,    5,    0
  5178, 35174,19610117,   -9,    0
  5178, 35174,19610118,  -29,    0
  5178, 35174,19610119,  -35,    0
  5178, 35174,19610120,  -13,    0
  5178, 35174,19610121,  -17,    0
  5178, 35174,19610122,  -48,    0
  5178, 35174,19610123,  -16,    0
  5178, 35174,19610124,  -40,    0
  5178, 35174,19610125,  -44,    0
  5178, 35174,19610126,  -92,    0
  5178, 35174,19610127,  -56,    0
  5178, 35174,19610128,  -11,    0
  5178, 35174,19610129,   26,    0
  5178, 35174,19610130,   38,    0
  5178, 35174,19610131,   23,    0
  5178, 35174,19610201,   10,    0
  5178, 35174,19610202,    6,    0
  5178, 35174,19610203,   -5,    0
  5178, 35174,19610204,  -23,    0
  5178, 35174,19610205,  -22,    0
  5178, 35174,19610206,    3,    0
  5178, 35174,19610207,   26,    0
  5178, 35174,19610208,   17,    0
  5178, 35174,19610209,   16,    0
  5178, 35174,19610210,   17,    0
  5178, 35174,19610211,   36,    0
  5178, 35174,19610212,   24,    0
  5178, 35174,19610213,   19,    0
  5178, 35174,19610214,   31,    0
  5178, 35174,19610215,   39,    0
  5178, 35174,19610216,   37,    0
  5178, 35174,19610217,   30,    0
  5178, 35174,19610218,   48,    0
  5178, 35174,19610219,   44,    0
  5178, 35174,19610220,   21,    0
  5178, 35174,19610221,   15,    0
  5178, 35174,19610222,   14,    0
  5178, 35174,19610223,    2,    0
  5178, 35174,19610224,    6,    0
  5178, 35174,19610225,   41,    0
  5178, 35174,19610226,   29,    0
  5178, 35174,19610227,   58,    0
  5178, 35174,19610228,   28,    0
  5178, 35174,19610301,   41,    0
  5178, 35174,19610302,   32,    0
  5178, 35174,19610303,   42,    0
  5178, 35174,19610304,   43,    0
  5178, 35174,19610305,   49,    0
  5178, 35174,19610306,   57,    0
  5178, 35174,19610307,   70,    0
  5178, 35174,19610308,   60,    0
  5178, 35174,19610309,   88,    0
  5178, 35174,19610310,   78,    0
  5178, 35174,19610311,   53,    0
  5178, 35174,19610312,   63,    0
  5178, 35174,19610313,   51,    0
  5178, 35174,19610314,   62,    0
  5178, 35174,19610315,   77,    0
  5178, 35174,19610316,   79,    0
  5178, 35174,19610317,   73,    0
  5178, 35174,19610318,   56,    0
  5178, 35174,19610319,    0,    0
  5178, 35174,19610320,    4,    0
  5178, 35174,19610321,    2,    0
  5178, 35174,19610322,    4,    0
  5178, 35174,19610323,   55,    0
  5178, 35174,19610324,   71,    0
  5178, 35174,19610325,   76,    0
  5178, 35174,19610326,   50,    0
  5178, 35174,19610327,   27,    0
  5178, 35174,19610328,   24,    0
  5178, 35174,19610329,   50,    0
  5178, 35174,19610330,   32,    0
  5178, 35174,19610331,   15,    0
  5178, 35174,19610401,  -26,    0
  5178, 35174,19610402,   -4,    0
  5178, 35174,19610403,    7,    0
  5178, 35174,19610404,   15,    0
  5178, 35174,19610405,   40,    0
  5178, 35174,19610406,  105,    0
  5178, 35174,19610407,   99,    0
  5178, 35174,19610408,   53,    0
  5178, 35174,19610409,   31,    0
  5178, 35174,19610410,   30,    0
  5178, 35174,19610411,   47,    0
  5178, 35174,19610412,   71,    0
  5178, 35174,19610413,  120,    0
  5178, 35174,19610414,  121,    0
  5178, 35174,19610415,  100,    0
  5178, 35174,19610416,  112,    0
  5178, 35174,19610417,   56,    0
  5178, 35174,19610418,   94,    0
  5178, 35174,19610419,   75,    0
  5178, 35174,19610420,   54,    0
  5178, 35174,19610421,   55,    0
  5178, 35174,19610422,   71,    0
  5178, 35174,19610423,  104,    0
  5178, 35174,19610424,   95,    0
  5178, 35174,19610425,   93,    0
  5178, 35174,19610426,   91,    0
  5178, 35174,19610427,   89,    0
  5178, 35174,19610428,   75,    0
  5178, 35174,19610429,   53,    0
  5178, 35174,19610430,   67,    0
  5178, 35174,19610501,   60,    0
  5178, 35174,19610502,   60,    0
  5178, 35174,19610503,  105,    0
  5178, 35174,19610504,  109,    0
  5178, 35174,19610505,  125,    0
  5178, 35174,19610506,  125,    0
  5178, 35174,19610507,   91,    0
  5178, 35174,19610508,   92,    0
  5178, 35174,19610509,   90,    0
  5178, 35174,19610510,   86,    0
  5178, 35174,19610511,   94,    0
  5178, 35174,19610512,   96,    0
  5178, 35174,19610513,   94,    0
  5178, 35174,19610514,   88,    0
  5178, 35174,19610515,   84,    0
  5178, 35174,19610516,   82,    0
  5178, 35174,19610517,  101,    0
  5178, 35174,19610518,  135,    0
  5178, 35174,19610519,   98,    0
  5178, 35174,19610520,   93,    0
  5178, 35174,19610521,   96,    0
  5178, 35174,19610522,  110,    0
  5178, 35174,19610523,   87,    0
  5178, 35174,19610524,  121,    0
  5178, 35174,19610525,  114,    0
  5178, 35174,19610526,   98,    0
  5178, 35174,19610527,   95,    0
  5178, 35174,19610528,   86,    0
  5178, 35174,19610529,  101,    0
  5178, 35174,19610530,  144,    0
  5178, 35174,19610531,  115,    0
  5178, 35174,19610601,  119,    0
  5178, 35174,19610602,  135,    0
  5178, 35174,19610603,  153,    0
  5178, 35174,19610604,  187,    0
  5178, 35174,19610605,  187,    0
  5178, 35174,19610606,  187,    0
  5178, 35174,19610607,  170,    0
  5178, 35174,19610608,  176,    0
  5178, 35174,19610609,  168,    0
  5178, 35174,19610610,  143,    0
  5178, 35174,19610611,  157,    0
  5178, 35174,19610612,  146,    0
  5178, 35174,19610613,  142,    0
  5178, 35174,19610614,  142,    0
  5178, 35174,19610615,  146,    0
  5178, 35174,19610616,  151,    0
  5178, 35174,19610617,  160,    0
  5178, 35174,19610618,  148,    0
  5178, 35174,19610619,  135,    0
  5178, 35174,19610620,  134,    0
  5178, 35174,19610621,  130,    0
  5178, 35174,19610622,  129,    0
  5178, 35174,19610623,  148,    0
  5178, 35174,19610624,  139,    0
  5178, 35174,19610625,  177,    0
  5178, 35174,19610626,  180,    0
  5178, 35174,19610627,  163,    0
  5178, 35174,19610628,  134,    0
  5178, 35174,19610629,  156,    0
  5178, 35174,19610630,  158,    0
  5178, 35174,19610701,  185,    0
  5178, 35174,19610702,  205,    0
  5178, 35174,19610703,  182,    0
  5178, 35174,19610704,  130,    0
  5178, 35174,19610705,  121,    0
  5178, 35174,19610706,  126,    0
  5178, 35174,19610707,  133,    0
  5178, 35174,19610708,  145,    0
  5178, 35174,19610709,  142,    0
  5178, 35174,19610710,  130,    0
  5178, 35174,19610711,  134,    0
  5178, 35174,19610712,  140,    0
  5178, 35174,19610713,  140,    0
  5178, 35174,19610714,  143,    0
  5178, 35174,19610715,  148,    0
  5178, 35174,19610716,  144,    0
  5178, 35174,19610717,  141,    0
  5178, 35174,19610718,  149,    0
  5178, 35174,19610719,  145,    0
  5178, 35174,19610720,  150,    0
  5178, 35174,19610721,  158,    0
  5178, 35174,19610722,  147,    0
  5178, 35174,19610723,  151,    0
  5178, 35174,19610724,  143,    0
  5178, 35174,19610725,  140,    0
  5178, 35174,19610726,  139,    0
  5178, 35174,19610727,  132,    0
  5178, 35174,19610728,  131,    0
  5178, 35174,19610729,  138,    0
  5178, 35174,19610730,  169,    0
  5178, 35174,19610731,  157,    0
  5178, 35174,19610801,  141,    0
  5178, 35174,19610802,  151,    0
